measure	chamber	roll_call_id	vote_date	yea	nay	disposition	title
SB01377	house	1582820	2025-05-31	110	34	candidate:unbatched	An Act Implementing The Recommendations Of The Department Of Transportation And Concerning Transportation Network Companies And Drivers, The Projection Of A Laser At An Aircraft Or Flight Path, Automated Traffic Enforcement Safety Devices, Small Harbor Improvement Projects, The Connecticut Public Transportation Council, Bus Public Transportation Services And The Naming Of Certain Roads And Bridges.
SB01396	house	1585248	2025-06-04	101	46	no-defensible-stance: runs both ways - exempts wage advances from the 36% APR cap but caps fees and adds disclosure duties	An Act Concerning Earned But Unpaid Wage Or Salary Income Advances.
SB01405	house	1578830	2025-05-22	92	46	no-defensible-stance: runs both ways - widens disclaimer duties but cuts SEEC audit ceiling 50%->20% and constrains its rulings	An Act Modifying Campaign Finance Laws And The Powers Of The State Elections Enforcement Commission.
SB01444	house	1584471	2025-06-03	105	43	batch-01	An Act Concerning The Conversion Of Commercial Real Property For Residential Use.
SB01453	house	1506472	2025-03-05	92	51	appropriations	An Act Concerning Emergency Nonprofit Assistance.
SB01453	senate	1506474	2025-03-05	25	10	appropriations	An Act Concerning Emergency Nonprofit Assistance.
SB01542	house	1584485	2025-06-03	99	49	batch-01	An Act Concerning The Use Of Handcuffs On Young Children.
SJ00019	house	1475734	2025-01-28	105	38	out-of-scope: nomination confirmation	Resolution Confirming The Nomination Of The Honorable Richard N. Palmer Of West Hartford To Be A State Referee.
SJ00019	senate	1475735	2025-01-28	26	7	out-of-scope: nomination confirmation	Resolution Confirming The Nomination Of The Honorable Richard N. Palmer Of West Hartford To Be A State Referee.
SJ00031	house	1475960	2025-01-28	110	28	out-of-scope: nomination confirmation	Resolution Confirming The Nomination Of The Honorable Flemming L. Norcott, Jr. Of New Haven To Be A State Referee.
SJ00051	senate	1506416	2025-03-05	28	7	out-of-scope: nomination confirmation	Resolution Confirming The Nomination Of Yonatan E. Zamir, Esquire, Of Woodbridge To Be A Judge Of The Superior Court.
