bill	overridden	rolls	chambers	roll_call_id	chamber	seq	date	yea	nay	title	disposition	reason
HB398	yes	5	HS	1529622	house	318	2025-03-27	78	22	AN ACT relating to occupational safety and health.	batch-01	imported
HB398	yes	5	HS	1529623	senate	3604	2025-03-27	29	9	AN ACT relating to occupational safety and health.	batch-01	imported
HB399	yes	4	HS	1508782	house	189	2025-03-07	68	26	AN ACT relating to interference with a legislative proceeding.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
HB399	yes	4	HS	1517650	senate	3511	2025-03-13	30	7	AN ACT relating to interference with a legislative proceeding.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
HB399	yes	4	HS	1529592	house	329	2025-03-27	69	28	AN ACT relating to interference with a legislative proceeding.	batch-01	imported
HB399	yes	4	HS	1529593	senate	3667	2025-03-27	31	7	AN ACT relating to interference with a legislative proceeding.	batch-01	imported
HB424	yes	4	HS	1500605	house	79	2025-02-26	78	17	AN ACT relating to employment at public postsecondary education institutions.	batch-02:not-selected	filter 4: one roll per measure per chamber. The chamber's later divided roll was selected instead.
HB424	yes	4	HS	1517644	senate	3542	2025-03-13	30	7	AN ACT relating to employment at public postsecondary education institutions.	batch-02:not-selected	filter 4: one roll per measure per chamber. The chamber's later divided roll was selected instead.
HB424	yes	4	HS	1529584	house	319	2025-03-27	80	20	AN ACT relating to employment at public postsecondary education institutions.	batch-02	"dropped from batch-01, re-read for batch-02 and imported with no stance. The batch-01 note that the Act turns a closed list of removal grounds into an open-ended one was checked against the Act and is wrong: KRS 164.360 already read ""for cause, which shall include""."
HB424	yes	4	HS	1529585	senate	3616	2025-03-27	29	9	AN ACT relating to employment at public postsecondary education institutions.	batch-02	"dropped from batch-01, re-read for batch-02 and imported with no stance. The batch-01 note that the Act turns a closed list of removal grounds into an open-ended one was checked against the Act and is wrong: KRS 164.360 already read ""for cause, which shall include""."
HB455	no	2	H	1499474	house	72	2025-02-25	78	17	AN ACT relating to elections.	batch-02:not-selected	filter 4: one roll per measure per chamber. The chamber's later divided roll was selected instead.
HB455	no	2	H	1518196	house	295	2025-03-14	71	17	AN ACT relating to elections.	batch-02	imported
HB495	yes	5	HS	1506890	house	149	2025-03-05	77	18	AN ACT relating to healthcare services and declaring an emergency.	batch-02:not-selected	filter 4: one roll per measure per chamber. The chamber's later divided roll was selected instead.
HB495	yes	5	HS	1517649	senate	3524	2025-03-13	28	6	AN ACT relating to healthcare services and declaring an emergency.	batch-02:not-selected	filter 4: one roll per measure per chamber. The chamber's later divided roll was selected instead.
HB495	yes	5	HS	1518151	house	305	2025-03-14	67	19	AN ACT relating to healthcare services and declaring an emergency.	batch-02:not-selected	filter 4: one roll per measure per chamber. The chamber's later divided roll was selected instead.
HB495	yes	5	HS	1529619	house	311	2025-03-27	78	20	AN ACT relating to healthcare services and declaring an emergency.	batch-02	imported
HB495	yes	5	HS	1529620	senate	3598	2025-03-27	31	6	AN ACT relating to healthcare services and declaring an emergency.	batch-02	imported
HB501	no	1	H	1530738	house	359	2025-03-28	83	16	AN ACT relating to pharmaceutical drugs.	dropped	dropped, filter 5: pairs a rule letting pharmacists fill a dead prescriber's prescriptions for 180 days with an amendment to HB 495's Medicaid gender-care ban. Two unrelated subjects.
HB520	no	2	HS	1505169	house	135	2025-03-04	78	21	AN ACT relating to law enforcement records.	batch-01	imported
HB520	no	2	HS	1518204	senate	3569	2025-03-14	25	12	AN ACT relating to law enforcement records.	batch-01	imported
HB546	yes	2	HS	1529639	house	325	2025-03-27	77	16	AN ACT relating to transportation, making an appropriation therefor, and declaring an emergency.	dropped	dropped, filter 5: a transportation appropriation. Budget measures carry no single subject.
HB546	yes	2	HS	1529640	senate	3618	2025-03-27	32	6	AN ACT relating to transportation, making an appropriation therefor, and declaring an emergency.	dropped	dropped, filter 5: a transportation appropriation. Budget measures carry no single subject.
HB566	yes	4	HS	1496596	house	56	2025-02-21	73	18	AN ACT relating to the Kentucky Horse Racing and Gaming Corporation and declaring an emergency.	dropped	dropped, filter 5: an omnibus rewrite of the Horse Racing and Gaming Corporation covering audit frequency, board seats, charitable gaming, fund transfers and sports wagering licenses. No single direction.
HB566	yes	4	HS	1516617	senate	3489	2025-03-12	31	7	AN ACT relating to the Kentucky Horse Racing and Gaming Corporation and declaring an emergency.	dropped	dropped, filter 5: an omnibus rewrite of the Horse Racing and Gaming Corporation covering audit frequency, board seats, charitable gaming, fund transfers and sports wagering licenses. No single direction.
HB566	yes	4	HS	1529613	house	320	2025-03-27	72	22	AN ACT relating to the Kentucky Horse Racing and Gaming Corporation and declaring an emergency.	dropped	dropped, filter 5: an omnibus rewrite of the Horse Racing and Gaming Corporation covering audit frequency, board seats, charitable gaming, fund transfers and sports wagering licenses. No single direction.
HB566	yes	4	HS	1529614	senate	3661	2025-03-27	30	6	AN ACT relating to the Kentucky Horse Racing and Gaming Corporation and declaring an emergency.	dropped	dropped, filter 5: an omnibus rewrite of the Horse Racing and Gaming Corporation covering audit frequency, board seats, charitable gaming, fund transfers and sports wagering licenses. No single direction.
HB606	no	1	H	1530717	house	361	2025-03-28	82	17	AN ACT relating to economic development.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB618	no	1	H	1530577	house	363	2025-03-28	76	14	AN ACT relating to alcoholic beverages.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB662	no	1	H	1530633	house	354	2025-03-28	77	17	AN ACT relating to personally identifiable information.	batch-02	imported
HB664	no	3	HS	1508770	house	191	2025-03-07	70	21	AN ACT relating to the operation of a motor vehicle and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB664	no	3	HS	1530505	house	365	2025-03-28	76	20	AN ACT relating to the operation of a motor vehicle and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB664	no	3	HS	1530504	senate	3673	2025-03-28	29	7	AN ACT relating to the operation of a motor vehicle and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB684	yes	2	HS	1529627	house	321	2025-03-27	84	15	AN ACT relating to elections.	dropped	dropped, filter 5, re-read for batch-02 and still dropped: the Act runs at least four ways at once — a 60-day surveillance retention rule that also puts a 60-day clock on requesting the video, certified write-in lists taken off public view, candidate residence addresses removed from three of the four public registers it touches, and certification gated on a hand-to-eye audit. Unlike HB 424's two strands, no honest three-sentence description can carry them all.
HB684	yes	2	HS	1529628	senate	3663	2025-03-27	30	6	AN ACT relating to elections.	dropped	dropped, filter 5, re-read for batch-02 and still dropped: the Act runs at least four ways at once — a 60-day surveillance retention rule that also puts a 60-day clock on requesting the video, certified write-in lists taken off public view, candidate residence addresses removed from three of the four public registers it touches, and certification gated on a hand-to-eye audit. Unlike HB 424's two strands, no honest three-sentence description can carry them all.
HB694	yes	5	HS	1500958	house	82	2025-02-26	77	18	AN ACT relating to Teachers' Retirement System benefit funding.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
HB694	yes	5	HS	1516608	senate	3482	2025-03-12	28	9	AN ACT relating to Teachers' Retirement System benefit funding.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
HB694	yes	5	HS	1517695	house	256	2025-03-13	67	20	AN ACT relating to Teachers' Retirement System benefit funding.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
HB694	yes	5	HS	1529633	house	328	2025-03-27	67	27	AN ACT relating to Teachers' Retirement System benefit funding.	batch-01	imported
HB694	yes	5	HS	1529634	senate	3668	2025-03-27	29	8	AN ACT relating to Teachers' Retirement System benefit funding.	batch-01	imported
HB695	yes	5	HS	1505290	house	138	2025-03-04	80	19	AN ACT relating to the Medicaid program and declaring an emergency.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
HB695	yes	5	HS	1518180	house	307	2025-03-14	72	19	AN ACT relating to the Medicaid program and declaring an emergency.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
HB695	yes	5	HS	1518178	senate	3580	2025-03-14	29	7	AN ACT relating to the Medicaid program and declaring an emergency.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
HB695	yes	5	HS	1529588	house	316	2025-03-27	80	20	AN ACT relating to the Medicaid program and declaring an emergency.	batch-01	imported
HB695	yes	5	HS	1529589	senate	3605	2025-03-27	29	7	AN ACT relating to the Medicaid program and declaring an emergency.	batch-01	imported
HB775	no	2	H	1514927	house	213	2025-03-11	67	18	AN ACT relating to fiscal matters.	dropped	dropped, filter 5: a fiscal matters measure. Budget measures carry no single subject.
HB775	no	2	H	1518206	house	296	2025-03-14	61	23	AN ACT relating to fiscal matters.	dropped	dropped, filter 5: a fiscal matters measure. Budget measures carry no single subject.
HJR15	no	1	S	1517690	senate	3537	2025-03-13	32	6	A JOINT RESOLUTION to return for permanent display on the New State Capitol grounds the granite Ten Commandmen	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HJR30	yes	2	HS	1529590	house	323	2025-03-27	82	18	A JOINT RESOLUTION authorizing the release of funds.	dropped	dropped, filter 5: a joint resolution authorizing the release of funds. A money resolution carries no single subject.
HJR30	yes	2	HS	1529591	senate	3662	2025-03-27	29	7	A JOINT RESOLUTION authorizing the release of funds.	dropped	dropped, filter 5: a joint resolution authorizing the release of funds. A money resolution carries no single subject.
HJR46	yes	1	H	1529603	house	324	2025-03-27	80	20	A JOINT RESOLUTION relating to road projects and declaring an emergency.	dropped	dropped, filter 5: a joint resolution on road projects and the release of road funds. A money resolution carries no single subject.
SB2	no	1	S	1492901	senate	3362	2025-02-18	31	6	AN ACT relating to correctional facilities.	batch-02	imported
SB9	no	1	S	1506432	senate	3435	2025-03-05	31	7	AN ACT relating to teacher benefit provisions and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
SB19	yes	5	HS	1499407	senate	3385	2025-02-25	31	6	AN ACT relating to permitted uses of time during the school day.	dropped	dropped, filter 5: mandatory daily moment of silence plus released time for off-campus moral instruction, with the district still drawing state attendance funding for the hour. Runs both ways under civil_rights, and the education-quality reading is a stretch. Connecticut SB 11 precedent.
SB19	yes	5	HS	1517837	house	260	2025-03-13	72	19	AN ACT relating to permitted uses of time during the school day.	dropped	dropped, filter 5: mandatory daily moment of silence plus released time for off-campus moral instruction, with the district still drawing state attendance funding for the hour. Runs both ways under civil_rights, and the education-quality reading is a stretch. Connecticut SB 11 precedent.
SB19	yes	5	HS	1518174	senate	3554	2025-03-14	26	10	AN ACT relating to permitted uses of time during the school day.	dropped	dropped, filter 5: mandatory daily moment of silence plus released time for off-campus moral instruction, with the district still drawing state attendance funding for the hour. Runs both ways under civil_rights, and the education-quality reading is a stretch. Connecticut SB 11 precedent.
SB19	yes	5	HS	1529632	house	337	2025-03-27	74	17	AN ACT relating to permitted uses of time during the school day.	dropped	dropped, filter 5: mandatory daily moment of silence plus released time for off-campus moral instruction, with the district still drawing state attendance funding for the hour. Runs both ways under civil_rights, and the education-quality reading is a stretch. Connecticut SB 11 precedent.
SB19	yes	5	HS	1529631	senate	3584	2025-03-27	29	8	AN ACT relating to permitted uses of time during the school day.	dropped	dropped, filter 5: mandatory daily moment of silence plus released time for off-campus moral instruction, with the district still drawing state attendance funding for the hour. Runs both ways under civil_rights, and the education-quality reading is a stretch. Connecticut SB 11 precedent.
SB25	no	4	HS	1518155	house	272	2025-03-14	69	19	AN ACT relating to oversight of government operations and declaring an emergency.	dropped	dropped, filter 5: an omnibus covering revenue bonds for multi-family housing, a new Medicaid oversight board, fire marshal appeal boards and a rebuild of the state Auditor's office. No single subject to name.
SB25	no	4	HS	1518156	senate	3571	2025-03-14	30	7	AN ACT relating to oversight of government operations and declaring an emergency.	dropped	dropped, filter 5: an omnibus covering revenue bonds for multi-family housing, a new Medicaid oversight board, fire marshal appeal boards and a rebuild of the state Auditor's office. No single subject to name.
SB25	no	4	HS	1529610	house	340	2025-03-27	72	19	AN ACT relating to oversight of government operations and declaring an emergency.	dropped	dropped, filter 5: an omnibus covering revenue bonds for multi-family housing, a new Medicaid oversight board, fire marshal appeal boards and a rebuild of the state Auditor's office. No single subject to name.
SB25	no	4	HS	1529609	senate	3583	2025-03-27	31	6	AN ACT relating to oversight of government operations and declaring an emergency.	dropped	dropped, filter 5: an omnibus covering revenue bonds for multi-family housing, a new Medicaid oversight board, fire marshal appeal boards and a rebuild of the state Auditor's office. No single subject to name.
SB28	yes	1	S	1529611	senate	3586	2025-03-27	32	6	AN ACT relating to agricultural economic development and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
SB65	yes	4	HS	1516611	senate	3504	2025-03-12	26	6	AN ACT relating to deficient administrative regulations and declaring an emergency.	batch-02:not-selected	filter 4: one roll per measure per chamber. The chamber's later divided roll was selected instead.
SB65	yes	4	HS	1529597	house	331	2025-03-27	72	15	AN ACT relating to deficient administrative regulations and declaring an emergency.	batch-02:not-selected	filter 4: one roll per measure per chamber. The chamber's later divided roll was selected instead.
SB65	yes	4	HS	1529599	house	334	2025-03-27	75	18	AN ACT relating to deficient administrative regulations and declaring an emergency.	batch-02	imported
SB65	yes	4	HS	1529596	senate	3585	2025-03-27	32	6	AN ACT relating to deficient administrative regulations and declaring an emergency.	batch-02	imported
SB84	yes	5	HS	1492904	senate	3368	2025-02-18	28	6	AN ACT relating to judicial review of state agency action.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
SB84	yes	5	HS	1515379	house	205	2025-03-11	80	19	AN ACT relating to judicial review of state agency action.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
SB84	yes	5	HS	1516644	senate	3500	2025-03-12	32	6	AN ACT relating to judicial review of state agency action.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
SB84	yes	5	HS	1529581	house	336	2025-03-27	74	18	AN ACT relating to judicial review of state agency action.	batch-01	imported
SB84	yes	5	HS	1529580	senate	3587	2025-03-27	32	6	AN ACT relating to judicial review of state agency action.	batch-01	imported
SB89	yes	4	HS	1516643	house	222	2025-03-12	69	26	AN ACT relating to environmental protection and declaring an emergency.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
SB89	yes	4	HS	1517693	senate	3518	2025-03-13	31	7	AN ACT relating to environmental protection and declaring an emergency.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
SB89	yes	4	HS	1529606	house	339	2025-03-27	66	23	AN ACT relating to environmental protection and declaring an emergency.	batch-01	imported
SB89	yes	4	HS	1529605	senate	3588	2025-03-27	29	8	AN ACT relating to environmental protection and declaring an emergency.	batch-01	imported
SB100	no	1	S	1517666	senate	3519	2025-03-13	32	6	AN ACT relating to tobacco, nicotine, or vapor product licensure.	batch-01	imported
SB162	no	1	S	1507899	senate	3441	2025-03-06	31	7	AN ACT relating to unemployment insurance.	dropped	dropped, filter 5: requires the cabinet to refer merely suspected unemployment benefit fraud to prosecutors within 30 days. Reads as anti-fraud enforcement and as a burden on claimants before any finding, with no honest single direction.
SB183	yes	3	HS	1505000	senate	3422	2025-03-04	32	6	AN ACT relating to the fiduciary duties owed to the state-administered retirement systems.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
SB183	yes	3	HS	1529602	house	332	2025-03-27	72	17	AN ACT relating to the fiduciary duties owed to the state-administered retirement systems.	batch-01	imported
SB183	yes	3	HS	1529601	senate	3589	2025-03-27	31	7	AN ACT relating to the fiduciary duties owed to the state-administered retirement systems.	batch-01	imported
SB202	no	3	HS	1508766	senate	3447	2025-03-07	29	6	AN ACT relating to regulated beverages and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
SB202	no	3	HS	1516642	house	226	2025-03-12	77	17	AN ACT relating to regulated beverages and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
SB202	no	3	HS	1517715	senate	3523	2025-03-13	22	13	AN ACT relating to regulated beverages and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
SB207	yes	4	HS	1518224	house	275	2025-03-14	73	16	AN ACT relating to education.	dropped	dropped, filter 5: the School Innovation Act lets local boards seek waivers from statutes and regulations while also requiring districts to use instructional materials from a state-approved list. Local flexibility and a state mandate pull opposite ways inside public_education_quality.
SB207	yes	4	HS	1518225	senate	3574	2025-03-14	31	6	AN ACT relating to education.	dropped	dropped, filter 5: the School Innovation Act lets local boards seek waivers from statutes and regulations while also requiring districts to use instructional materials from a state-approved list. Local flexibility and a state mandate pull opposite ways inside public_education_quality.
SB207	yes	4	HS	1529630	house	338	2025-03-27	78	16	AN ACT relating to education.	dropped	dropped, filter 5: the School Innovation Act lets local boards seek waivers from statutes and regulations while also requiring districts to use instructional materials from a state-approved list. Local flexibility and a state mandate pull opposite ways inside public_education_quality.
SB207	yes	4	HS	1529629	senate	3590	2025-03-27	31	7	AN ACT relating to education.	dropped	dropped, filter 5: the School Innovation Act lets local boards seek waivers from statutes and regulations while also requiring districts to use instructional materials from a state-approved list. Local flexibility and a state mandate pull opposite ways inside public_education_quality.
SB245	yes	2	HS	1529816	house	335	2025-03-27	77	15	AN ACT relating to the Department of Fish and Wildlife Resources Commission and declaring an emergency.	dropped	dropped, filter 5: the only change is that a Fish and Wildlife commissioner whose reappointment the Senate declines must vacate the seat at adjournment. Too thin to name a subject a reader would recognize.
SB245	yes	2	HS	1529815	senate	3591	2025-03-27	32	6	AN ACT relating to the Department of Fish and Wildlife Resources Commission and declaring an emergency.	dropped	dropped, filter 5: the only change is that a Fish and Wildlife commissioner whose reappointment the Senate declines must vacate the seat at adjournment. Too thin to name a subject a reader would recognize.
