bill	type	chamber	date	roll	yea	nay	status	qclass	roll_number_in_history	disposition	desc	title
HB48	B	senate	2023-05-18	1327735	18	11	4	passage			Read a Third Time and Pass	Relating to municipalities; to amend Section 11-42-5 of the Code of Alabama 1975, to validate and ratify under certain conditions any municipal annexation by an
HB62	B	house	2023-04-20	1306155	51	26	4	passage			Read a Third Time and Pass	Relating to building codes; to provide a limited exemption to applicable building codes for certain nonprofit veterans' organizations that acquire certain build
SB1	B	house	2023-04-11	1300210	79	24	4	passage			Read a Third Time and Pass	Relating to correctional incentive time; to amend Section 14-9-41, as last amended by Act 2022-322, 2022 Regular Session, Code of Alabama 1975, to reduce the am
SB10	B	house	2023-05-02	1316694	77	28	4	passage			Read a Third Time and Pass	Relating to electronic vote counting systems; to amend Section 17-7-21, Code of Alabama 1975, to prohibit the use of electronic vote counting systems that are c
SB118	B	senate	2023-05-11	1323469	21	8	2	passage			Read a Third Time and Pass	Relating to municipalities; to amend Section 11-42-5 of the Code of Alabama 1975, to validate and ratify under certain conditions any municipal annexation by an
SB181	B	senate	2023-05-16	1325654	11	20	1	passage			Read A Third Time And Passed As Amended	Relating to K-12 public education; to amend Section 16-1-14, Code of Alabama 1975; to provide legislative findings; to provide a uniform system of procedural du
SB184	B	house	2023-05-31	1336033	77	25	4	passage			Read a Third Time and Pass as Amended	Relating to the Department of Corrections; to add Section 14-1-25 to the Code of Alabama 1975, to provide that the Department of Corrections may expend funds to
SB198	B	house	2023-05-31	1335966	74	27	4	passage			Read a Third Time and Pass	Relating to sentencing; to amend Sections 12-25-34.2, 13A-4-1, 13A-4-2, 13A-4-3, 13A-5-6, 15-18-8, and 15-22-54, Code of Alabama 1975, to add additional offense
SB206	B	house	2023-05-31	1336162	76	27	4	passage			Read a Third Time and Pass as Amended	Relating to crimes and offenses; to create the Retail Theft Crime Prevention Act; to provide for the crime of retail theft in various degrees; to provide for th
SB261	B	senate	2023-05-18	1327663	27	8	4	passage			Read A Third Time And Passed As Amended	Relating to public contracts; to prohibit governmental entities from entering into certain contracts with companies that boycott businesses because the business
SB261	B	house	2023-05-31	1336165	74	27	4	passage			Read a Third Time and Pass	Relating to public contracts; to prohibit governmental entities from entering into certain contracts with companies that boycott businesses because the business
SB263	B	senate	2023-05-24	1331411	26	7	4	passage			Read A Third Time And Passed As Amended	Relating to the Alabama Accountability Act of 2013; to amend Sections 16-6D-3, 16-6D-4, 16-6D-6, 16-6D-8, and 16-6D-9, Code of Alabama 1975; to change the terms
SB278	B	house	2023-05-25	1333046	66	27	4	passage			Read a Third Time and Pass as Amended	Relating to education; to create the Distressed Institutions of Higher Education Revolving Loan Program to be administered by the State Treasurer; to define "el
SB301	B	house	2023-06-06	1339599	57	37	4	passage			Read a Third Time and Pass as Amended	Relating to motor vehicles; to add Section 32-5A-350.1 to the Code of Alabama 1975, to further provide for the prohibition against using a wireless telecommunic
SB9	B	house	2023-05-02	1316753	78	27	4	passage			Read a Third Time and Pass	Relating to voting; to amend Section 17-7-23, Code of Alabama 1975, to require any approved electronic vote counting system used in an election to require the u
