bill	striker	title	origin	second_chamber_amended	veto_date	chamber	roll	date	tally	divided_rolls	later_kept	version	disposition	reason
HB2050		Provisional ballots; cure data	H	no	2025-05-06	senate	1560422	2025-04-29	17-12	1	0	vetoed_text	dropped	daily provisional-ballot list to the political parties during the cure period; helps voters fix ballots but also hands voter data to parties, so it runs both ways
HB2058		Immunizations; proof; exemptions; higher education	H	no	2025-04-15	house	1499980	2025-02-26	32-27	1	0	vetoed_text	deferred:direction-call	requires universities to grant an immunization exemption on a signed statement; vaccine-adjacent, escalate under the fluoride rule
HB2058		Immunizations; proof; exemptions; higher education	H	no	2025-04-15	senate	1541890	2025-04-09	17-13	1	0	vetoed_text	deferred:direction-call	requires universities to grant an immunization exemption on a signed statement; vaccine-adjacent, escalate under the fluoride rule
HB2060		State sovereign authority; elections	H	no	2025-04-15	house	1500249	2025-02-26	32-27	1	0	vetoed_text	dropped	would apply state voter qualifications, including citizenship and residency, to federal elections; the direction is contested and it cuts across federal registration law
HB2060		State sovereign authority; elections	H	no	2025-04-15	senate	1539579	2025-04-08	17-11	1	0	vetoed_text	dropped	would apply state voter qualifications, including citizenship and residency, to federal elections; the direction is contested and it cuts across federal registration law
HB2062		Sex-based terms; laws; rules; regulations	H	no	2025-04-15	house	1487729	2025-02-12	32-27	1	0	vetoed_text	batch-03	imported
HB2062		Sex-based terms; laws; rules; regulations	H	no	2025-04-15	senate	1539608	2025-04-08	17-11	1	0	vetoed_text	batch-03	imported
HB2063		Parental notification; school immunization exemptions	H	no	2025-04-15	house	1499069	2025-02-25	33-27	1	0	vetoed_text	deferred:direction-call	school immunization notices must set out the exemptions; vaccine-adjacent, escalate under the fluoride rule
HB2063		Parental notification; school immunization exemptions	H	no	2025-04-15	senate	1541788	2025-04-09	17-13	1	0	vetoed_text	deferred:direction-call	school immunization notices must set out the exemptions; vaccine-adjacent, escalate under the fluoride rule
HB2067	SE	Governing boards; records; access	H	yes	2025-05-12	house	1565635	2025-05-06	32-23	1	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2067	SE	Governing boards; records; access	H	yes	2025-05-12	senate	1560249	2025-04-29	17-12	1	0	vetoed_text	dropped	gives a school board member access to all district records; internal governance, narrow
HB2086		Water improvements program; water hauling	H	no	2025-04-15	house	1491224	2025-02-17	33-26	1	0	vetoed_text	dropped	adds water hauling and storage tanks to an eligible county grant list; narrow program eligibility
HB2086		Water improvements program; water hauling	H	no	2025-04-15	senate	1542035	2025-04-09	17-13	1	0	vetoed_text	dropped	adds water hauling and storage tanks to an eligible county grant list; narrow program eligibility
HB2088		Subsequent AMA; director; removal	H	no	2025-04-15	house	1487074	2025-02-11	32-26	1	0	vetoed_text	batch-04	imported
HB2088		Subsequent AMA; director; removal	H	no	2025-04-15	senate	1543086	2025-04-09	16-14	1	0	vetoed_text	batch-04	imported
HB2089		Subsequent AMA; voters; removal	H	no	2025-04-15	house	1487581	2025-02-12	32-27	1	0	vetoed_text	batch-04	imported
HB2089		Subsequent AMA; voters; removal	H	no	2025-04-15	senate	1541937	2025-04-09	16-14	1	0	vetoed_text	batch-04	imported
HB2090		Acting in concert; evidence; exceptions	H	no	2025-04-15	house	1487643	2025-02-12	36-23	1	0	vetoed_text	dropped	narrows what counts as unlawfully acting in concert to split land; more lots against weaker control of unserviced subdivisions
HB2090		Acting in concert; evidence; exceptions	H	no	2025-04-15	senate	1542033	2025-04-09	17-13	1	0	vetoed_text	dropped	narrows what counts as unlawfully acting in concert to split land; more lots against weaker control of unserviced subdivisions
HB2091	SE	Assured water supply; certificate; model	H	yes	2025-07-01	house	1594615	2025-06-24	34-22	1	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2091	SE	Assured water supply; certificate; model	H	yes	2025-07-01	senate	1593272	2025-06-20	17-12	1	0	vetoed_text	dropped	orders a fresh review of assured water supply applications filed in one date window in the Phoenix area; bespoke relief
HB2092		Land divisions; disclosure affidavit; recording	H	yes	2025-05-12	house	1565973	2025-05-06	34-21	1	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2092		Land divisions; disclosure affidavit; recording	H	yes	2025-05-12	senate	1560536	2025-04-29	18-11	1	0	vetoed_text	dropped	affidavit of disclosure procedure for land divisions; technical
HB2094		Real estate; definition of contiguous	H	no	2025-04-15	house	1488992	2025-02-13	42-11	1	0	vetoed_text	dropped	redefines contiguous land to include parcels split by a private road; technical definition
HB2094		Real estate; definition of contiguous	H	no	2025-04-15	senate	1542178	2025-04-09	16-14	1	0	vetoed_text	dropped	redefines contiguous land to include parcels split by a private road; technical definition
HB2099		Governor; attorney general; duties; immigration	H	yes	2025-05-02	house	1558999	2025-04-28	32-23	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2099		Governor; attorney general; duties; immigration	H	yes	2025-05-02	senate	1541844	2025-04-09	17-13	1	0	vetoed_text	batch-03	imported
HB2121		SNAP; mandatory employment and training	H	no	2025-05-06	house	1498712	2025-02-25	33-27	1	0	vetoed_text	batch-04	imported
HB2121		SNAP; mandatory employment and training	H	no	2025-05-06	senate	1560325	2025-04-29	17-12	1	0	vetoed_text	batch-04	imported
HB2122		SNAP; work requirement waivers; exemptions	H	no	2025-05-06	house	1499114	2025-02-25	33-27	1	0	vetoed_text	batch-04	imported
HB2122		SNAP; work requirement waivers; exemptions	H	no	2025-05-06	senate	1560323	2025-04-29	17-12	1	0	vetoed_text	batch-04	imported
HB2126		Medical records; parental rights	H	no	2025-04-15	house	1498791	2025-02-25	35-25	1	0	vetoed_text	dropped	parent access to a minor's health portal while keeping confidentiality the law already owes the child; parental rights against adolescent confidentiality
HB2126		Medical records; parental rights	H	no	2025-04-15	senate	1541881	2025-04-09	17-13	1	0	vetoed_text	dropped	parent access to a minor's health portal while keeping confidentiality the law already owes the child; parental rights against adolescent confidentiality
HB2153		Voting locations; political party observers	H	no	2025-04-15	house	1486520	2025-02-11	32-26	1	0	vetoed_text	dropped	party representatives acting as challengers at early voting sites; observation against the risk of pressure on voters, a contested direction
HB2153		Voting locations; political party observers	H	no	2025-04-15	senate	1541842	2025-04-09	17-13	1	0	vetoed_text	dropped	party representatives acting as challengers at early voting sites; observation against the risk of pressure on voters, a contested direction
HB2154		Early voting list; undeliverable ballots	H	no	2025-05-06	house	1503398	2025-03-03	32-26	1	0	vetoed_text	batch-03	imported
HB2154		Early voting list; undeliverable ballots	H	no	2025-05-06	senate	1560172	2025-04-29	17-12	1	0	vetoed_text	batch-03	imported
HB2165		SNAP; prohibited purchases; waiver	H	no	2025-04-15	house	1500479	2025-02-26	32-27	1	0	vetoed_text	batch-04	imported
HB2165		SNAP; prohibited purchases; waiver	H	no	2025-04-15	senate	1539396	2025-04-08	17-11	1	0	vetoed_text	batch-04	imported
HB2169		School districts; board meetings; expenditures	H	no	2025-04-18	senate	1548811	2025-04-15	17-13	1	0	vetoed_text	batch-04	imported
HB2202		Subsequent AMA; previously nonirrigated land	H	no	2025-04-15	house	1487906	2025-02-12	32-27	1	0	vetoed_text	batch-04	imported
HB2202		Subsequent AMA; previously nonirrigated land	H	no	2025-04-15	senate	1541785	2025-04-09	16-14	1	0	vetoed_text	batch-04	imported
HB2203		Historical water use; subsequent AMA	H	yes	2025-05-02	house	1558917	2025-04-28	32-23	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2203		Historical water use; subsequent AMA	H	yes	2025-05-02	senate	1543237	2025-04-09	16-14	1	0	vetoed_text	batch-04	imported
HB2205		Election procedures manual; authority	H	no	2025-05-06	house	1495166	2025-02-20	33-26	1	0	vetoed_text	dropped	declares the elections procedures manual delegation lawful and limits its force; legalistic and contested between legislative control and election administration
HB2205		Election procedures manual; authority	H	no	2025-05-06	senate	1560456	2025-04-29	17-12	1	0	vetoed_text	dropped	declares the elections procedures manual delegation lawful and limits its force; legalistic and contested between legislative control and election administration
HB2206		Multistate voter registration system; prohibition	H	yes	2025-05-13	house	1567454	2025-05-07	33-25	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2206		Multistate voter registration system; prohibition	H	yes	2025-05-13	senate	1566615	2025-05-06	17-11	1	0	vetoed_text	dropped	would pull the state out of a multistate voter list maintenance body; cleaner rolls against protecting voter data, opposite directions inside election_integrity
HB2221		Law enforcement; defunding; prohibition	H	yes	2025-05-12	house	1565614	2025-05-06	34-22	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2221		Law enforcement; defunding; prohibition	H	yes	2025-05-12	senate	1560244	2025-04-29	16-13	1	0	vetoed_text	batch-04	imported
HB2222		Settlement agreements; report; approval	H	yes	2025-05-12	house	1565627	2025-05-06	32-24	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2222		Settlement agreements; report; approval	H	yes	2025-05-12	senate	1560273	2025-04-29	17-12	1	0	vetoed_text	batch-04	imported
HB2233	SE	Corporation commission; lobbying; prohibition	H	yes	2025-05-12	house	1565779	2025-05-06	32-24	3	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2233	SE	Corporation commission; lobbying; prohibition	H	yes	2025-05-12	senate	1560471	2025-04-29	17-12	1	0	vetoed_text	batch-04	imported
HB2256	SE	Domestic proceedings; therapeutic intervention; prohibition	H	yes	2025-05-12	house	1565624	2025-05-06	36-19	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2256	SE	Domestic proceedings; therapeutic intervention; prohibition	H	yes	2025-05-12	senate	1560263	2025-04-29	17-12	1	0	vetoed_text	dropped	court-ordered therapeutic intervention and expert testimony in custody cases; family law procedure with no area fit
HB2257		DCS; vaccinations; child placement	H	no	2025-04-18	house	1500441	2025-02-26	32-27	1	0	vetoed_text	deferred:direction-call	bars refusing a foster placement solely on vaccination status; vaccine-adjacent, escalate under the fluoride rule
HB2257		DCS; vaccinations; child placement	H	no	2025-04-18	senate	1548885	2025-04-15	17-13	1	0	vetoed_text	deferred:direction-call	bars refusing a foster placement solely on vaccination status; vaccine-adjacent, escalate under the fluoride rule
HB2270		Groundwater model; stormwater recharge; AMAs	H	no	2025-04-15	house	1495075	2025-02-20	32-26	1	0	vetoed_text	dropped	orders groundwater models to count stormwater recharge; a modelling change whose direction cannot be read off the act
HB2270		Groundwater model; stormwater recharge; AMAs	H	no	2025-04-15	senate	1541945	2025-04-09	17-13	1	0	vetoed_text	dropped	orders groundwater models to count stormwater recharge; a modelling change whose direction cannot be read off the act
HB2271		Supply and demand; assessment; groundwater	H	no	2025-04-18	house	1500277	2025-02-26	32-27	1	0	vetoed_text	dropped	lists the data a five-year groundwater assessment must contain; technical reporting checklist
HB2271		Supply and demand; assessment; groundwater	H	no	2025-04-18	senate	1551021	2025-04-16	16-13	1	0	vetoed_text	dropped	lists the data a five-year groundwater assessment must contain; technical reporting checklist
HB2274	SE	Water improvement district; Willcox basin	H	yes	2025-05-12	house	1565967	2025-05-06	31-23	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2274	SE	Water improvement district; Willcox basin	H	yes	2025-05-12	senate	1560432	2025-04-29	17-11	1	0	vetoed_text	dropped	lets one county call an election to create a water improvement district; local
HB2324	SE	Forfeiture; digital assets; reserve fund	H	yes	2025-07-01	house	1594519	2025-06-24	34-22	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2324	SE	Forfeiture; digital assets; reserve fund	H	yes	2025-07-01	senate	1592981	2025-06-19	16-14	2	0	vetoed_text	dropped	digital asset forfeiture and a state Bitcoin reserve fund; the Ohio HB 116 crypto shape with no honest direction
HB2375		Children with disabilities; evaluation; deadline	H	no	2025-04-18	house	1491220	2025-02-17	33-26	1	0	vetoed_text	batch-04	imported
HB2375		Children with disabilities; evaluation; deadline	H	no	2025-04-18	senate	1548979	2025-04-15	17-13	1	0	vetoed_text	batch-04	imported
HB2437		Drug-free homeless zones	H	no	2025-05-13	house	1509299	2025-03-10	31-25	2	0	vetoed_text	dropped	extra prison year for drug transfers in homeless service zones plus operator duties; tougher enforcement against deterring people from using shelters
HB2437		Drug-free homeless zones	H	no	2025-05-13	senate	1566446	2025-05-06	16-12	2	0	vetoed_text	dropped	extra prison year for drug transfers in homeless service zones plus operator duties; tougher enforcement against deterring people from using shelters
HB2438		Birth certificates; amendments; prohibition	H	yes	2025-05-02	house	1559219	2025-04-28	32-23	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2438		Birth certificates; amendments; prohibition	H	yes	2025-05-02	senate	1548507	2025-04-15	17-13	1	0	vetoed_text	batch-03	imported
HB2439		Website information; pregnant women	H	no	2025-05-06	house	1503222	2025-03-03	32-26	1	0	vetoed_text	dropped	a website link to pregnancy support and adoption information; light-touch and its framing is contested
HB2439		Website information; pregnant women	H	no	2025-05-06	senate	1560602	2025-04-29	17-11	1	0	vetoed_text	dropped	a website link to pregnancy support and adoption information; light-touch and its framing is contested
HB2440		Attorney general; election certification; prohibition	H	no	2025-05-06	house	1506024	2025-03-05	33-24	1	0	vetoed_text	batch-03	imported
HB2440		Attorney general; election certification; prohibition	H	no	2025-05-06	senate	1560493	2025-04-29	17-11	1	0	vetoed_text	batch-03	imported
HB2441		Psychologist board; complaint-related documents	H	no	2025-05-06	house	1499140	2025-02-25	33-27	1	0	vetoed_text	dropped	psychologist board must share investigation documents with the complainant; narrow
HB2441		Psychologist board; complaint-related documents	H	no	2025-05-06	senate	1560857	2025-04-29	17-11	1	0	vetoed_text	dropped	psychologist board must share investigation documents with the complainant; narrow
HB2449		AHCCCS; enrollment verification; presumptive eligibility	H	yes	2025-05-02	house	1559194	2025-04-28	32-23	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2449		AHCCCS; enrollment verification; presumptive eligibility	H	yes	2025-05-02	senate	1542303	2025-04-09	17-13	1	0	vetoed_text	batch-04	imported
HB2450		Unemployment insurance; benefit amounts	H	no	2025-05-06	house	1495196	2025-02-20	32-26	1	0	vetoed_text	batch-04	imported
HB2450		Unemployment insurance; benefit amounts	H	no	2025-05-06	senate	1560753	2025-04-29	17-11	1	0	vetoed_text	batch-04	imported
HB2515		Truth in taxation; bonds; notices	H	no	2025-04-18	house	1486530	2025-02-11	35-23	1	0	vetoed_text	dropped	updates the illustrative home values printed in tax and bond notices; technical
HB2515		Truth in taxation; bonds; notices	H	no	2025-04-18	senate	1544174	2025-04-10	18-11	1	0	vetoed_text	dropped	updates the illustrative home values printed in tax and bond notices; technical
HB2517		Written request; property locators	H	yes	2025-05-12	house	1566194	2025-05-06	33-21	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2517		Written request; property locators	H	yes	2025-05-12	senate	1560549	2025-04-29	17-11	1	0	vetoed_text	dropped	opens the unclaimed property database and caps locator fees at 30 percent; consumer protection against sanctioning a 30 percent cut
HB2527		Corporation commission; electricity; reliability; management	H	no	2025-04-18	house	1500404	2025-02-26	33-27	1	0	vetoed_text	batch-04	imported
HB2527		Corporation commission; electricity; reliability; management	H	no	2025-04-18	senate	1549778	2025-04-16	17-13	1	0	vetoed_text	batch-04	imported
HB2541		DCS; hearings; complete disclosure requirements	H	no	2025-04-18	house	1505017	2025-03-04	32-26	1	0	vetoed_text	dropped	notarised disclosure affidavits in dependency and termination cases; court procedure with no clean area fit
HB2541		DCS; hearings; complete disclosure requirements	H	no	2025-04-18	senate	1550054	2025-04-16	17-12	1	0	vetoed_text	dropped	notarised disclosure affidavits in dependency and termination cases; court procedure with no clean area fit
HB2542		State contracts; foreign adversary; prohibition	H	yes	2025-06-25	house	1593197	2025-06-19	32-24	3	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2542		State contracts; foreign adversary; prohibition	H	yes	2025-06-25	senate	1593195	2025-06-19	17-13	2	0	vetoed_text	dropped	bars state contracts with companies based in China; matches the SB 1082 and SB 1221 China drops
HB2551		Grandfathered right; Willcox AMA; extension	H	no	2025-04-18	house	1486588	2025-02-11	32-26	1	0	vetoed_text	dropped	extends the deadline to file a grandfathered groundwater claim in one management area; procedural
HB2551		Grandfathered right; Willcox AMA; extension	H	no	2025-04-18	senate	1550964	2025-04-16	17-12	1	0	vetoed_text	dropped	extends the deadline to file a grandfathered groundwater claim in one management area; procedural
HB2570		Temporary non-expansion area	H	yes	2025-05-12	house	1565992	2025-05-06	32-22	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2570		Temporary non-expansion area	H	yes	2025-05-12	senate	1560790	2025-04-29	16-12	1	0	vetoed_text	batch-04	imported
HB2572	SE	Subsequent AMAs; groundwater rights; adequacy	H	yes	2025-05-02	house	1559239	2025-04-28	32-23	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2572	SE	Subsequent AMAs; groundwater rights; adequacy	H	yes	2025-05-02	senate	1549775	2025-04-16	16-14	1	0	vetoed_text	dropped	extends adequacy rules to new management areas but also lets acres be added to a grandfathered irrigation right; opposite directions in one act
HB2573		Groundwater; plants; wine grapes; non-irrigation	H	no	2025-04-18	house	1500664	2025-02-26	33-27	1	0	vetoed_text	batch-04	imported
HB2573		Groundwater; plants; wine grapes; non-irrigation	H	no	2025-04-18	senate	1551152	2025-04-16	16-13	1	0	vetoed_text	batch-04	imported
HB2574		Small land subdivision; requirements	H	no	2025-04-18	house	1513980	2025-03-11	31-26	1	0	vetoed_text	batch-04	imported
HB2574		Small land subdivision; requirements	H	no	2025-04-18	senate	1549805	2025-04-16	16-14	1	0	vetoed_text	batch-04	imported
HB2576		Notice; violation; deficiency correction	H	no	2025-04-18	house	1498795	2025-02-25	33-26	1	0	vetoed_text	dropped	an agency may only enforce after a regulated person fails to fix deficiencies in a reasonable time, with carve-outs for harm and repeat violations; due process for business against weaker enforcement
HB2576		Notice; violation; deficiency correction	H	no	2025-04-18	senate	1549699	2025-04-16	17-13	1	0	vetoed_text	dropped	an agency may only enforce after a regulated person fails to fix deficiencies in a reasonable time, with carve-outs for harm and repeat violations; due process for business against weaker enforcement
HB2610		School districts; board members; superintendent	H	yes	2025-06-24	house	1592417	2025-06-18	39-20	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2610		School districts; board members; superintendent	H	yes	2025-06-24	senate	1580063	2025-05-28	18-10	1	0	vetoed_text	dropped	on receivership, sacks the superintendent and vacates every school board seat; accountability against removing members voters elected
HB2640		School districts; leases; termination; nonrenewal	H	no	2025-04-18	house	1500152	2025-02-26	33-27	1	0	vetoed_text	dropped	charter right of first refusal on district buildings and freer use of sale proceeds; school-choice financing, following the Texas SB 2 and Georgia SB 82 precedent
HB2640		School districts; leases; termination; nonrenewal	H	no	2025-04-18	senate	1549945	2025-04-16	17-13	1	0	vetoed_text	dropped	charter right of first refusal on district buildings and freer use of sale proceeds; school-choice financing, following the Texas SB 2 and Georgia SB 82 precedent
HB2649		Electoral college; support	H	no	2025-04-18	house	1499234	2025-02-25	33-27	1	0	vetoed_text	dropped	declares legislative support for the electoral college; expressive, no operative effect
HB2649		Electoral college; support	H	no	2025-04-18	senate	1549899	2025-04-16	17-12	1	0	vetoed_text	dropped	declares legislative support for the electoral college; expressive, no operative effect
HB2651		Voting equipment; requirements; origin	H	no	2025-05-06	house	1499121	2025-02-25	33-27	1	0	vetoed_text	dropped	would certify only voting machines wholly made in the United States from 2029; supply-chain security against shrinking the pool of certifiable equipment
HB2651		Voting equipment; requirements; origin	H	no	2025-05-06	senate	1560513	2025-04-29	17-11	1	0	vetoed_text	dropped	would certify only voting machines wholly made in the United States from 2029; supply-chain security against shrinking the pool of certifiable equipment
HB2670		Health education; fetal development instruction	H	no	2025-04-18	house	1498969	2025-02-25	33-27	1	0	vetoed_text	dropped	fetal development instruction in 7th and 8th grade health classes with an opt out; a curriculum mandate whose purpose is contested and which fits no area cleanly
HB2670		Health education; fetal development instruction	H	no	2025-04-18	senate	1550041	2025-04-16	17-12	1	0	vetoed_text	dropped	fetal development instruction in 7th and 8th grade health classes with an opt out; a curriculum mandate whose purpose is contested and which fits no area cleanly
HB2671		DCS; kinship care placement; requirement	H	yes	2025-05-12	house	1565590	2025-05-06	35-19	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2693		Genetic sequencing; insurance; prohibition	H	yes	2025-05-02	house	1558976	2025-04-28	32-23	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2693		Genetic sequencing; insurance; prohibition	H	yes	2025-05-02	senate	1549698	2025-04-16	16-14	1	0	vetoed_text	dropped	limits insurance cover for genetic sequencing done on foreign adversary devices; matches the other China and foreign-adversary drops
HB2700		Academic standards; social studies; geography	H	no	2025-05-13	house	1506353	2025-03-05	32-25	1	0	vetoed_text	dropped	Gulf of America instruction in geography standards; expressive
HB2700		Academic standards; social studies; geography	H	no	2025-05-13	senate	1565995	2025-05-06	17-11	1	0	vetoed_text	dropped	Gulf of America instruction in geography standards; expressive
HB2703		Early voting; tabulation; ballot deadlines	H	no	2025-02-18	house	1487659	2025-02-12	32-27	1	0	vetoed_text	dropped	repeals emergency voting centers, changes early ballot return deadlines and allows tabulation during early voting; access restriction and administration change point different ways
HB2703		Early voting; tabulation; ballot deadlines	H	no	2025-02-18	senate	1489031	2025-02-13	16-10	1	0	vetoed_text	dropped	repeals emergency voting centers, changes early ballot return deadlines and allows tabulation during early voting; access restriction and administration change point different ways
HB2767		Voter registrations; transportation department; recorders	H	no	2025-05-13	house	1504963	2025-03-04	31-26	1	0	vetoed_text	dropped	motor vehicle registrations sent straight to county recorders within five days; administrative plumbing, matching the SB 1319 drop
HB2767		Voter registrations; transportation department; recorders	H	no	2025-05-13	senate	1565665	2025-05-06	17-11	1	0	vetoed_text	dropped	motor vehicle registrations sent straight to county recorders within five days; administrative plumbing, matching the SB 1319 drop
HB2774	SE	Small modular reactors; co-location	H	no	2025-04-18	house	1500462	2025-02-26	35-24	1	0	vetoed_text	dropped	small modular reactors: strips county siting control and lets a utility skip a certificate hearing; lower emissions against weaker review
HB2774	SE	Small modular reactors; co-location	H	no	2025-04-18	senate	1550136	2025-04-16	16-13	1	0	vetoed_text	dropped	small modular reactors: strips county siting control and lets a utility skip a certificate hearing; lower emissions against weaker review
HB2788		Utility; resource plan; commission review	H	no	2025-04-18	house	1500433	2025-02-26	31-28	1	0	vetoed_text	batch-04	imported
HB2788		Utility; resource plan; commission review	H	no	2025-04-18	senate	1550078	2025-04-16	17-12	1	0	vetoed_text	batch-04	imported
HB2798		Narcotic injection sites; zoning; prohibition	H	no	2025-05-13	house	1505075	2025-03-04	31-26	1	0	vetoed_text	dropped	bars local approval of supervised injection sites; harm reduction against prohibition is a contested-evidence direction, the fluoride rule
HB2798		Narcotic injection sites; zoning; prohibition	H	no	2025-05-13	senate	1566408	2025-05-06	17-11	1	0	vetoed_text	dropped	bars local approval of supervised injection sites; harm reduction against prohibition is a contested-evidence direction, the fluoride rule
HB2803		Mixed hoteling; signage; requirements	H	no	2025-05-13	house	1504925	2025-03-04	31-26	1	0	vetoed_text	dropped	warning signage where homeless services share a hotel; guest disclosure against stigmatising the service
HB2803		Mixed hoteling; signage; requirements	H	no	2025-05-13	senate	1565595	2025-05-06	17-11	1	0	vetoed_text	dropped	warning signage where homeless services share a hotel; guest disclosure against stigmatising the service
HB2814		Noncustodial federal monies; appropriation	H	no	2025-04-18	house	1500454	2025-02-26	32-27	1	0	vetoed_text	dropped	appropriation of noncustodial federal monies; excluded by the standing appropriations rule
HB2814		Noncustodial federal monies; appropriation	H	no	2025-04-18	senate	1549792	2025-04-16	17-12	1	0	vetoed_text	dropped	appropriation of noncustodial federal monies; excluded by the standing appropriations rule
HB2824		Legislative subpoena; perjury; refusal; contempt	H	yes	2025-05-07	house	1563719	2025-05-01	31-26	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
HB2824		Legislative subpoena; perjury; refusal; contempt	H	yes	2025-05-07	senate	1550371	2025-04-16	17-13	1	0	vetoed_text	dropped	legislative subpoena, perjury and contempt procedure; oversight power against separation of powers, contested
HB2867		Antisemitism; public schools; prohibition; penalties	H	yes	2025-06-10	house	1584687	2025-06-04	33-20	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft. The other chamber amended the bill, and Arizona publishes no member list for the vote on the final text
