bill	chamber	roll	date	yea	nay	title	disposition	reason
HB 2	senate	1521439	2025-03-19	24	16	General Appropriation Act Of 2025	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB 295	senate	1523991	2025-03-20	22	18	Tax On Property Owned By Nm Reta	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB 361	senate	1524438	2025-03-21	26	12	Emnrd Conversion Of Certain Wells	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB 450	senate	1523418	2025-03-20	25	16	Capital Outlay Projects	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB 458	senate	1524428	2025-03-22	26	11	Carbon Dioxide Storage Stewardship Act	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB 5	senate	1518104	2025-03-14	28	13	Office Of Child Advocate Act	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB 586	senate	1523944	2025-03-20	28	12	Public Peace, Health, Safety & Welfare	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB 6	senate	1524385	2025-03-21	23	15	Irb Project Minimum Wage	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB 66	senate	1518297	2025-03-16	25	14	Workers' Compensation Changes	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB 78	senate	1524233	2025-03-21	26	14	Prohibit Discrimination Against 340b Entities	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB 89	senate	1524477	2025-03-21	27	11	Graduate Scholarship Act Changes	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB 91	senate	1523409	2025-03-20	26	16	Public Utility Rate Structures	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 11	senate	1503061	2025-03-01	29	8	Anti-distraction Policy In Schools	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 113	senate	1503875	2025-03-03	28	12	Board & Commission Sunset Dates	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 120	senate	1518281	2025-03-15	19	14	No Behavioral Health Cost Sharing	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 16	senate	1494168	2025-02-19	27	11	Non-major Party Voters In Primary Elections	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 170	senate	1509692	2025-03-10	31	10	Nmfa Definitions, Funds & Rates	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 21	senate	1501137	2025-02-26	25	16	Pollutant Discharge Elimination System Act	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 23	senate	1497511	2025-02-22	21	15	Oil & Gas Royalty Rate Changes	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 236	senate	1505561	2024-02-10	28	9	Look Twice For Motorcycle License Plate	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 290	senate	1509662	2025-03-10	27	11	Raise Marriage License Fees	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 36	senate	1495995	2025-02-20	26	14	Sensitive Personal Information Nondisclosure	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 364	senate	1517365	2025-03-13	26	12	Law Enforcement Qualifications	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 37	senate	1505286	2025-03-04	25	15	Strategic Water Reserve Fund	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 375	senate	1518109	2025-03-14	25	11	Probation & Parole Changes	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 401	senate	1519870	2025-03-18	23	6	Broadband For Education	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 45	senate	1509714	2025-03-10	24	17	County Health Care Assistance Fund Use	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 48	senate	1499382	2025-02-25	23	15	Community Benefit Fund	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 481	senate	1519274	2025-03-17	24	15	State Fairgrounds District Act	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 5	senate	1503005	2025-03-01	28	12	Game Commission Reform	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 535	senate	1518282	2025-03-15	24	13	Public Peace, Health, Safety & Welfare	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 57	senate	1503760	2025-03-03	26	16	Medical Provider Patient Ipra Info	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 59	senate	1504989	2025-03-04	23	16	Public Works Minimum Wage Definitions	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 83	senate	1508036	2025-03-06	26	14	Innovation In State Government Fund	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
SB 9	senate	1507677	2025-03-06	26	14	Pipeline Safety Act Violations Civil Penalty	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
