chamber	roll	vote_date	measure_id	result	tally	disposition	detail
house	65	2025-03-10	H R 993	Passed	406-9	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	68	2025-03-11	H R 1156	Passed	295-127	pending	pandemic-era unemployment fraud statute of limitations; no research area fits without inventing a direction
house	70	2025-03-11	H R 1968	Passed	217-213	pending	appropriations: no research area maps honestly onto a vote to fund the government
house	71	2025-03-11	H J RES 25	Passed	292-132	judged	batch-02
house	72	2025-03-24	H R 359	Passed	405-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	73	2025-03-24	H R 1326	Passed	372-35	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	74	2025-03-25	H R 1534	Passed	350-73	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	77	2025-03-27	H J RES 24	Passed	203-182	judged	batch-02
house	78	2025-03-27	H J RES 75	Passed	214-193	judged	batch-02
house	83	2025-03-27	H R 1048	Passed	241-169	pending	DETERRENT Act foreign-gift disclosure; direction contested: reasonable people read the vote both ways within the area
house	84	2025-03-31	H R 517	Passed	388-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	85	2025-03-31	H R 997	Passed	385-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	88	2025-04-01	H R 1491	Passed	423-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	89	2025-04-07	H R 586	Passed	411-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	90	2025-04-07	H R 1039	Passed	412-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	95	2025-04-09	S J RES 28	Passed	219-211	judged	batch-02
house	96	2025-04-09	S J RES 18	Passed	217-211	judged	batch-02
house	98	2025-04-09	H R 1526	Passed	219-213	pending	NORRA nationwide-injunction limits; direction contested: reasonable people read the vote both ways within the area
house	99	2025-04-09	H R 1228	Passed	424-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	102	2025-04-10	H R 22	Passed	220-208	judged	pilot-119-1
house	103	2025-04-28	H R 973	Passed	365-42	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	104	2025-04-28	S 146	Passed	409-2	judged	batch-03
house	107	2025-04-29	H R 1402	Passed	409-15	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	108	2025-04-29	H R 1442	Passed	378-42	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	109	2025-04-29	H R 859	Passed	415-9	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	110	2025-04-29	H J RES 60	Passed	219-205	judged	batch-03
house	111	2025-04-30	H J RES 87	Passed	231-191	judged	batch-03
house	112	2025-04-30	H J RES 89	Passed	225-196	judged	batch-03
house	113	2025-05-01	H J RES 78	Passed	216-195	judged	batch-03
house	114	2025-05-01	H J RES 88	Passed	246-164	judged	batch-03
house	115	2025-05-05	H R 530	Passed	376-5	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	116	2025-05-05	H R 36	Passed	349-42	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	119	2025-05-07	H R 1503	Passed	406-1	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	120	2025-05-07	H R 881	Passed	266-153	pending	Confucius Institute funding restrictions; direction contested: reasonable people read the vote both ways within the area
house	122	2025-05-08	H R 276	Passed	211-206	pending	Gulf of America renaming; symbolic, no research area of interest
house	124	2025-05-13	H R 249	Passed	362-50	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	125	2025-05-14	H R 2215	Passed	382-31	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	128	2025-05-14	H R 2243	Passed	229-193	judged	batch-03
house	130	2025-05-15	H R 2255	Passed	234-182	pending	retired-officer service weapon purchases; marginal, no research area fits without inventing a direction
house	131	2025-05-15	H R 2240	Passed	403-11	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	132	2025-05-19	H R 1263	Passed	334-51	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	133	2025-05-19	H R 1286	Passed	386-1	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	136	2025-05-20	H R 1223	Passed	412-11	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	137	2025-05-20	S J RES 13	Passed	220-207	judged	batch-04
house	143	2025-05-22	S J RES 31	Passed	216-212	judged	batch-04
house	145	2025-05-22	H R 1	Passed	215-214	judged	pilot-119-1
house	146	2025-06-03	H R 1642	Passed	396-5	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	147	2025-06-03	H R 1804	Passed	405-3	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	151	2025-06-04	H R 2483	Passed	366-57	judged	batch-04
house	153	2025-06-05	H R 2931	Passed	211-199	judged	batch-04
house	155	2025-06-05	H R 2987	Passed	214-198	pending	CEASE Act cap on SBA lending companies; no research area fits without inventing a direction
house	156	2025-06-06	H R 2966	Passed	217-190	judged	batch-04
house	157	2025-06-09	H R 2035	Passed	373-14	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	162	2025-06-10	H R 2096	Passed	235-178	pending	DC police discipline rollback; direction contested: reasonable people read the vote both ways within the area
house	163	2025-06-10	H R 884	Passed	266-148	judged	batch-04
house	166	2025-06-12	S 331	Passed	321-104	judged	batch-04
house	168	2025-06-12	H R 4	Passed	214-212	judged	pilot-119-1
house	171	2025-06-12	H R 2056	Passed	224-194	judged	batch-04
house	172	2025-06-23	H R 1998	Passed	392-14	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	173	2025-06-23	H R 3394	Passed	397-12	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	174	2025-06-23	H R 3422	Passed	321-87	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	182	2025-06-25	H R 3944	Passed	218-206	pending	appropriations: no research area maps honestly onto a vote to fund the government
house	183	2025-06-26	H R 875	Passed	246-160	judged	batch-04
house	184	2025-06-26	H R 275	Passed	231-182	pending	monthly DHS reporting only; bill only orders a report or assessment; no policy stance to attribute
house	190	2025-07-03	H R 1	Passed	218-214	judged	pilot-119-1
house	191	2025-07-14	H R 1709	Passed	360-10	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	192	2025-07-14	H R 1770	Passed	336-36	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	193	2025-07-14	S 1596	Passed	372-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	196	2025-07-15	H R 1717	Passed	380-33	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	199	2025-07-17	H R 3633	Passed	294-134	pending	digital-asset market structure; no research area fits without inventing a direction
house	200	2025-07-17	S 1582	Passed	308-122	judged	pilot-119-1
house	201	2025-07-17	H R 1919	Passed	219-210	judged	batch-05
house	212	2025-07-18	H R 4016	Passed	221-209	pending	appropriations: no research area maps honestly onto a vote to fund the government
house	213	2025-07-21	H R 3095	Passed	278-121	pending	ZIP code designations; no research area of interest
house	214	2025-07-21	H R 3351	Passed	387-12	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	215	2025-07-22	H R 3937	Passed	410-1	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	216	2025-07-22	H R 1917	Passed	360-57	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	217	2025-07-23	H R 3357	Passed	381-31	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	218	2025-07-23	H R 4275	Passed	399-12	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	219	2025-09-02	H R 4216	Passed	395-20	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	220	2025-09-02	H R 747	Passed	407-4	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	224	2025-09-03	H J RES 104	Passed	211-208	judged	batch-05
house	225	2025-09-03	H J RES 106	Passed	215-210	judged	batch-05
house	226	2025-09-03	H J RES 105	Passed	215-211	judged	batch-05
house	239	2025-09-04	H R 4553	Passed	214-213	pending	appropriations: no research area maps honestly onto a vote to fund the government
house	240	2025-09-08	H R 3424	Passed	397-1	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	241	2025-09-08	H R 3425	Passed	402-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	262	2025-09-10	H R 3838	Passed	231-196	judged	batch-05
house	264	2025-09-11	H R 3486	Passed	226-197	judged	batch-05
house	266	2025-09-15	H R 3400	Passed	371-21	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	269	2025-09-16	H R 2721	Passed	413-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	270	2025-09-16	H R 4922	Passed	240-179	judged	batch-05
house	271	2025-09-16	H R 5140	Passed	225-203	judged	batch-05
house	274	2025-09-17	H R 5125	Passed	218-211	pending	DC judicial nominations process; no research area fits without inventing a direction
house	275	2025-09-17	H R 5143	Passed	245-182	pending	DC vehicular pursuit mandate; direction contested: reasonable people read the vote both ways within the area
house	277	2025-09-18	H R 3062	Passed	224-203	judged	batch-06
house	278	2025-09-18	H R 3015	Passed	217-209	pending	reestablishes an advisory council only; no research area fits without inventing a direction
house	279	2025-09-18	H R 1047	Passed	216-206	retracted	judged in batch-06, retracted 2026-08-23; see batch-06/RETRACTION-hr1047-roll279.md
house	281	2025-09-19	H R 5371	Passed	217-212	pending	appropriations: no research area maps honestly onto a vote to fund the government
house	285	2025-11-12	H R 5371	Passed	222-209	judged	pilot-119-1
house	286	2025-11-17	H R 1608	Passed	400-15	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	287	2025-11-17	H R 2659	Passed	402-8	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	289	2025-11-18	H R 4405	Passed	427-1	judged	pilot-119-1
house	294	2025-11-18	H J RES 130	Passed	214-212	judged	batch-07
house	295	2025-11-18	H J RES 131	Passed	217-209	judged	batch-07
house	296	2025-11-18	S J RES 80	Passed	216-209	judged	batch-07
house	298	2025-11-19	H R 5214	Passed	237-179	judged	batch-07
house	299	2025-11-19	H R 5107	Passed	233-190	pending	CLEAN DC policing-reform repeal; direction contested: reasonable people read the vote both ways within the area
house	300	2025-11-19	H R 4058	Passed	380-45	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	301	2025-11-19	H R 6019	Passed	426-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	303	2025-11-20	H R 3109	Passed	230-176	pending	REFINER Act; bill only orders a report or assessment; no policy stance to attribute
house	304	2025-11-20	H R 1949	Passed	217-188	judged	batch-07
house	306	2025-12-01	H R 5348	Passed	386-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	307	2025-12-01	H R 4423	Passed	385-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	310	2025-12-03	H R 2965	Passed	223-190	pending	small-business deregulation package; no research area fits without inventing a direction
house	311	2025-12-03	H R 4305	Passed	269-146	pending	regulatory paperwork reduction; no research area fits without inventing a direction
house	312	2025-12-03	H R 1005	Passed	242-176	pending	curriculum restrictions; direction contested: reasonable people read the vote both ways within the area
house	313	2025-12-04	H R 1069	Passed	247-164	pending	school China-funding prohibitions; direction contested: reasonable people read the vote both ways within the area
house	314	2025-12-04	H R 1049	Passed	247-166	pending	reporting of adversarial contributions to schools; direction contested: reasonable people read the vote both ways within the area
house	315	2025-12-09	S 356	Passed	399-5	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	316	2025-12-09	H R 1676	Passed	400-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	320	2025-12-10	S 1071	Passed	312-112	judged	batch-08
house	323	2025-12-11	H R 3628	Passed	218-207	pending	grid-reliability planning mandate; no research area fits without inventing a direction
house	324	2025-12-11	H R 3638	Passed	267-159	pending	supply-chain assessment only; bill only orders a report or assessment; no policy stance to attribute
house	328	2025-12-11	H R 3383	Passed	302-123	pending	capital-formation securities changes; no research area fits without inventing a direction
house	330	2025-12-11	H R 3898	Passed	221-205	judged	batch-08
house	332	2025-12-11	H R 2550	Passed	231-195	pending	federal collective bargaining restoration; no labor research area exists
house	334	2025-12-12	H R 3668	Passed	213-184	judged	batch-08
house	335	2025-12-15	S 284	Passed	370-22	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	336	2025-12-15	H R 3187	Passed	388-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	340	2025-12-16	H R 4371	Passed	225-201	judged	batch-08
house	342	2025-12-16	H R 3632	Passed	222-202	pending	grid-reliability retirement review; no research area fits without inventing a direction
house	347	2025-12-17	H R 3616	Passed	225-203	pending	grid-reliability assessments; no research area fits without inventing a direction
house	349	2025-12-17	H R 6703	Passed	216-211	pending	congress.gov has no CRS summary yet; nothing official to judge from
house	351	2025-12-17	H R 3492	Passed	216-211	judged	batch-08
house	356	2025-12-18	H R 4776	Passed	221-196	judged	batch-08
house	358	2025-12-18	H R 1366	Passed	219-198	judged	batch-08
house	360	2025-12-18	H R 845	Passed	211-204	judged	batch-08
house	362	2025-12-18	H R 498	Passed	215-201	judged	batch-08
senate	7	2025-01-20	S. 5	Bill Passed	64-35	judged	pilot-119-1
senate	92	2025-02-25	S.J.Res. 11	Joint Resolution Passed	54-44	judged	batch-01
senate	95	2025-02-26	S.J.Res. 10	Joint Resolution Defeated	47-52	judged	batch-01
senate	97	2025-02-27	H.J.Res. 35	Joint Resolution Passed	52-47	judged	batch-09
senate	102	2025-03-04	S.J.Res. 3	Joint Resolution Passed	70-27	judged	batch-02
senate	106	2025-03-05	S.J.Res. 28	Joint Resolution Passed	51-47	judged	batch-02
senate	127	2025-03-14	S. 331	Bill Passed	84-16	judged	pilot-119-1
senate	133	2025-03-14	H.R. 1968	Bill Passed	54-46	judged	pilot-119-1
senate	151	2025-03-26	H.J.Res. 25	Joint Resolution Passed	70-28	judged	batch-02
senate	153	2025-03-27	S.J.Res. 18	Joint Resolution Passed	52-48	judged	batch-02
senate	160	2025-04-02	S.J.Res. 37	Joint Resolution Passed	51-48	judged	batch-02
senate	162	2025-04-03	H.J.Res. 24	Joint Resolution Passed	53-42	judged	batch-02
senate	207	2025-04-10	H.J.Res. 20	Joint Resolution Passed	53-44	judged	batch-03
senate	223	2025-04-30	H.J.Res. 42	Joint Resolution Passed	52-46	judged	batch-03
senate	225	2025-04-30	S.J.Res. 49	Joint Resolution Defeated	49-49	judged	batch-03
senate	228	2025-05-01	H.J.Res. 75	Joint Resolution Passed	52-45	judged	batch-03
senate	229	2025-05-01	S.J.Res. 31	Joint Resolution Passed	52-46	judged	batch-03
senate	232	2025-05-06	H.J.Res. 61	Joint Resolution Passed	55-45	judged	batch-03
senate	237	2025-05-07	S.J.Res. 13	Joint Resolution Passed	52-47	judged	batch-03
senate	238	2025-05-08	S.J.Res. 7	Joint Resolution Passed	50-38	judged	batch-03
senate	239	2025-05-08	H.J.Res. 60	Joint Resolution Passed	50-43	judged	batch-03
senate	275	2025-05-21	S.J.Res. 55	Joint Resolution Passed	51-46	pending	hydrogen-vehicle safety standard disapproval; direction contested: reasonable people read the vote both ways within the area
senate	277	2025-05-22	H.J.Res. 88	Joint Resolution Passed	51-44	judged	batch-04
senate	279	2025-05-22	H.J.Res. 87	Joint Resolution Passed	51-45	judged	batch-04
senate	281	2025-05-22	H.J.Res. 89	Joint Resolution Passed	49-46	judged	pilot-119-1
senate	318	2025-06-17	S. 1582	Bill Passed	68-30	judged	pilot-119-1
senate	372	2025-07-01	H.R. 1	Bill Passed	50-50	judged	pilot-119-1
senate	411	2025-07-17	H.R. 4	Bill Passed	51-48	judged	pilot-119-1
senate	480	2025-08-01	H.R. 3944	Bill Passed	87-9	pending	appropriations: no research area maps honestly onto a vote to fund the government
senate	527	2025-09-19	S. 2882	Bill Defeated	47-45	pending	appropriations: no research area maps honestly onto a vote to fund the government
senate	528	2025-09-19	H.R. 5371	Bill Defeated	44-48	pending	appropriations: no research area maps honestly onto a vote to fund the government
senate	534	2025-09-30	S. 2882	Bill Defeated	47-53	pending	appropriations: no research area maps honestly onto a vote to fund the government
senate	535	2025-09-30	H.R. 5371	Bill Defeated	55-45	pending	appropriations: no research area maps honestly onto a vote to fund the government
senate	549	2025-10-08	H.J.Res. 104	Joint Resolution Passed	52-47	judged	batch-06
senate	554	2025-10-08	S.J.Res. 71	Joint Resolution Defeated	47-51	judged	batch-06
senate	556	2025-10-08	H.J.Res. 105	Joint Resolution Passed	50-45	judged	batch-06
senate	560	2025-10-09	H.J.Res. 106	Joint Resolution Passed	50-46	judged	batch-06
senate	570	2025-10-09	S. 2296	Bill Passed	77-20	judged	batch-06
senate	594	2025-10-28	S.J.Res. 81	Joint Resolution Passed	52-48	judged	batch-06
senate	598	2025-10-29	S.J.Res. 77	Joint Resolution Passed	50-46	judged	batch-06
senate	599	2025-10-30	S.J.Res. 80	Joint Resolution Passed	52-45	judged	batch-06
senate	600	2025-10-30	S.J.Res. 88	Joint Resolution Passed	51-47	judged	batch-06
senate	618	2025-11-10	H.R. 5371	Bill Passed	60-40	judged	pilot-119-1
senate	623	2025-11-20	H.J.Res. 130	Joint Resolution Passed	51-43	judged	batch-07
senate	632	2025-12-04	H.J.Res. 131	Joint Resolution Passed	49-45	judged	batch-07
senate	654	2025-12-18	S.J.Res. 82	Joint Resolution Defeated	50-50	pending	congress.gov has no CRS summary yet; nothing official to judge from
