measure	chamber	roll	date	yeas	nays	status	title	disposition
HB1187	H	1525901	2025-03-25	32	28	divided	Confidential Court Documents	dropped: runs both ways within civil rights. Keeping a restrained party's background check from the protected party without consent trades one person's privacy against another's safety.
HB1220	H	1567602	2025-05-07	48	16	divided	Regulation of Medical Nutrition Therapy	dropped: occupational licensing. Creating a state board and requiring a license to give medical nutrition therapy both screens practitioners and bars others from working.
HB1220	S	1565820	2025-05-06	32	3	superseded	Regulation of Medical Nutrition Therapy	superseded: this chamber's last floor vote was not divided
HB1226	H	1502542	2025-02-28	49	11	superseded	Health Care Review Interim Committee Billing Study	superseded: this chamber's last floor vote was not divided
HB1235	H	1561762	2025-04-30	33	32	divided	Jury Trials for Tenant Proceedings	imported in batch-11
HB1260	H	1547628	2025-04-14	56	8	superseded	Electrical Generation & Distribution Resiliency	superseded: this chamber's last floor vote was not divided
HB1266	H	1509120	2025-03-10	50	10	superseded	Colorado American Indian Recognition Day	superseded: this chamber's last floor vote was not divided
HB1268	H	1555508	2025-04-23	38	26	divided	Utility On-Bill Repayment Program Financing	dropped: a financing mechanic, including a $100 million interest-free loan from the unclaimed property trust fund.
HB1277	H	1534099	2025-04-02	33	30	divided	Increasing Transparency Impact of Fuel Products	imported in batch-11
HB1282	H	1520872	2025-03-19	43	21	divided	Payment Card Network Practices & Fees	imported in batch-11
HB1291	H	1567158	2025-05-07	58	6	superseded	Transportation Network Company Consumer Protection	superseded: this chamber's last floor vote was not divided
HB1291	S	1567160	2025-05-07	22	13	divided	Transportation Network Company Consumer Protection	imported in batch-11
HB1302	H	1555561	2025-04-23	40	24	divided	Increase Access Homeowner's Insurance Enterprises	dropped: a fee-and-enterprise mechanic. It would have created two state-owned businesses funded by a levy on insurers.
HB1303	H	1552479	2025-04-21	38	25	divided	Funding for Motor Vehicle Collision Prevention	dropped: a fee-and-enterprise mechanic in the transportation department.
SB005	H	1565785	2025-05-06	43	22	divided	Worker Protection Collective Bargaining	dropped: Colorado's research areas include no labor area, so a collective bargaining measure has no honest home. Same reason four Nevada measures were dropped.
SB005	S	1491798	2025-02-18	22	12	divided	Worker Protection Collective Bargaining	dropped: Colorado's research areas include no labor area, so a collective bargaining measure has no honest home. Same reason four Nevada measures were dropped.
SB011	S	1558161	2025-04-25	26	9	divided	Detection Components for Wildfire Mitigation	dropped: a detection program with an appropriation.
SB064	S	1557977	2025-04-25	26	9	divided	Safe2tell Handle with Care Notice	dropped: an administrative notice program between agencies and schools.
SB077	H	1531213	2025-03-31	45	19	divided	Modifications to Colorado Open Records Act	imported in batch-11
SB077	S	1500057	2025-02-26	27	6	superseded	Modifications to Colorado Open Records Act	superseded: this chamber's last floor vote was not divided
SB086	H	1530965	2025-03-31	46	18	divided	Protections for Users of Social Media	imported in batch-11
SB086	S	1557959	2025-04-25	29	6	superseded	Protections for Users of Social Media	superseded: this chamber's last floor vote was not divided
SB120	S	1558843	2025-04-28	34	0	superseded	Nuclear Workforce Development & Education Program	superseded: this chamber's last floor vote was not divided
SB121	S	1555463	2025-04-23	29	6	superseded	Medicaid Reimbursement for Vagus Nerve Stimulation	superseded: this chamber's last floor vote was not divided
SB124	H	1565837	2025-05-06	42	23	divided	Reducing Costs of Health Care for Patients	imported in batch-11
SB124	S	1527521	2025-03-26	20	14	divided	Reducing Costs of Health Care for Patients	dropped for this chamber under the version rule: the Senate voted a materially different bill from the one the House passed, and that disagreement is why the measure died. The House roll is imported.
SB132	S	1556597	2025-04-24	24	11	divided	Spirituous Liquor Manufacturer Tastings Conducted	dropped: liquor tasting rules. No research area fits.
SB141	S	1507054	2025-03-06	19	13	divided	Municipal Government Exemption from Energy Code Requirements	imported in batch-11
SB157	S	1533293	2025-04-01	16	19	divided	Deceptive Trade Practice Significant Impact Standard	imported in batch-11
SB160	S	1519123	2025-03-17	22	12	divided	Motor Vehicle Sales by Manufacturers' Affiliates	dropped: runs both ways. Requiring manufacturers' affiliates to sell through franchised dealers protects dealers and limits direct sales to buyers.
SB185	S	1524524	2025-03-21	23	11	divided	Claims Against Construction Professionals	imported in batch-11
SB237	S	1536459	2025-04-03	29	1	superseded	Repeal Behavioral Health Voucher Program	superseded: this chamber's last floor vote was not divided
SB251	H	1545116	2025-04-10	22	43	divided	Repeal Kidney Disease Prevention Education Task Force	dropped: housekeeping. It would have abolished a task force and reduced an appropriation.
SB251	S	1536051	2025-04-03	32	2	superseded	Repeal Kidney Disease Prevention Education Task Force	superseded: this chamber's last floor vote was not divided
SB284	S	1560326	2025-04-29	20	12	divided	Youth Service Organization Engagement on School Campuses	dropped: no research area fits letting nonprofit youth groups present on school campuses, and the measure pulls both ways on school control.
SB322	S	1565457	2025-05-06	35	0	superseded	Management of Consumer Protection Claims Critical Infrastructure	superseded: this chamber's last floor vote was not divided
