bill	chamber	roll	vote_date	tally	disposition	reason	title
HB1459	house	1569429	2025-05-02	63-26	candidate:batch-02	Passed the pool filters; not yet read.	The definitions of critical minerals and rare earth minerals and descriptions and definitions of minerals in leases and conveyances; and to provide fo
HB1459	senate	1569430	2025-05-02	27-19	candidate:batch-02	Passed the pool filters; not yet read.	The definitions of critical minerals and rare earth minerals and descriptions and definitions of minerals in leases and conveyances; and to provide fo
HB1470	house	1542354	2025-04-09	59-32	candidate:batch-02	Passed the pool filters; not yet read.	Hunting, fishing, and gun dog activity fees and hunting guide and outfitter licensing requirements.
HB1476	senate	1536829	2025-04-03	28-19	candidate:batch-02	Passed the pool filters; not yet read.	The assessment of all public school buildings.
HB1497	senate	1518078	2025-03-14	28-19	candidate:batch-02	Passed the pool filters; not yet read.	Age requirements for an approved four-year old program; and eligibility for the best in class program.
HB1500	senate	1528220	2025-03-26	31-16	candidate:batch-02	Passed the pool filters; not yet read.	Nonconforming structures in counties, cities, and townships.
HB1549	house	1542438	2025-04-09	62-29	dropped:study-only	Directs a legislative management study; the measure itself changes no law.	Offenders released from the department of corrections and rehabilitation; to provide for a statement of legislative intent; to provide for a legislati
HB1566	senate	1548845	2025-04-15	31-15	dropped:study-only	Directs a legislative management study; the measure itself changes no law.	AN ACT to provide for a legislative management study relating to the potential uses of kratom and the implementation of regulations of kratom in the s
HB1600	house	1553037	2025-04-21	64-29	batch-01	imported	The establishment of the immigration law clinic at the university of North Dakota school of law; to provide for a report; and to provide an appropriat
HB1600	senate	1545164	2025-04-10	34-13	batch-01	imported	The establishment of the immigration law clinic at the university of North Dakota school of law; to provide for a report; and to provide an appropriat
HB1602	house	1494465	2025-02-19	72-18	candidate:batch-02	Passed the pool filters; not yet read.	Political subdivision participation in the public employees retirement system defined contribution retirement plan.
SB2003	house	1569378	2025-05-02	69-18	dropped:study-only	Directs a legislative management study; the measure itself changes no law.	The naming of the Bismarck state college polytechnic center; to authorize the state board of higher education to issue and sell bonds for capital proj
SB2004	house	1569844	2025-05-02	71-19	candidate:batch-02	Passed the pool filters; not yet read.	Immunity from criminal prosecution, definitions, ethics commission meetings, complaints, an informal resolution process, law enforcement referrals, fi
SB2010	house	1561452	2025-04-29	61-30	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	AN ACT to provide an appropriation for defraying the expenses of the council on the arts; to provide for a transfer; to provide for a report; and to p
SB2015	house	1564391	2025-05-01	70-20	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	AN ACT to provide an appropriation for defraying the expenses of the department of corrections and rehabilitation; to authorize a line of credit; to p
SB2018	house	1569484	2025-05-02	66-22	candidate:batch-02	Passed the pool filters; not yet read.	The purpose of the North Dakota development fund, duties and talent strategy of the division of workforce development, the uncrewed aircraft systems p
SB2020	house	1559046	2025-04-28	70-18	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	AN ACT to provide an appropriation for defraying the expenses of the North Dakota state university extension service, northern crops institute, upper
SB2023	house	1543161	2025-04-09	65-25	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	AN ACT to provide an appropriation for defraying the expenses of the North Dakota racing commission.
SB2025	house	1548905	2025-04-15	69-22	candidate:batch-02	Passed the pool filters; not yet read.	The administrative committee on veterans' affairs; to provide for a transfer; to provide an exemption; and to declare an emergency.
SB2028	house	1483803	2025-02-06	59-34	candidate:batch-02	Passed the pool filters; not yet read.	The budget approval process and reports of the department of financial institutions; to provide a continuing appropriation; to provide for a report; a
SB2037	house	1545160	2025-04-10	66-26	candidate:batch-02	Passed the pool filters; not yet read.	Delinquency; to provide an appropriation; and to provide a penalty.
SB2057	house	1526789	2025-03-25	64-24	candidate:batch-02	Passed the pool filters; not yet read.	Court fees.
SB2069	senate	1550374	2025-04-16	32-15	candidate:batch-02	Passed the pool filters; not yet read.	Publication requirements for legal notices.
SB2084	house	1519998	2025-03-18	72-21	candidate:batch-02	Passed the pool filters; not yet read.	Authorized travel expense and lodging reimbursement rates.
SB2086	house	1521430	2025-03-19	68-25	candidate:batch-02	Passed the pool filters; not yet read.	Pesticide control.
SB2109	house	1530520	2025-03-28	70-20	candidate:batch-02	Passed the pool filters; not yet read.	The definition of disability, the definition of electronic means, forms and decisions issued by electronic means, requests for rehearing of an adminis
SB2137	house	1546194	2025-04-11	56-34	candidate:batch-02	Passed the pool filters; not yet read.	The use of supplemental feed for hunting; and to provide an expiration date.
SB2147	house	1559530	2025-04-28	63-26	candidate:batch-02	Passed the pool filters; not yet read.	The skilled workforce student loan repayment and scholarship programs, Native American scholarships, and the North Dakota scholarship; and to provide
SB2155	senate	1549161	2025-04-15	30-16	candidate:batch-02	Passed the pool filters; not yet read.	Gratis antelope licenses.
SB2158	house	1537254	2025-04-04	59-31	candidate:batch-02	Passed the pool filters; not yet read.	The distribution of the unobligated cash balance of a dissolved school district.
SB2159	house	1543022	2025-04-09	57-32	candidate:batch-02	Passed the pool filters; not yet read.	Projects the state energy research center is permitted to pursue.
SB2174	house	1526600	2025-03-25	66-25	candidate:batch-02	Passed the pool filters; not yet read.	The regulation of odors in an animal feeding operation and zoning authority over animal feeding operations in counties and townships; and to provide a
SB2177	house	1518882	2025-03-17	71-21	candidate:batch-02	Passed the pool filters; not yet read.	County budget limits and the allocation of sales tax revenue; to provide a continuing appropriation; and to provide an expiration date.
SB2186	senate	1550230	2025-04-16	27-20	candidate:batch-02	Passed the pool filters; not yet read.	Interference with court-ordered parenting time; to create a child custody review task force; to provide for a legislative management report; and to pr
SB2188	house	1561427	2025-04-29	65-26	candidate:batch-02	Passed the pool filters; not yet read.	The membership of the clean sustainable energy authority and the clean sustainable energy fund line of credit; and to provide for a transfer.
SB2205	house	1518675	2025-03-17	67-25	candidate:batch-02	Passed the pool filters; not yet read.	The charitable gaming operating fund.
SB2213	house	1557560	2025-04-24	63-30	candidate:batch-02	Passed the pool filters; not yet read.	Mathematics curriculum, professional development, screening and intervention, related administrative rules and reporting requirements, and mathematics
SB2216	house	1541093	2025-04-08	67-26	candidate:batch-02	Passed the pool filters; not yet read.	Waterfowl habitat restoration stamp fees and the waterfowl habitat improvement fund.
SB2218	house	1537292	2025-04-04	68-22	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	AN ACT to provide an appropriation to the insurance commissioner for a North Dakota firefighter's association grant; and to declare an emergency.
SB2232	house	1541082	2025-04-08	57-36	candidate:batch-02	Passed the pool filters; not yet read.	Reporting requirements for prenatal exposure to alcohol misuse.
SB2238	senate	1485325	2025-02-10	35-12	candidate:batch-02	Passed the pool filters; not yet read.	Sealing of eviction records.
SB2241	house	1540074	2025-04-08	64-29	candidate:batch-02	Passed the pool filters; not yet read.	The authorization and administration of public charter schools; and to provide for a legislative management report.
SB2253	house	1523375	2025-03-20	54-40	candidate:batch-02	Passed the pool filters; not yet read.	The definition of a moving violation; and to provide a penalty.
SB2253	senate	1527915	2025-03-26	36-11	candidate:batch-02	Passed the pool filters; not yet read.	The definition of a moving violation; and to provide a penalty.
SB2258	senate	1498077	2025-02-24	30-17	batch-01	imported	The enforcement of agency rules.
SB2269	house	1533439	2025-04-01	56-32	candidate:batch-02	Passed the pool filters; not yet read.	Recall petitions and recall elections for political subdivision officials.
SB2275	house	1516547	2025-03-12	68-24	candidate:batch-02	Passed the pool filters; not yet read.	A pilot program to provide grants to schools that provide instruction in a foreign language to students in kindergarten through grade three; and to pr
SB2293	house	1524083	2025-03-21	62-22	candidate:batch-02	Passed the pool filters; not yet read.	Medical marijuana container sizes, caregivers, and documentation.
SB2294	house	1554368	2025-04-22	72-21	candidate:batch-02	Passed the pool filters; not yet read.	Allowable amounts of usable medical marijuana, medical marijuana recordkeeping, cannabinoid edible products, patient qualifications, and disclosure of
SB2333	house	1537253	2025-04-04	65-25	candidate:batch-02	Passed the pool filters; not yet read.	Ethanol production incentives; to provide a continuing appropriation; to provide for a transfer; and to provide for a report.
SB2339	house	1552324	2025-04-18	62-28	batch-01	imported	Strict liability and a wildfire mitigation plan of a qualified utility; and to provide for a report.
SB2348	house	1530325	2025-03-28	72-19	candidate:batch-02	Passed the pool filters; not yet read.	The acceptance of health care sharing ministries by an institution of higher education and health care sharing ministries' exemptions from insurance l
SB2352	house	1528344	2025-03-26	48-42	batch-01	imported	Authorization for children of inmates to reside at the Heart River correctional center.
SB2352	senate	1496125	2025-02-20	28-18	batch-01	imported	Authorization for children of inmates to reside at the Heart River correctional center.
SB2369	house	1521697	2025-03-19	67-26	candidate:batch-02	Passed the pool filters; not yet read.	Exempt sales from educational, religious, or charitable activities conducted by a nonprofit organization in a publicly or privately owned facility; an
SB2379	house	1529425	2025-03-27	69-23	candidate:batch-02	Passed the pool filters; not yet read.	The surveying process during eminent domain proceedings.
SB2382	house	1523881	2025-03-20	72-21	candidate:batch-02	Passed the pool filters; not yet read.	Vexatious litigation; and to declare an emergency.
SB2390	house	1560277	2025-04-29	72-18	candidate:batch-02	Passed the pool filters; not yet read.	Definitions for regional planning councils; to provide an appropriation; and to provide for a transfer.
SB2398	house	1527784	2025-03-26	73-19	candidate:batch-02	Passed the pool filters; not yet read.	The establishment of military impact zones and military compatibility committees.
