bill	chamber	roll	vote_date	tally	scope	disposition	reason	title
HB1050	house	1476084	2025-01-28	42-51	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Cooperative agreements between the director and law enforcement agencies regarding license plate readers.
HB1058	house	1538745	2025-04-07	66-24	A:enacted	batch-02	imported	The department of environmental quality and tank registration fees; and to provide a penalty.
HB1073	house	1471570	2025-01-14	73-20	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Disaster or emergency response and recovery costs, authority to spend funds from the state disaster relief fund, and uses of the state disas
HB1089	house	1476535	2025-01-29	38-53	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Regulations or plans adopted by international organizations.
HB1100	house	1488526	2025-02-12	20-72	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A BILL for an Act to provide an exemption to continue free school meal funding for qualified delinquent meal debt and to provide for a legis
HB1102	house	1484137	2025-02-07	20-69	C:failed-vote	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	A BILL for an Act to provide an appropriation to the attorney general for bureau of criminal investigation cybercrime resources.
HB1107	senate	1508941	2025-03-07	22-25	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	An individual income tax deduction for a segal Americorps education award; and to provide an effective date.
HB1114	house	1495612	2025-02-20	59-27	done:batch-01	batch-01	imported	Health insurance benefits coverage of insulin drugs and supplies.
HB1130	house	1564338	2025-05-01	60-29	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The option for a school district to reduce its local contribution deduction in the school state aid formula by the percentage of the local c
HB1130	senate	1564339	2025-05-01	23-23	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The option for a school district to reduce its local contribution deduction in the school state aid formula by the percentage of the local c
HB1139	house	1489640	2025-02-13	49-38	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	A sales tax exemption for fire departments; and to provide an effective date.
HB1141	house	1491527	2025-02-17	39-51	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Using public services or property for a political purpose.
HB1143	senate	1558348	2025-04-25	36-9	A:enacted	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	AN ACT to provide an appropriation to the agriculture commissioner for a food distribution facility grant program.
HB1145	house	1488302	2025-02-12	38-53	C:failed-vote	batch-04	imported	Displays of the ten commandments in state educational institutions and public schools.
HB1154	house	1472247	2025-01-17	69-20	A:enacted	dropped:filter-5	Read in full. Extends the moratorium on new basic care and nursing beds to 2029. Supply limit reads as cost control or as reduced access, both inside healthcare_affordability.	The moratorium on basic care and nursing facility bed capacity.
HB1159	house	1473369	2025-01-22	27-67	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Requiring vendors to provide physical copies of tickets upon request.
HB1160	senate	1537262	2025-04-04	19-26	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	The use of personal electronic devices during instructional time.
HB1169	house	1553888	2025-04-22	34-60	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Compensation for veterans' benefits; and to provide a penalty.
HB1170	house	1535264	2025-04-02	61-29	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	State employee annual leave; and to provide an effective date.
HB1170	senate	1520635	2025-03-18	36-10	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	State employee annual leave; and to provide an effective date.
HB1178	senate	1508874	2025-03-07	24-23	done:batch-01	batch-01	imported	School districts allowing students to leave campus to vote in elections.
HB1183	house	1491693	2025-02-17	54-35	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Gold and silver investments; to provide a report; and to provide an effective date.
HB1183	senate	1519024	2025-03-17	13-34	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Gold and silver investments; to provide a report; and to provide an effective date.
HB1184	house	1478380	2025-01-31	32-57	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Digital asset and precious metal investments.
HB1191	house	1498240	2025-02-24	64-27	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The creation of an office of entrepreneurship; and to provide for a legislative management report.
HB1191	senate	1540089	2025-04-08	18-28	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The creation of an office of entrepreneurship; and to provide for a legislative management report.
HB1193	house	1478991	2025-02-03	70-23	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	AN ACT to provide an appropriation to the attorney general for a peace officer and correctional officer appreciation grant program; and to p
HB1203	house	1549462	2025-04-15	70-21	A:enacted	dropped:filter-5	Screened. Medical marijuana definitions. No area carries an honest direction on cannabis regulation, and `general` is barred.	Definitions of medical marijuana products.
HB1207	house	1487010	2025-02-11	25-64	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The definition of a cattle industry representative, the election and terms of members to the North Dakota beef commission, commission vacanc
HB1210	house	1490644	2025-02-14	29-55	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Carbon dioxide pipeline damages.
HB1213	house	1499640	2025-02-25	64-28	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A BILL for an Act to provide for a transfer to the infrastructure revolving loan fund.
HB1213	senate	1529761	2025-03-27	20-27	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A BILL for an Act to provide for a transfer to the infrastructure revolving loan fund.
HB1216	house	1557622	2025-04-24	56-37	done:batch-01	batch-01	imported	Self-insurance health care plans; to provide for application; and to provide an effective date.
HB1216	senate	1553035	2025-04-21	29-18	done:batch-01	batch-01	imported	Self-insurance health care plans; to provide for application; and to provide an effective date.
HB1217	house	1493948	2025-02-19	50-43	done:batch-01	batch-01	imported	Willfully transferring body fluid containing the human immunodeficiency virus.
HB1217	senate	1517749	2025-03-13	34-13	done:batch-01	batch-01	imported	Willfully transferring body fluid containing the human immunodeficiency virus.
HB1218	senate	1534599	2025-04-02	25-21	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Comprehensive water development plans; to provide for a legislative management study; and to provide an expiration date.
HB1225	house	1553173	2025-04-21	72-21	A:enacted	batch-02	imported	Reckless endangerment and habitual offenders; and to provide a penalty.
HB1225	senate	1543018	2025-04-09	26-20	A:enacted	batch-02	imported	Reckless endangerment and habitual offenders; and to provide a penalty.
HB1226	house	1551541	2025-04-17	57-32	done:dropped	dropped:filter-5	Read in full. Adds a crime of masking to hide identity while congregating with other masked people. Contested direction rather than contested worth: public safety to supporters, a limit on anonymous assembly and on health masking to opponents.	Wearing a mask in a public place.
HB1229	senate	1537569	2025-04-04	29-16	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Statutory fees for traffic offenses and a motor vehicle owner's responsibility regarding a driver who flees a peace officer; and to provide
HB1231	house	1539075	2025-04-07	36-54	C:failed-vote	dropped:study-only	Directs a study; the measure changes no law.	A BILL for an Act to provide for a legislative management study relating to early discontinuation of registration for low-risk sex offenders
HB1236	house	1485350	2025-02-10	27-63	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Use of hunting license and permit application fees.
HB1242	house	1490646	2025-02-14	47-37	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Parental rights and responsibilities; and to provide for application.
HB1244	house	1475201	2025-01-27	65-27	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A home education income tax credit for qualified educational expenses; and to provide an effective date.
HB1244	senate	1499668	2025-02-25	15-30	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A home education income tax credit for qualified educational expenses; and to provide an effective date.
HB1245	house	1498274	2025-02-24	29-64	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Election offenses.
HB1249	house	1498177	2025-02-24	42-50	C:failed-vote	dropped:study-only	Directs a study; the measure changes no law.	A BILL for an Act to provide appropriations to the attorney general, the department of career and technical education, the department of hea
HB1250	senate	1531556	2025-03-31	21-24	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Entries against a driving record.
HB1251	house	1474530	2025-01-24	30-61	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The prohibition of school extracurricular activities on certain holidays.
HB1255	house	1491477	2025-02-17	48-41	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The use of public funds to support public broadcasting.
HB1257	house	1498117	2025-02-24	50-43	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The organizational session of the legislative assembly.
HB1257	senate	1520560	2025-03-18	10-36	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The organizational session of the legislative assembly.
HB1258	senate	1537268	2025-04-04	27-18	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Energy conversion and transmission facility siting; and to provide for retroactive application.
HB1259	house	1475966	2025-01-28	55-37	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Daylight saving time; and to provide a contingent effective date.
HB1259	senate	1538375	2025-04-07	15-32	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Daylight saving time; and to provide a contingent effective date.
HB1265	senate	1540256	2025-04-08	13-33	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The state information technology research center, advanced technology review committee, compute credits grant program, and advanced technolo
HB1268	house	1489893	2025-02-13	62-23	B:passed-chamber-died	dropped:filter-5	Read in full. Requires a parent to pass a drug test before unsupervised visits after a child protection finding. Child safety against a barrier to reunification, both inside social_programs_and_welfare.	Mandatory drug testing by human service zones; and to provide an appropriation.
HB1272	house	1484140	2025-02-07	41-47	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Tenant security deposits.
HB1273	house	1483563	2025-02-06	20-73	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The prohibition of a policy, order, or ordinance that limits free speech.
HB1274	house	1539193	2025-04-07	71-19	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Membership of the public employees retirement system public safety retirement plan.
HB1276	house	1498495	2025-02-24	21-72	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A public-spirited organization's use of raffle proceeds for a political purpose.
HB1279	house	1569605	2025-05-02	68-21	A:enacted	dropped:filter-5	Read in full. Coal conversion tax exemption paired with a lignite research tax and a carbon capture credit. The strands pull opposite ways inside environment_and_public_health.	The exemption from the coal conversion facilities tax and the imposition of a lignite research tax; to provide an effective date; to provide
HB1282	house	1489901	2025-02-13	36-51	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Public employee fertility health benefits; to provide for a report to the legislative assembly; to provide for application; and to provide a
HB1283	house	1499669	2025-02-25	66-26	B:passed-chamber-died	batch-03	imported	Diagnostic breast examination and supplemental breast examination cost-sharing restrictions; to provide for a report to the legislative asse
HB1283	senate	1546225	2025-04-11	22-24	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Diagnostic breast examination and supplemental breast examination cost-sharing restrictions; to provide for a report to the legislative asse
HB1284	house	1489840	2025-02-13	39-48	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Public employee fertility preservation health benefits; to provide for a report to the legislative assembly; to provide for application; and
HB1286	house	1489755	2025-02-13	32-53	C:failed-vote	dropped:filter-5	Read in part. Repeals and rewrites the campaign finance disclosure chapter, including the existing ultimate-and-true-source section. Direction cannot be read off a recodification without a full comparison, which this pass did not do.	Identifying the ultimate and true source of funds; and to provide a penalty.
HB1288	house	1478257	2025-01-31	24-64	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Review of public school compliance with state law.
HB1289	house	1477653	2025-01-30	32-61	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A partial property tax exemption for residential property used for in-home care services for a qualifying individual; and to provide an effe
HB1291	house	1485806	2025-02-10	71-19	B:passed-chamber-died	dropped:study-only	Directs a study; the measure changes no law.	A BILL for an Act to provide for a legislative management study relating to immigration law.
HB1295	house	1490649	2025-02-14	24-60	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The carbon dioxide pipeline exemption, payments in lieu of taxes for certain carbon dioxide pipeline property, and the carbon dioxide captur
HB1296	house	1499556	2025-02-25	21-71	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Producing a license to carry a concealed firearm upon request from a law enforcement officer; and to provide a penalty.
HB1298	house	1564326	2025-05-01	54-36	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	The amount of statutory fees, speed limitations on multilane highways, variable speed limits, alteration of maximum speed limits on state hi
HB1298	senate	1569385	2025-05-02	27-20	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The amount of statutory fees, speed limitations on multilane highways, variable speed limits, alteration of maximum speed limits on state hi
HB1300	house	1559060	2025-04-28	28-61	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Legislative term limits.
HB1301	house	1491614	2025-02-17	26-63	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Possession of a firearm while on probation; and to provide for application.
HB1318	house	1550256	2025-04-16	51-40	done:batch-01	batch-01	imported	Pesticide labeling.
HB1318	senate	1547673	2025-04-14	29-18	done:batch-01	batch-01	imported	Pesticide labeling.
HB1321	house	1485481	2025-02-10	37-53	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Medical marijuana limitations.
HB1324	house	1473411	2025-01-22	23-71	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	An income tax deduction for cash and noncash tips received by a food or beverage service establishment employee; and to provide an effective
HB1326	house	1499655	2025-02-25	56-35	B:passed-chamber-died	dropped:filter-5	Read in full. Chiefly recodifies the self-defense statute, and its substantive change removes the self-defense justification from someone unlawfully possessing a firearm who used it. That cuts both ways between deterring unlawful possession and narrowing self-defense.	Self-defense and the unlawful possession of a firearm; and to provide a penalty.
HB1327	senate	1514631	2025-03-11	35-12	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Special plates for amateur radio station licenseholders.
HB1330	senate	1548744	2025-04-15	20-26	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The prudent investor rule.
HB1333	house	1491623	2025-02-17	20-70	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The duration of a student's school lunch break.
HB1334	senate	1508951	2025-03-07	24-22	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Designating rhubarb as the official state vegetable.
HB1335	house	1488523	2025-02-12	35-58	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The homestead tax credit; and to provide an effective date.
HB1339	house	1495910	2025-02-20	35-52	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Licensed ambulance services exempt from formation of rural ambulance service district requirements.
HB1341	house	1538432	2025-04-07	68-21	A:enacted	batch-02	imported	Simple assault; and to provide a penalty.
HB1343	house	1487062	2025-02-11	25-62	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The homestead exemption, declaration of a homestead, and the contents of a tax lien.
HB1349	house	1484120	2025-02-07	30-61	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Liability limits for health care malpractice actions or claims.
HB1350	house	1499681	2025-02-25	39-53	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Dangerous weapons.
HB1352	house	1499520	2025-02-25	39-53	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Possession of firearms or dangerous weapons at a church or place of worship.
HB1353	house	1486939	2025-02-11	25-63	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Limitations on property tax levies by taxing districts without voter approval; and to provide an effective date.
HB1356	house	1494358	2025-02-19	41-52	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Access to requests to the legislative council made by members of the legislative assembly.
HB1358	house	1478311	2025-01-31	45-44	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Authorization of public charter schools.
HB1359	house	1477635	2025-01-30	22-71	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A prohibition on preferred automobile repair shops.
HB1361	house	1477542	2025-01-30	70-23	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Mandatory minimum sentences for human trafficking offenders; and to provide a penalty.
HB1365	house	1499529	2025-02-25	29-62	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Possession of firearms or dangerous weapons at a public gathering.
HB1366	house	1487177	2025-02-11	28-61	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Speeding violations, city fines, and nonpayment of fines; and to provide a penalty.
HB1368	senate	1540318	2025-04-08	22-24	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The authority of the administrative rules committee to void an administrative rule.
HB1369	house	1569412	2025-05-02	61-27	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The determination of state aid, boarding care costs, the coal development trust fund, the school construction assistance revolving loan fund
HB1371	house	1492928	2025-02-18	57-32	A:enacted	dropped:study-only	Directs a study; the measure changes no law.	AN ACT to provide for a legislative management study relating to providing uniform group insurance program health insurance benefits coverag
HB1377	house	1569649	2025-05-02	64-25	B:passed-chamber-died	dropped:filter-5	Read in part. Creates a new campaign disclosure chapter replacing the existing one. Same recodification problem as HB 1286; not judged rather than judged on a skim.	Campaign disclosure statements; to provide a penalty; to provide for application; and to provide an effective date.
HB1379	senate	1514469	2025-03-11	16-31	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	A personal and corporate income tax adjustment for capital gains from the sale of bullion; and to provide an effective date.
HB1381	house	1499684	2025-02-25	64-26	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The determination of state aid.
HB1381	senate	1531020	2025-03-31	14-31	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The determination of state aid.
HB1382	house	1494335	2025-02-19	58-35	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The electric and plug-in hybrid vehicle road use fee, the tax imposed on motor vehicle and special fuels, and the highway tax distribution f
HB1388	senate	1526973	2025-03-25	13-33	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The marriage penalty credit; and to provide an effective date.
HB1390	house	1487076	2025-02-11	28-60	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The homestead credit and disabled veterans' credit; to provide an effective date; and to declare an emergency.
HB1391	house	1498485	2025-02-24	67-26	B:passed-chamber-died	batch-03	imported	Creating a new status related to human rights and antidiscrimination policies; and to provide an appropriation.
HB1391	senate	1530192	2025-03-28	17-29	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Creating a new status related to human rights and antidiscrimination policies; and to provide an appropriation.
HB1392	house	1484139	2025-02-07	21-69	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Number plates; and to provide a penalty.
HB1393	senate	1534602	2025-04-02	16-30	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Earned wage access providers; and to provide a penalty.
HB1395	senate	1530080	2025-03-28	15-31	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Landlords and criminal background checks.
HB1405	house	1480347	2025-02-04	20-71	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Service of summons and time limitations for serving an answer to a claim.
HB1406	house	1476050	2025-01-28	32-60	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The introduction of bills prepared by executive branch agencies and the judicial branch.
HB1408	house	1496567	2025-02-21	64-26	B:passed-chamber-died	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Annually reconvened sessions of the legislative assembly; to provide an effective date; and to provide an expiration date.
