name	state	population_2025	lat	lon
West Valley City	UT	137491	40.6833	-112.0167
Hampton	VA	137315	37.0500	-76.3000
Warren	MI	137138	42.4833	-83.0333
Dayton	OH	136688	39.7833	-84.2000
Fargo	ND	136275	46.8667	-96.8333
Pasadena	CA	135804	34.1667	-118.1333
Kent	WA	134871	47.3833	-122.2167
Carrollton	TX	134562	32.9833	-96.9000
Sterling Heights	MI	133931	42.5833	-83.0333
Santa Clara	CA	133446	37.3667	-121.9667
Abilene	TX	131588	32.4500	-99.7333
Norman	OK	130943	35.2333	-97.3500
Columbia	MO	130851	38.9500	-92.3333
Pearland	TX	129930	29.5667	-95.3167
Clovis	CA	129347	36.8333	-119.6833
North Charleston	SC	129245	32.9167	-80.0667
Athens	GA	128612	33.9500	-83.3667
College Station	TX	127472	30.5833	-96.3000
West Palm Beach	FL	127189	26.7500	-80.1333
Wilmington	NC	126809	34.2167	-77.8833
Allentown	PA	126044	40.5833	-75.4833
Topeka	KS	125795	39.0333	-95.6833
Lakeland	FL	125520	28.0667	-81.9500
Buckeye	AZ	125445	33.4333	-112.6333
Goodyear	AZ	125359	33.2500	-112.3667
Broken Arrow	OK	124991	36.0333	-95.7833
Simi Valley	CA	124861	34.2667	-118.7500
Rochester	MN	124292	44.0167	-92.4833
Lafayette	LA	123311	30.2167	-92.0333
Vallejo	CA	123287	38.1167	-122.2667
Concord	CA	123261	37.9667	-122.0000
Arvada	CO	122901	39.8333	-105.1500
Odessa	TX	122707	31.8833	-102.3500
Cambridge	MA	122588	42.3833	-71.1167
New Braunfels	TX	122492	29.7000	-98.1167
Fairfield	CA	122489	38.2667	-122.0333
Ann Arbor	MI	122233	42.2833	-83.7333
Thousand Oaks	CA	122230	34.1833	-118.8667
Hartford	CT	121981	41.7667	-72.6833
Berkeley	CA	121911	37.8667	-122.3000
Independence	MO	121675	39.0833	-94.3500
Billings	MT	121239	45.7833	-108.5500
High Point	NC	120571	35.9833	-79.9833
Nampa	ID	120384	43.5833	-116.5667
Lowell	MA	119971	42.6333	-71.3167
League City	TX	119905	29.4833	-95.1167
Conroe	TX	119564	30.3167	-95.4833
Antioch	CA	118958	37.9833	-121.8000
Menifee	CA	118592	33.6833	-117.1833
Richardson	TX	118542	32.9667	-96.7167
Pompano Beach	FL	117211	26.2333	-80.1333
Las Cruces	NM	116978	32.3333	-106.7833
Manchester	NH	116818	42.9833	-71.4333
West Jordan	UT	116812	40.6000	-112.0000
Westminster	CO	116182	39.8833	-105.0667
Evansville	IN	116176	37.9833	-87.5333
Waterbury	CT	115771	41.5667	-73.0333
Elgin	IL	115476	42.0333	-88.3333
Greeley	CO	115073	40.4167	-104.7667
Temecula	CA	114865	33.4833	-117.1333
Richmond	CA	114861	37.9500	-122.3667
Concord	NC	114598	35.3833	-80.6333
Provo	UT	114527	40.2500	-111.6500
Rio Rancho	NM	114419	35.2833	-106.7000
Clearwater	FL	114364	27.9833	-82.7667
Tuscaloosa	AL	114316	33.2333	-87.5333
Murrieta	CA	114124	33.5667	-117.1833
Lansing	MI	113884	42.7167	-84.5667
Tyler	TX	113723	32.3167	-95.3167
Miami Gardens	FL	113579	25.9500	-80.2333
Everett	WA	113567	47.9500	-122.1833
Allen	TX	113447	33.1167	-96.6667
Springfield	IL	112989	39.7833	-89.6333
Beaumont	TX	112967	30.0833	-94.1500
South Fulton	GA	112820	33.6667	-84.5667
Carlsbad	CA	112260	33.1333	-117.2833
Sparks	NV	111902	39.5667	-119.7167
Gresham	OR	111513	45.5000	-122.4333
Santa Maria	CA	111390	34.9333	-120.4333
Hillsboro	OR	111126	45.5333	-122.9333
Peoria	IL	110920	40.7500	-89.6167
Davie	FL	110851	26.0833	-80.2833
Edinburg	TX	110700	26.3167	-98.1667
Pueblo	CO	110404	38.2667	-104.6167
Ventura	CA	109914	34.2667	-119.2500
Palm Coast	FL	109886	29.5333	-81.2333
Edison	NJ	109077	40.5000	-74.3500
Costa Mesa	CA	108881	33.6667	-117.9167
St. George	UT	108713	37.0833	-113.5667
Centennial	CO	108658	39.5833	-104.8667
Downey	CA	108468	33.9333	-118.1333
Spokane Valley	WA	108405	47.6667	-117.2333
Sugar Land	TX	107726	29.5833	-95.6333
Lee's Summit	MO	107514	38.9167	-94.3833
Bend	OR	107342	44.0667	-121.3167
Jurupa Valley	CA	107311	34.0000	-117.4667
Georgetown	TX	106907	30.6667	-97.7000
Green Bay	WI	106675	44.5167	-87.9833
Fayetteville	AR	106623	36.0667	-94.1667
Rialto	CA	106554	34.1167	-117.3833
Brockton	MA	106134	42.0833	-71.0167
Boulder	CO	105689	40.0167	-105.2500
Carmel	IN	105634	39.9667	-86.1500
Dearborn	MI	105611	42.3167	-83.2167
West Covina	CA	105301	34.0667	-117.9167
Yuma	AZ	105227	32.5167	-114.5167
Chico	CA	105081	39.7667	-121.8167
El Monte	CA	105075	34.0667	-118.0333
Sandy Springs	GA	105013	33.9333	-84.3667
Renton	WA	104975	47.4833	-122.1833
Fishers	IN	104812	39.9667	-85.9667
Woodbridge	NJ	104802	40.5667	-74.2833
Suffolk	VA	104699	36.7000	-76.6333
Lynn	MA	104236	42.4667	-70.9667
Vacaville	CA	103850	38.3667	-121.9667
San Mateo	CA	103337	37.5667	-122.3167
South Bend	IN	103201	41.6833	-86.2667
Quincy	MA	103173	42.2667	-71.0167
Burbank	CA	102988	34.1833	-118.3333
Hesperia	CA	102605	34.4000	-117.3167
Wichita Falls	TX	101951	33.9167	-98.5333
Tracy	CA	101901	37.7333	-121.4500
New Bedford	MA	101834	41.6667	-70.9333
El Cajon	CA	101755	32.8000	-116.9667
Albany	NY	101698	42.6667	-73.8000
Inglewood	CA	101662	33.9667	-118.3333
Boca Raton	FL	101582	26.3667	-80.1000
Fort Myers	FL	101581	26.6167	-81.8333
Clinton	MI	101374	42.5833	-82.9167
Daly City	CA	101261	37.6833	-122.4667
Avondale	AZ	100983	33.3167	-112.3333
Toms River	NJ	100899	39.9833	-74.1667
San Angelo	TX	100640	31.4333	-100.4500
Edmond	OK	100479	35.6667	-97.4167
Davenport	IA	100358	41.5667	-90.6000
Deltona	FL	100267	28.9167	-81.2167
Longmont	CO	100109	40.1667	-105.1000
