bill	roll	date	question_class	yea	nay	disposition	reason	desc	title
HB2062	1543283	2025-04-10	veto_override	87	38	batch-01	imported	House Motion to override veto prevailed	Providing for child support orders for unborn children from the date of conception, including the direct medical and pregnancy-related expenses of the mother as a factor in child support orders and providing for an income tax exemption for unborn and stillborn children, requiring courts to consider the value of retirement accounts in certain circumstances, authorizing payment from certain retirement accounts to pay child support arrearages and eliminating the exemption of pension and retirement moneys from claims to fulfill child support obligations.
HB2088	1494661	2025-02-20	passage	82	39	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed as amended	Requiring local governments to meet specified deadlines for issuing building permits and requiring the department of health and environment to issue a response to an applicant's submitted notice of intent to discharge stormwater runoff from construction activities within 45 days of submission.
HB2088	1527278	2025-03-26	concurrence	83	40	batch-02	imported	House Concurred with amendments in conference	Requiring local governments to meet specified deadlines for issuing building permits and requiring the department of health and environment to issue a response to an applicant's submitted notice of intent to discharge stormwater runoff from construction activities within 45 days of submission.
HB2101	1495761	2025-02-20	passage	86	37	batch-01	imported	House Emergency Final Action - Passed as amended	Prohibiting municipalities from adopting and implementing a guaranteed income program.
HB2106	1490405	2025-02-14	passage	94	25	batch-02	imported	House Emergency Final Action - Passed as amended	Banning contributions from foreign nationals for the support or defeat of a proposed amendment to the Kansas constitution.
HB2109	1490460	2025-02-14	passage	78	40	not-selected	filter 4 keeps one roll per measure per chamber; the chosen roll is in batch-01	House Final Action - Passed	Exempting public utilities from civil liability relating to the attachment, access, operation, maintenance or removal of law enforcement equipment on any utility pole or other structure that is owned or operated by the public utility.
HB2109	1524944	2025-03-24	concurrence	78	44	batch-01	imported	House Concurred with amendments	Exempting public utilities from civil liability relating to the attachment, access, operation, maintenance or removal of law enforcement equipment on any utility pole or other structure that is owned or operated by the public utility.
HB2124	1670086	2026-03-25	conference_report	89	35	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Providing cities the authority to allow the driving of golf carts upon sidewalks and permitting local authorities with jurisdiction over city residence districts to reduce the maximum speed limit from 30 miles per hour to 25 miles per hour without an engineering and traffic investigation.
HB2155	1529229	2025-03-27	concurrence	84	40	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Concurred with amendments in conference	Specifying that sheriffs have liability for official acts related to charge and custody of jails.
HB2158	1493130	2025-02-19	passage	85	34	superseded	the chamber's last kept vote (2026-03-24, 110-11) was not divided	House Final Action - Passed as amended	Permitting beekeepers who meet certain requirements to sell packaged honey and honeycombs without holding a food establishment or food processing plant license under the Kansas food, drug and cosmetic act.
HB2169	1529576	2025-03-27	conference_report	92	32	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Providing for an exemption from remediation costs or other liability from prior commercial pesticide application by the United States army for owners of certain nonresidential property located in Johnson county.
HB2183	1615920	2026-01-22	conference_report	83	39	dropped	"VEHICLE-BILL SWAP: the worklist title says sexual exploitation of a child, but the enrolled HB 2183 is ""concerning state agencies; relating to interpretation of statutes"" - a bar on courts deferring to an agency reading of its own rules. Needs a check of which text the conference-report roll actually voted."	House Conference Committee Report was adopted	Modifying elements in the crimes of sexual exploitation of a child, unlawful transmission of a visual depiction of a child and breach of privacy to prohibit certain acts related to visual depictions in which the person depicted is indistinguishable from a real child, morphed from a real child's image or generated without any actual child involvement, provide an exception for cable services in the crime of breach of privacy and prohibit dissemination of certain items that appear to depict or purport to depict an identifiable person.
HB2206	1489975	2025-02-14	passage	74	45	not-selected	filter 4 keeps one roll per measure per chamber	House Emergency Final Action - Passed as amended	Renaming the Kansas governmental ethics commission to the Kansas public disclosure commission, defining terms in the campaign finance act, requiring the filing of statements of independent expenditures, prohibiting agreements requiring contributions in the name of another and requiring the termination of unused campaign finance accounts.
HB2206	1525003	2025-03-24	concurrence	78	44	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Concurred with amendments	Renaming the Kansas governmental ethics commission to the Kansas public disclosure commission, defining terms in the campaign finance act, requiring the filing of statements of independent expenditures, prohibiting agreements requiring contributions in the name of another and requiring the termination of unused campaign finance accounts.
HB2217	1515676	2025-03-12	passage	85	37	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed as amended	Expanding the scope of the inspector general to audit and investigate all state cash, food or health assistance programs and granting the inspector general the power to subpoena, administer oaths and execute search warrants thereto.
HB2217	1543783	2025-04-10	veto_override	87	38	batch-02	imported	House Motion to override veto prevailed	Expanding the scope of the inspector general to audit and investigate all state cash, food or health assistance programs and granting the inspector general the power to subpoena, administer oaths and execute search warrants thereto.
HB2240	1495930	2025-02-20	passage	89	34	not-selected	filter 4 keeps one roll per measure per chamber	House Emergency Final Action - Passed as amended	Senate Substitute for HB 2240 by Committee on Government Efficiency - Requiring legislative approval prior to any state agency seeking or implementing a public assistance program waiver or other authorization from the federal government that expands eligibility for any public assistance program, increases cost to the state or makes certain changes in services for persons with intellectual or developmental disabilities and authorizing the legislative coordinating council to act on agency requests when the legislature is not in session.
HB2240	1529070	2025-03-27	conference_report	90	35	not-selected	filter 4 keeps one roll per measure per chamber	House Conference Committee Report was adopted	Senate Substitute for HB 2240 by Committee on Government Efficiency - Requiring legislative approval prior to any state agency seeking or implementing a public assistance program waiver or other authorization from the federal government that expands eligibility for any public assistance program, increases cost to the state or makes certain changes in services for persons with intellectual or developmental disabilities and authorizing the legislative coordinating council to act on agency requests when the legislature is not in session.
HB2240	1543581	2025-04-10	veto_override	87	38	held	LegiScan tally contradicts the Kansas bill history; see CODE-FINDINGS.md finding 5	House Motion to override veto prevailed	Senate Substitute for HB 2240 by Committee on Government Efficiency - Requiring legislative approval prior to any state agency seeking or implementing a public assistance program waiver or other authorization from the federal government that expands eligibility for any public assistance program, increases cost to the state or makes certain changes in services for persons with intellectual or developmental disabilities and authorizing the legislative coordinating council to act on agency requests when the legislature is not in session.
HB2284	1543521	2025-04-10	veto_override	88	37	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Directing the department of administration to adopt written policies governing the negotiated procurement of managed care organizations to provide state medicaid services pursuant to a contract with the Kansas program of medical assistance.
HB2291	1501206	2025-02-27	passage	90	28	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed as amended	Creating the regulatory relief division within the office of the attorney general and establishing the general regulatory sandbox program to waive or suspend rules and regulations for program participants.
HB2291	1543250	2025-04-10	veto_override	88	37	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Creating the regulatory relief division within the office of the attorney general and establishing the general regulatory sandbox program to waive or suspend rules and regulations for program participants.
HB2299	1658764	2026-03-10	concurrence	84	39	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Concurred with amendments	Senate Substitute for Substitute for HB2299 by Committee on Education - Providing that certain statutory references to accredited nonpublic schools mean nonpublic schools accredited by the state board of education, requiring that schools accredited by a national or regional accrediting agency shall have the same rights as schools accredited by the state board, requiring school districts and accredited nonpublic schools to prohibit the use of personal electronic communication devices during the school day and prohibiting employees of a school district from using social media to communicate with students for official school purposes.
HB2304	1495388	2025-02-20	passage	97	26	not-selected	filter 4 keeps one roll per measure per chamber	House Emergency Final Action - Passed as amended	Requiring local governments to report certain local economic development incentive program information to the secretary of commerce, defining such programs, requiring the secretary of commerce to post such information on the economic development incentive program database maintained by the secretary and requiring certain search result presentation and report formats.
HB2304	1525875	2025-03-25	concurrence	88	37	batch-02	imported	House Concurred with amendments	Requiring local governments to report certain local economic development incentive program information to the secretary of commerce, defining such programs, requiring the secretary of commerce to post such information on the economic development incentive program database maintained by the secretary and requiring certain search result presentation and report formats.
HB2311	1495038	2025-02-20	passage	86	37	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed as amended	Prohibiting the secretary from adopting and enforcing policies for placement, custody and appointment of a custodian that may conflict with sincerely held religious or moral beliefs regarding sexual orientation or gender identity and creating a right of action for violations.
HB2311	1525229	2025-03-24	concurrence	84	38	not-selected	filter 4 keeps one roll per measure per chamber	House Concurred with amendments	Prohibiting the secretary from adopting and enforcing policies for placement, custody and appointment of a custodian that may conflict with sincerely held religious or moral beliefs regarding sexual orientation or gender identity and creating a right of action for violations.
HB2311	1543820	2025-04-10	veto_override	87	38	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Prohibiting the secretary from adopting and enforcing policies for placement, custody and appointment of a custodian that may conflict with sincerely held religious or moral beliefs regarding sexual orientation or gender identity and creating a right of action for violations.
HB2313	1508475	2025-03-07	passage	95	27	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed as amended	Senate Substitute for HB 2313 by Committee on Federal and State Affairs - Prohibiting the use of the artificial intelligence platform DeepSeek and other artificial intelligence platforms controlled by a country of concern on state-owned devices and on any state network and the use of genetic sequencers or operational software used for genetic analysis that is produced in a foreign adversary.
HB2313	1529280	2025-03-27	concurrence	87	38	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Concurred with amendments in conference	Senate Substitute for HB 2313 by Committee on Federal and State Affairs - Prohibiting the use of the artificial intelligence platform DeepSeek and other artificial intelligence platforms controlled by a country of concern on state-owned devices and on any state network and the use of genetic sequencers or operational software used for genetic analysis that is produced in a foreign adversary.
HB2329	1671492	2026-03-26	conference_report	89	32	not-selected	filter 4 keeps one roll per measure per chamber	House Conference Committee Report was adopted	Changing the name of juvenile crisis intervention centers to juvenile stabilization centers, modifying the intake criteria for such centers, prohibiting certain rules and regulations for such centers, modifying the treatment and services provided by such centers, increasing the cumulative detention limit for juvenile offenders and criminal penalties for juvenile offenders who use a firearm in the commission of an offense or who are repeat offenders, providing for increased placement of offenders in non-foster home beds in youth residential facilities, requiring the secretary of corrections to pay for the costs associated with such placements, authorizing the secretary to make expenditures from the evidence-based programs account of the state general fund moneys to contract for such beds and transferring moneys from such account of the state general fund to the department for children and families to provide juvenile stabilization services.
HB2329	1679916	2026-04-09	veto_override	89	34	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Changing the name of juvenile crisis intervention centers to juvenile stabilization centers, modifying the intake criteria for such centers, prohibiting certain rules and regulations for such centers, modifying the treatment and services provided by such centers, increasing the cumulative detention limit for juvenile offenders and criminal penalties for juvenile offenders who use a firearm in the commission of an offense or who are repeat offenders, providing for increased placement of offenders in non-foster home beds in youth residential facilities, requiring the secretary of corrections to pay for the costs associated with such placements, authorizing the secretary to make expenditures from the evidence-based programs account of the state general fund moneys to contract for such beds and transferring moneys from such account of the state general fund to the department for children and families to provide juvenile stabilization services.
HB2333	1672008	2026-03-27	conference_report	85	39	not-selected	filter 4 keeps one roll per measure per chamber	House Conference Committee Report was adopted	Enacting the Kansas intellectual rights and knowledge act, providing a civil cause of action and penalties for violations of such act and authorizing students and student associations to exercise political and ideological beliefs, values and missions.
HB2333	1679897	2026-04-09	veto_override	85	38	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Enacting the Kansas intellectual rights and knowledge act, providing a civil cause of action and penalties for violations of such act and authorizing students and student associations to exercise political and ideological beliefs, values and missions.
HB2359	1495638	2025-02-20	passage	89	34	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Emergency Final Action - Passed as amended	Enacting the uniform adult guardianship and protective proceedings jurisdiction act and the uniform guardianship, conservatorship and other protective arrangements act.
HB2365	1671841	2026-03-27	conference_report	76	49	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Adding and removing certain substances in schedules I, III and IV of the uniform controlled substances act and making conforming changes to the criminal code definition of fentanyl-related controlled substances.
HB2372	1671765	2026-03-27	conference_report	85	39	not-selected	filter 4 keeps one roll per measure per chamber	House Conference Committee Report was adopted	Creating the crime of unlawful approach of a first responder and providing penalties therefore, requiring traffic laws that apply to local and state law enforcement to apply to federal law enforcement; including federal law enforcement in the definitions used in the crime of interference with law enforcement; including buildings owned by the United States in the crime of interference with the conduct of public business of public buildings; including enforcement of federal laws and executive orders in the exceptions from liability in the tort claims act, relating to the enforcement of detainers issued by the United States immigration and customs enforcement by a county sheriff operating a county jail; requiring municipal insurance pools to provide coverage of law enforcement agencies enforcing federal law; requiring the state to pay certain judgements in federal civil actions and provide legal representation by the attorney general, exempting section 287(g) federal immigration agreements from certain provisions of the interlocal cooperation act.
HB2372	1680028	2026-04-09	veto_override	85	38	dropped	the title names one of fourteen sections. The act is mostly federal immigration enforcement: authority to hold people on ICE detainers, state indemnity and immunity for 287(g) officers, a sheriff signing a 287(g) agreement without county commission approval, and tort immunity for enforcing federal law or executive orders. The new first-responder crime is a separate subject.	House Motion to override veto prevailed	Creating the crime of unlawful approach of a first responder and providing penalties therefore, requiring traffic laws that apply to local and state law enforcement to apply to federal law enforcement; including federal law enforcement in the definitions used in the crime of interference with law enforcement; including buildings owned by the United States in the crime of interference with the conduct of public business of public buildings; including enforcement of federal laws and executive orders in the exceptions from liability in the tort claims act, relating to the enforcement of detainers issued by the United States immigration and customs enforcement by a county sheriff operating a county jail; requiring municipal insurance pools to provide coverage of law enforcement agencies enforcing federal law; requiring the state to pay certain judgements in federal civil actions and provide legal representation by the attorney general, exempting section 287(g) federal immigration agreements from certain provisions of the interlocal cooperation act.
HB2382	1529569	2025-03-27	conference_report	84	40	not-selected	filter 4 keeps one roll per measure per chamber; the chosen roll is in batch-01	House Conference Committee Report was adopted	Senate Substitute for HB 2382 by Committee on Education - Requiring school districts to include a fetal development presentation as part of the curriculum for any course that addresses human growth, human development or human sexuality and authorizing the state board of education to establish the rate of compensation for members of the board.
HB2382	1543322	2025-04-10	veto_override	84	41	batch-01	imported	House Motion to override veto prevailed	Senate Substitute for HB 2382 by Committee on Education - Requiring school districts to include a fetal development presentation as part of the curriculum for any course that addresses human growth, human development or human sexuality and authorizing the state board of education to establish the rate of compensation for members of the board.
HB2402	1672103	2026-03-27	conference_report	91	33	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Senate Substitute for HB 2402 by Committee on Education - Requiring eligible boards of education to consider participation in the community eligibility provision, providing a financial hardship exception to such participation, requiring the state department of education to assist school districts seeking such participation, extending the application deadline for authorization to operate as a public innovative district from December 1 to May 1 and deeming such applications approved if not approved or denied within 45 days of submission.
HB2437	1636492	2026-02-18	passage	85	39	not-selected	filter 4 keeps one roll per measure per chamber; the chosen roll is in batch-01	House Final Action - Passed as amended	Establishing the save Kansas act, authorizing the use of additional resources for verifying voter registration records, imposing restrictions on websites that can accept and transmit voter registration applications, removing individuals disqualified for voting from such records and providing an open records request exemption for certain information related to such records.
HB2437	1671404	2026-03-26	conference_report	80	43	not-selected	filter 4 keeps one roll per measure per chamber; the chosen roll is in batch-01	House Conference Committee Report was adopted	Establishing the save Kansas act, authorizing the use of additional resources for verifying voter registration records, imposing restrictions on websites that can accept and transmit voter registration applications, removing individuals disqualified for voting from such records and providing an open records request exemption for certain information related to such records.
HB2437	1679846	2026-04-09	veto_override	84	39	batch-01	imported	House Motion to override veto prevailed	Establishing the save Kansas act, authorizing the use of additional resources for verifying voter registration records, imposing restrictions on websites that can accept and transmit voter registration applications, removing individuals disqualified for voting from such records and providing an open records request exemption for certain information related to such records.
HB2444	1636734	2026-02-18	passage	88	36	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed as amended	Providing that jail credit when consecutive sentences are imposed shall not apply to more than one case, creating special sentencing rules when a felony is committed by certain offenders while on probation, parole or postrelease supervision for a prior felony and requiring secured minimum bonds for certain defendants who commit a new felony while on probation, parole, postrelease supervision or bond for a prior felony unless the court makes certain findings.
HB2444	1667863	2026-03-23	concurrence	85	37	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Concurred with amendments	Providing that jail credit when consecutive sentences are imposed shall not apply to more than one case, creating special sentencing rules when a felony is committed by certain offenders while on probation, parole or postrelease supervision for a prior felony and requiring secured minimum bonds for certain defendants who commit a new felony while on probation, parole, postrelease supervision or bond for a prior felony unless the court makes certain findings.
HB2464	1623015	2026-02-04	passage	81	39	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed	Extending the number of years that tax credits may be issued or earned for contributions to graduates of aerospace and aviation-related educational programs and employers of program graduates, the tax credits for contributions to the Eisenhower foundation and friends of cedar crest association and the sunset for the angel investor tax credit and providing for a minimum amount of such credits for investments in counties with a population of 50,000 or fewer.
HB2464	1670733	2026-03-26	conference_report	98	26	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Extending the number of years that tax credits may be issued or earned for contributions to graduates of aerospace and aviation-related educational programs and employers of program graduates, the tax credits for contributions to the Eisenhower foundation and friends of cedar crest association and the sunset for the angel investor tax credit and providing for a minimum amount of such credits for investments in counties with a population of 50,000 or fewer.
HB2466	1630371	2026-02-11	passage	93	28	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed	Enacting the Kansas sports authority act, authorizing STAR bond projects in major amusement park areas and extending the expiration date of the STAR bonds financing act.
HB2466	1671994	2026-03-27	conference_report	78	44	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Enacting the Kansas sports authority act, authorizing STAR bond projects in major amusement park areas and extending the expiration date of the STAR bonds financing act.
HB2481	1670963	2026-03-26	conference_report	86	39	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	During the period of the FIFA 2026 world cup, prohibiting certain limitations by municipalities on short-term rental or vacation properties and requiring timely rental permit processing, modifying the definition of transient guest for transient guest tax purposes and authorizing expanded sales of alcoholic beverages by cities and counties.
HB2497	1636776	2026-02-18	passage	87	37	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed	Prohibiting the assessment of a prepayment penalty against any party more than six months after the execution of a note evidencing a home loan made primarily for personal, family or household purposes secured by a real estate mortgage.
HB2497	1670880	2026-03-26	conference_report	74	51	dropped	"restates the home-loan prepayment penalty ban so it expressly covers loans made primarily for personal, family or household purposes; whether that broadens or narrows the old ""any home loan"" wording cannot be determined from the extracted text"	House Conference Committee Report was adopted	Prohibiting the assessment of a prepayment penalty against any party more than six months after the execution of a note evidencing a home loan made primarily for personal, family or household purposes secured by a real estate mortgage.
HB2509	1638144	2026-02-19	passage	89	33	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed as amended	Allowing licensed physical therapists to perform certain capillary blood tests, adding advanced practice registered nurse to the definition of healthcare provider for purposes of the healthcare provider insurance availability act, adding an advanced practice registered nurse position to the board of governors of the healthcare stabilization fund and requiring advance practice registered nurses to maintain professional liability insurance as a condition of active licensure.
HB2509	1671799	2026-03-27	conference_report	92	33	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Allowing licensed physical therapists to perform certain capillary blood tests, adding advanced practice registered nurse to the definition of healthcare provider for purposes of the healthcare provider insurance availability act, adding an advanced practice registered nurse position to the board of governors of the healthcare stabilization fund and requiring advance practice registered nurses to maintain professional liability insurance as a condition of active licensure.
HB2513	1671553	2026-03-26	conference_report	67	53	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Making and concerning supplemental appropriations for fiscal year 2026 and appropriations for fiscal years 2027, 2028, 2029 and 2030 for various state agencies, authorizing certain capital improvement projects and fees, authorizing certain transfers.
HB2520	1638101	2026-02-19	passage	90	32	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Final Action - Passed as amended	Increasing the number of allowed residents in a home plus facility from 12 to 16.
HB2521	1638123	2026-02-19	passage	84	38	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed as amended	Expanding the Kansas tort claims act to include child placement agencies that contract with the secretary for children and families.
HB2521	1672166	2026-03-27	conference_report	83	38	not-selected	filter 4 keeps one roll per measure per chamber	House Conference Committee Report was adopted	Expanding the Kansas tort claims act to include child placement agencies that contract with the secretary for children and families.
HB2521	1680037	2026-04-09	veto_override	87	36	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Expanding the Kansas tort claims act to include child placement agencies that contract with the secretary for children and families.
HB2528	1638303	2026-02-19	passage	88	34	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed as amended	Requiring all state board of nursing actions related to certain nonpractice violations be void, allowing for late license renewal for professional, practical and advanced practice registered nurses, setting fees for late license renewal, limiting unprofessional conduct to acts related to the practice of nursing, prohibiting the board from taking retaliatory action against a licensee based on certain lawful actions and creating a civil cause of action for violation thereof, requiring termination of current board members on January 1, 2027 and requiring the governor to appoint interim board members subject to senate confirmation and requiring the board to issue refunds for overpayment or duplicate payment.
HB2528	1671135	2026-03-26	conference_report	87	38	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Requiring all state board of nursing actions related to certain nonpractice violations be void, allowing for late license renewal for professional, practical and advanced practice registered nurses, setting fees for late license renewal, limiting unprofessional conduct to acts related to the practice of nursing, prohibiting the board from taking retaliatory action against a licensee based on certain lawful actions and creating a civil cause of action for violation thereof, requiring termination of current board members on January 1, 2027 and requiring the governor to appoint interim board members subject to senate confirmation and requiring the board to issue refunds for overpayment or duplicate payment.
HB2539	1638138	2026-02-19	passage	96	26	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed as amended	Authorizing library boards to change from being appointed members to elected members and requiring that the members of the Eudora community library district board of directors be elected to such positions.
HB2539	1669110	2026-03-24	concurrence	89	34	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Concurred with amendments in conference	Authorizing library boards to change from being appointed members to elected members and requiring that the members of the Eudora community library district board of directors be elected to such positions.
HB2593	1638146	2026-02-19	passage	77	45	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed as amended	Requiring that a political subdivision hold an open meeting to discuss a contingency fee contract for legal services before approving such contract and requiring the attorney general to approve such contracts.
HB2593	1671542	2026-03-26	concurrence	79	40	not-selected	filter 4 keeps one roll per measure per chamber	House Concurred with amendments in conference	Requiring that a political subdivision hold an open meeting to discuss a contingency fee contract for legal services before approving such contract and requiring the attorney general to approve such contracts.
HB2593	1679834	2026-04-09	veto_override	85	38	batch-02	imported	House Motion to override veto prevailed	Requiring that a political subdivision hold an open meeting to discuss a contingency fee contract for legal services before approving such contract and requiring the attorney general to approve such contracts.
