bill	chamber	roll	date	tally	question	title	bill_outcome	disposition	reason
HB52	house	1699385	2026-05-17	26-14	concurrence	Minors & Psychiatric Hospitals	vetoed	batch-02	imported
HB56	house	1536437	2025-04-03	21-19	passage	Approp: Supp; Fund Cap; Cap; Amending	passed one chamber only	excluded	appropriations
HB58	house	1563282	2025-04-30	27-12	passage	Opa: Public Advocate Appointment	passed one chamber only	batch-03	imported
HB69	house	1516444	2025-03-12	24-16	passage	Education: Funding	vetoed	not-selected	an earlier roll on a text the chamber later replaced; the batch uses the roll on the enrolled text
HB69	house	1546456	2025-04-11	21-16	concurrence	Education: Funding	vetoed	batch-02	imported
HB69	senate	1546119	2025-04-11	11-9	passage	Education: Funding	vetoed	batch-02	imported
HB70	house	1592120	2025-04-25	29-8	passage	Emergency Med Svcs; Operational Canines	vetoed	not-selected	the House voted again on the enrolled text and that vote, 34-6, is not divided, so both divided House rolls are superseded
HB70	house	1592121	2025-04-28	32-8	passage	Emergency Med Svcs; Operational Canines	vetoed	not-selected	the House voted again on the enrolled text and that vote, 34-6, is not divided, so both divided House rolls are superseded
HB78	house	1570059	2025-05-12	21-19	passage	Retirement Systems; Defined Benefit Opt.	vetoed	dropped	reopens the defined benefit pension for teachers and public employees; one coherent subject, but no research area describes public employee retirement benefits
HB78	senate	1691304	2026-04-28	12-8	passage	Retirement Systems; Defined Benefit Opt.	vetoed	dropped	reopens the defined benefit pension for teachers and public employees; one coherent subject, but no research area describes public employee retirement benefits
HB78	senate	1691301	2026-04-28	12-8	passage	Retirement Systems; Defined Benefit Opt.	vetoed	dropped	reopens the defined benefit pension for teachers and public employees; one coherent subject, but no research area describes public employee retirement benefits
HB78	house	1691753	2026-04-29	21-19	concurrence	Retirement Systems; Defined Benefit Opt.	vetoed	dropped	reopens the defined benefit pension for teachers and public employees; one coherent subject, but no research area describes public employee retirement benefits
HB79	house	1700367	2026-05-19	29-11	concurrence	Vic Fischer Marine Park; Research Program	vetoed	dropped	renames a university research institute and a marine park; no policy stance to take
HB93	house	1620425	2026-01-30	27-12	passage	Residency Req: Hunting, Trapping, Fishing	enrolled in the dataset; both were vetoed before 2026-09-04	dropped	tightens residency for hunting, trapping and sport fishing licenses; no research area describes it (same reason as HB 75 in batch-01)
HB93	senate	1699324	2026-05-16	13-6	passage	Residency Req: Hunting, Trapping, Fishing	enrolled in the dataset; both were vetoed before 2026-09-04	dropped	tightens residency for hunting, trapping and sport fishing licenses; no research area describes it (same reason as HB 75 in batch-01)
HB93	house	1699374	2026-05-17	24-16	concurrence	Residency Req: Hunting, Trapping, Fishing	enrolled in the dataset; both were vetoed before 2026-09-04	dropped	tightens residency for hunting, trapping and sport fishing licenses; no research area describes it (same reason as HB 75 in batch-01)
SB111	senate	1696552	2026-05-11	15-5	passage	Digital Product Repair	passed one chamber only	batch-03	imported
SB113	senate	1548818	2025-04-15	16-4	passage	Apportion Taxable Income;digital Business	vetoed	batch-02	imported
SB113	house	1567929	2025-05-07	26-14	passage	Apportion Taxable Income;digital Business	vetoed	batch-02	imported
SB170	senate	1696531	2026-05-11	14-6	passage	Gaming; Electronic Pull-tabs	passed one chamber only	dropped	gaming rewrite that moves both ways at comparable weight on prize caps, promotion rules, revenue floors and reporting
SB21	senate	1687735	2026-04-22	15-4	passage	Ak Work & Save Prgrm; Pfd Investment Acct	vetoed	not-selected	the Senate voted again on the enrolled text and concurred 17-3, which is not divided
SB21	house	1699781	2026-05-18	31-9	passage	Ak Work & Save Prgrm; Pfd Investment Acct	vetoed	batch-02	imported
SB24	senate	1569748	2025-05-12	15-5	passage	Tobacco/nicotine/e-cig Age; E-cig Tax	vetoed	not-selected	the Senate voted again on the enrolled text and that concurrence roll is the one used
SB24	house	1700401	2026-05-19	24-16	passage	Tobacco/nicotine/e-cig Age; E-cig Tax	vetoed	batch-02	imported
SB24	senate	1701656	2026-05-20	15-5	concurrence	Tobacco/nicotine/e-cig Age; E-cig Tax	vetoed	batch-02	imported
SB250	senate	1699328	2026-05-16	14-5	passage	Data Centers, Utilities	passed one chamber only	batch-03	imported
SB250	senate	1699327	2026-05-16	13-5	passage	Data Centers, Utilities	passed one chamber only	not-selected	an earlier roll on a text the chamber later replaced; the batch uses the roll on the enrolled text
SB258	house	1701685	2026-05-20	26-13	passage	Contract: Licensing Software Applications	vetoed	batch-02	imported
SB39	senate	1548753	2025-04-15	14-6	passage	Loans Under $25,000; Payday Loans	vetoed	dropped	raises the monthly rate ceiling on the $850-$10,000 band from 2% to 3% and deletes the mandatory 18-month examination cycle, while capping the previously uncapped $10,000-$25,000 band and repealing the payday loan chapter
SB39	house	1574409	2025-05-20	24-16	passage	Loans Under $25,000; Payday Loans	vetoed	dropped	raises the monthly rate ceiling on the $850-$10,000 band from 2% to 3% and deletes the mandatory 18-month examination cycle, while capping the previously uncapped $10,000-$25,000 band and repealing the payday loan chapter
SB41	house	1699131	2026-05-14	27-13	passage	Public Schools: Mental Health Education	vetoed	batch-02	imported
SB54	house	1574400	2025-05-20	30-10	passage	Arch, Eng, Surveyors; Reg Int Design	vetoed	dropped	four unrelated strands: a new registered interior designer credential, an eight-year board sunset extension, a gas-pipeline engineering exemption that reverses itself between two sections, and board housekeeping
SB64	senate	1569684	2025-05-12	14-6	passage	Elections	vetoed	dropped	narrows accepted voter ID and collapses two inactivation notices into one, while adding postage-paid return envelopes, a ballot tracker and a cure process - opposite directions inside election_integrity
SB64	house	1668327	2026-03-23	23-16	passage	Elections	vetoed	dropped	narrows accepted voter ID and collapses two inactivation notices into one, while adding postage-paid return envelopes, a ballot tracker and a cure process - opposite directions inside election_integrity
SB64	senate	1670512	2026-03-25	16-4	concurrence	Elections	vetoed	dropped	narrows accepted voter ID and collapses two inactivation notices into one, while adding postage-paid return envelopes, a ballot tracker and a cure process - opposite directions inside election_integrity
SB83	senate	1592125	2025-05-07	14-6	passage	Telehealth: Coverage, Reimbursement Rates	passed one chamber only	dropped	telehealth payment parity plus an unrelated section moving a 2022 session-law effective date from 2030 to 2040 that the bill never restates
SCR201	house	1702771	2026-05-21	22-18	passage	Authorizing A Recess Longer Than 3 Days	enrolled in the dataset; both were vetoed before 2026-09-04	excluded	legislative procedure - authorizing a recess longer than three days
SCR202	house	1702774	2026-05-21	28-10	passage	Carry-over Of Bills To Spec Session	enrolled in the dataset; both were vetoed before 2026-09-04	excluded	legislative procedure - carrying bills over to a special session
SCR28	senate	1701691	2026-05-20	16-4	passage	Suspend Uniform Rules For Hb 302	enrolled in the dataset; both were vetoed before 2026-09-04	excluded	legislative procedure - suspending the uniform rules
SJR2	senate	1674038	2026-03-31	14-6	passage	Const. Am: Votes Needed For Veto Override	passed one chamber only	dropped	constitutional amendment on the votes needed to override a veto; no research area covers the balance between the legislature and the governor
