roll	chamber	date	bill	status	tally	question	reach	later_rolls	same_day_peers	title	history_line	disposition	reason
1551342	senate	2025-04-17	HB140	became law	11-8	passage	9			An Act To Amend Title 16 Of The Delaware Code Relating To End Of Life Options.	Passed By Senate. Votes: 11 YES 8 NO 2 ABSENT	dropped	filter-5 drop: End of Life Options Act, medical aid in dying. No research area carries an honest direction — healthcare_affordability scores it `for` only by assuming assisted death is care whose access should improve, which is the contested question itself, and civil_rights has organized constituencies claiming both directions. Maine LD 613 imported the same shape under `general` with no stance, but `general` is a judicial, non-selectable area that must never be tagged on a roll-call record, so importing without a stance is no longer available. The most newsworthy divided-and-enacted measure of the session; expect to be asked.
1591800	house	2025-06-17	HB142	became law	24-12	passage	5			An Act To Amend Title 11 Of The Delaware Code Relating To Arrests.	Passed By House. Votes: 24 YES 12 NO 5 ABSENT	dropped	filter-5 drop: repeals a private person's power to make a warrantless arrest on an out-of-state felony charge. Narrow and procedural; no area carries a direction.
1596580	senate	2025-06-30	HB142	became law	16-5	passage	9			An Act To Amend Title 11 Of The Delaware Code Relating To Arrests.	Passed By Senate. Votes: 16 YES 5 NO	dropped	filter-5 drop: repeals a private person's power to make a warrantless arrest on an out-of-state felony charge. Narrow and procedural; no area carries a direction.
1700018	house	2026-05-19	HB145	passed both, awaiting governor	24-12	passage	5			An Act To Amend Title 11 Of The Delaware Code Relating To Reverse Location And Reverse Keyword Searches And Court Orders.	Passed By House. Votes: 24 YES 12 NO 5 ABSENT	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1713144	senate	2026-07-01	HB145	passed both, awaiting governor	11-4	passage	5			An Act To Amend Title 11 Of The Delaware Code Relating To Reverse Location And Reverse Keyword Searches And Court Orders.	Passed By Senate. Votes: 11 YES 4 NO 6 ABSENT	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1668823	house	2026-03-24	HB150	passed both, awaiting governor	25-13	passage	5			An Act Amending Title 10 Of The Delaware Code Relating To Civil Arrests.	Passed By House. Votes: 25 YES 13 NO 3 ABSENT	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1684633	house	2026-04-16	HB151	became law	28-13	passage	5			An Act To Amend Title 11 Of The Delaware Code Relating To Detention Facilities.	Passed By House. Votes: 28 YES 13 NO	batch-02	judged and imported
1591853	house	2025-06-17	HB153	became law	24-12	passage	5			An Act To Amend Title 11 Of The Delaware Code Relating To Arrest And Detention.	Passed By House. Votes: 24 YES 12 NO 5 ABSENT	batch-02	judged and imported
1594969	senate	2025-06-25	HB154	became law	15-6	passage	9			An Act To Amend Title 16 Of The Delaware Code Relating To Gun Safety Equipment.	Passed By Senate. Votes: 15 YES 6 NO	batch-01	judged and imported
1591830	house	2025-06-17	HB162	passed one chamber	27-11	passage	5			An Act To Amend Title 6 Of The Delaware Code Relating To Multilevel Distribution Companies.	Passed By House. Votes: 27 YES 11 NO 1 NOT VOTING 2 ABSENT	out-of-gate	the measure passed one chamber; the campaign gate is divided and enacted
1589903	house	2025-06-12	HB164	became law	27-13	passage	5			An Act To Amend Titles 21 And 30 Of The Delaware Code Relating To Motor Vehicles.	Passed By House. Votes: 27 YES 13 NO 1 ABSENT	dropped	filter-5 drop: adds a registration fee on electric and other-fuel vehicles to replace lost fuel-tax revenue for road work. Read as discouraging electric cars it scores against environment; read as funding roads it scores for public infrastructure. Runs both ways.
1592482	senate	2025-06-18	HB164	became law	16-4	passage	9			An Act To Amend Titles 21 And 30 Of The Delaware Code Relating To Motor Vehicles.	Passed By Senate. Votes: 16 YES 4 NO 1 ABSENT	dropped	filter-5 drop: adds a registration fee on electric and other-fuel vehicles to replace lost fuel-tax revenue for road work. Read as discouraging electric cars it scores against environment; read as funding roads it scores for public infrastructure. Runs both ways.
1589785	house	2025-06-12	HB175	became law	26-14	passage	5			An Act To Amend Title 7 Of The Delaware Code Relating To The Department Of Natural Resources And Environmental Control Fees And Assessment And To Auth	Passed By House. Votes: 26 YES 14 NO 1 ABSENT	dropped	filter-5 drop: a schedule of DNREC permit and license fees. Money only, the same reason appropriations are excluded campaign-wide.
1592424	senate	2025-06-18	HB175	became law	15-5	passage	9			An Act To Amend Title 7 Of The Delaware Code Relating To The Department Of Natural Resources And Environmental Control Fees And Assessment And To Auth	Passed By Senate. Votes: 15 YES 5 NO 1 ABSENT	dropped	filter-5 drop: a schedule of DNREC permit and license fees. Money only, the same reason appropriations are excluded campaign-wide.
1709690	house	2026-06-16	HB180	passed both, awaiting governor	30-10	passage	5			An Act Proposing An Amendment To Article V Of The Delaware Constitution Relating To Voting.	Passed By House. Votes: 30 YES 10 NO 1 ABSENT	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1713219	senate	2026-07-01	HB180	passed both, awaiting governor	16-5	passage	9			An Act Proposing An Amendment To Article V Of The Delaware Constitution Relating To Voting.	Passed By Senate. Votes: 16 YES 5 NO	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1594411	house	2025-06-24	HB182	became law	28-12	passage	5			An Act To Amend Title 11 Of The Delaware Code Relating To Law Enforcement Agency Agreements.	Passed By House. Votes: 28 YES 12 NO 1 VACANT	batch-02	judged and imported
1712632	house	2026-06-30	HB188	passed one chamber	22-17	passage	5			An Act To Amend Title 15 Of The Delaware Code Relating To Primary Elections.	Passed By House. Votes: 22 YES 17 NO 2 NOT VOTING	out-of-gate	the measure passed one chamber; the campaign gate is divided and enacted
1694672	senate	2026-05-06	HB195	became law	14-5	passage	8			An Act To Amend Title 4 Of The Delaware Code Relating To Bartending.	Passed By Senate. Votes: 14 YES 5 NO 2 NOT VOTING	dropped	filter-5 drop: lowers the bartending age to 18 with supervision, doubles server training, and bars under-21s from venues with sexually oriented entertainment. No area fits the mix.
1591662	house	2025-06-17	HB205	became law	29-11	passage	5			An Act To Amend Titles 10, 11, 18, 24, And 29 Of The Delaware Code Relating To Healthcare Services.	Passed By House. Votes: 29 YES 11 NO 1 ABSENT	batch-01	judged and imported
1596566	senate	2025-06-30	HB205	became law	15-6	passage	9			An Act To Amend Titles 10, 11, 18, 24, And 29 Of The Delaware Code Relating To Healthcare Services.	Passed By Senate. Votes: 15 YES 6 NO	batch-01	judged and imported
1594471	house	2025-06-24	HB210	became law	28-12	passage	5			An Act To Amend Titles 3, 7, And 16 Of The Delaware Code Relating To The Environment.	Passed By House. Votes: 28 YES 12 NO 1 VACANT	batch-01	judged and imported
1597096	senate	2025-06-30	HB210	became law	15-6	passage	9			An Act To Amend Titles 3, 7, And 16 Of The Delaware Code Relating To The Environment.	Passed By Senate. Votes: 15 YES 6 NO	batch-01	judged and imported
1595105	house	2025-06-25	HB222	passed both, awaiting governor	24-15	passage	5			An Act To Amend Title 3 Of The Delaware Code Relating To Nutrient Management.	Passed By House. Votes: 24 YES 15 NO 1 ABSENT 1 VACANT	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1661521	senate	2026-03-12	HB222	passed both, awaiting governor	14-7	passage	9			An Act To Amend Title 3 Of The Delaware Code Relating To Nutrient Management.	Passed By Senate. Votes: 14 YES 7 NO	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1709702	house	2026-06-16	HB233	passed both, awaiting governor	25-9	passage	4	1713106		An Act To Amend Title 26 Of The Delaware Code Relating To Large Energy Use Facilities.	Passed By House. Votes: 25 YES 9 NO 2 NOT VOTING 5 ABSENT	superseded	the same chamber voted again on this measure later (roll 1713106); the later vote is the one on the text that became law
1713105	senate	2026-06-30	HB233	passed both, awaiting governor	15-6	passage	9			An Act To Amend Title 26 Of The Delaware Code Relating To Large Energy Use Facilities.	Passed By Senate. Votes: 15 YES 6 NO	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1713106	house	2026-07-01	HB233	passed both, awaiting governor	27-8	passage	5			An Act To Amend Title 26 Of The Delaware Code Relating To Large Energy Use Facilities.	Passed By House. Votes: 27 YES 8 NO 6 NOT VOTING	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1599321	house	2025-08-12	HB242	became law	30-8	passage	5			An Act Relating To Local School Taxes In The 2025-2026 Tax Year.	Passed By House. Votes: 30 YES 8 NO 1 NOT VOTING 2 ABSENT	dropped	filter-5 drop: a one-year school tax rate reset for New Castle County districts. Local tax mechanics.
1599336	house	2025-08-12	HB245	died	15-6	unresolved	3			An Act To Amend Title 14 Of The Delaware Code Relating To Limitation On Public Schools' Tax Rate After General Reassessment.		excluded	no bill-history line matches this roll on date and tally, so what the chamber was voting on cannot be established from the record
1609270	house	2025-11-13	HB255	became law	26-13	passage	5			An Act To Amend Title 30 Of The Delaware Code Relating To Corporate And Personal Income Tax.	Passed By House. Votes: 26 YES 13 NO 2 ABSENT	dropped	filter-5 drop: decouples Delaware from federal expensing and depreciation changes. Almost all of it is corporate timing, so personal_income_tax_reduction misdescribes why members voted.
1609652	senate	2025-11-19	HB255	became law	14-6	passage	9			An Act To Amend Title 30 Of The Delaware Code Relating To Corporate And Personal Income Tax.	Passed By Senate. Votes: 14 YES 6 NO 1 ABSENT	dropped	filter-5 drop: decouples Delaware from federal expensing and depreciation changes. Almost all of it is corporate timing, so personal_income_tax_reduction misdescribes why members voted.
1684642	senate	2026-04-16	HB269	became law	15-5	passage	9			An Act To Amend Title 26 Of The Delaware Code Relating To Net-metering And Interconnection Rules.	Passed By Senate. Votes: 15 YES 5 NO 1 ABSENT	batch-02	judged and imported
1661784	house	2026-03-12	HB272	passed one chamber	23-12	passage	5			An Act To Amend Title 11 Of The Delaware Code Relating To Crimes Against Public Order.	Passed By House. Votes: 23 YES 12 NO 1 NOT VOTING 5 ABSENT	out-of-gate	the measure passed one chamber; the campaign gate is divided and enacted
1694236	house	2026-05-05	HB306	passed one chamber	25-12	passage	5			An Act To Amend Title 6 Of The Delaware Code Regarding Communication With A Computer.	Passed By House. Votes: 25 YES 12 NO 1 NOT VOTING 3 ABSENT	out-of-gate	the measure passed one chamber; the campaign gate is divided and enacted
1694284	house	2026-05-05	HB310	passed both, awaiting governor	26-12	passage	5	1713350		An Act To Amend Title 30 Of The Delaware Code Relating To Business Tax Credits And Deductions.	Passed By House. Votes: 26 YES 12 NO 3 ABSENT	superseded	the same chamber voted again on this measure later (roll 1713350); the later vote is the one on the text that became law
1713349	senate	2026-06-30	HB310	passed both, awaiting governor	15-6	passage	9			An Act To Amend Title 30 Of The Delaware Code Relating To Business Tax Credits And Deductions.	Passed By Senate. Votes: 15 YES 6 NO	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1713350	house	2026-07-01	HB310	passed both, awaiting governor	26-11	passage	5			An Act To Amend Title 30 Of The Delaware Code Relating To Business Tax Credits And Deductions.	Passed By House. Votes: 26 YES 11 NO 3 NOT VOTING 1 ABSENT	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1697304	house	2026-05-12	HB339	became law	25-15	passage	4			An Act To Amend Title 29 Of The Delaware Code Relating To Virtual Meetings.	Passed By House. Votes: 25 YES 15 NO 1 ABSENT	dropped	filter-5 drop: lets a staff member rather than a board member sit at the anchor location for a virtual public meeting. Trivial.
1708611	house	2026-06-11	HB344	became law	24-14	passage	5			An Act To Amend Titles 15 And 29 Of The Delaware Code Relating To Campaign Finance.	Passed By House. Votes: 24 YES 14 NO 1 NOT VOTING 2 ABSENT	batch-01	judged and imported
1713289	senate	2026-07-01	HB344	became law	16-5	passage	9			An Act To Amend Titles 15 And 29 Of The Delaware Code Relating To Campaign Finance.	Passed By Senate. Votes: 16 YES 5 NO	batch-01	judged and imported
1697128	house	2026-05-12	HB348	became law	26-13	passage	4			An Act To Amend Title 29 Of The Delaware Code Relating To Electric Vehicles.	Passed By House. Votes: 26 YES 13 NO 2 ABSENT	batch-02	judged and imported
1711062	senate	2026-06-23	HB348	became law	16-5	passage	9			An Act To Amend Title 29 Of The Delaware Code Relating To Electric Vehicles.	Passed By Senate. Votes: 16 YES 5 NO	batch-02	judged and imported
1594476	house	2025-06-24	HB35	passed both, awaiting governor	28-12	passage	5			An Act Proposing An Amendment To Article I Of The Delaware Constitution Relating To Prohibition Of The Death Penalty.	Passed By House. Votes: 28 YES 12 NO 1 VACANT	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1596974	senate	2025-06-30	HB35	passed both, awaiting governor	14-7	passage	9			An Act Proposing An Amendment To Article I Of The Delaware Constitution Relating To Prohibition Of The Death Penalty.	Passed By Senate. Votes: 14 YES 7 NO	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1710460	house	2026-06-18	HB355	passed both, awaiting governor	30-9	passage	5			An Act To Amend Title 10 Of The Delaware Code Relating To Sexual Assault, Harassment, And Discrimination.	Passed By House. Votes: 30 YES 9 NO 2 ABSENT	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1594247	senate	2025-06-24	HB36	became law	15-6	passage	9			An Act To Amend Title 2, Title 6, Title 9, Title 10, Title 14, Title 19, Title 20, Title 24, Title 25, And Title 29 Of The Delaware Code Relating To D	Passed By Senate. Votes: 15 YES 6 NO	batch-02	judged and imported
1709867	house	2026-06-16	HB368	passed both, awaiting governor	23-13	passage	5			An Act To Amend Title 11 Of The Delaware Code Relating To Immigration Enforcement And Cooperation.	Passed By House. Votes: 23 YES 13 NO 2 NOT VOTING 3 ABSENT	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1711977	senate	2026-06-25	HB368	passed both, awaiting governor	15-6	passage	9			An Act To Amend Title 11 Of The Delaware Code Relating To Immigration Enforcement And Cooperation.	Passed By Senate. Votes: 15 YES 6 NO	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1698281	house	2026-05-14	HB369	passed both, awaiting governor	27-12	passage	5			An Act To Amend Title 29 Of The Delaware Code Relating To The Establishment Of The Office Of Gun Violence Prevention And Community Safety.	Passed By House. Votes: 27 YES 12 NO 2 ABSENT	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1710252	senate	2026-06-18	HB369	passed both, awaiting governor	15-4	passage	9			An Act To Amend Title 29 Of The Delaware Code Relating To The Establishment Of The Office Of Gun Violence Prevention And Community Safety.	Passed By Senate. Votes: 15 YES 4 NO 2 ABSENT	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1591788	house	2025-06-17	HB37	became law	26-12	passage	5			An Act To Amend Title 6 Of The Delaware Code Relating To Public Accommodations.	Passed By House. Votes: 26 YES 12 NO 3 ABSENT	batch-01	judged and imported
1596866	senate	2025-06-30	HB37	became law	15-6	passage	9			An Act To Amend Title 6 Of The Delaware Code Relating To Public Accommodations.	Passed By Senate. Votes: 15 YES 6 NO	batch-01	judged and imported
1709671	house	2026-06-16	HB379	passed one chamber	27-11	passage	5			An Act To Amend Title 14 Of The Delaware Code Relating To The Comprehensive School Discipline Improvement Program.	Passed By House. Votes: 27 YES 11 NO 3 ABSENT	out-of-gate	the measure passed one chamber; the campaign gate is divided and enacted
1701182	house	2026-05-21	HB380	passed both, awaiting governor	30-9	passage	5			An Act To Amend Title 6 Of The Delaware Code Relating To Personal Data Privacy.	Passed By House. Votes: 30 YES 9 NO 2 ABSENT	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1709692	senate	2026-06-16	HB380	passed both, awaiting governor	15-6	passage	9			An Act To Amend Title 6 Of The Delaware Code Relating To Personal Data Privacy.	Passed By Senate. Votes: 15 YES 6 NO	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1688978	house	2026-04-23	HB400	became law	25-11	passage	4			An Act To Amend Title 5, Title 6, Title 8, Title 12, And Title 29 Of The Delaware Code Relating To Fees And Taxes Administered By The Secretary Of Sta	Passed By House. Votes: 25 YES 11 NO 5 ABSENT	dropped	filter-5 drop: a schedule of Secretary of State fees. Money only, the HB 175 precedent.
1697310	senate	2026-05-12	HB400	became law	15-6	passage	9			An Act To Amend Title 5, Title 6, Title 8, Title 12, And Title 29 Of The Delaware Code Relating To Fees And Taxes Administered By The Secretary Of Sta	Passed By Senate. Votes: 15 YES 6 NO	dropped	filter-5 drop: a schedule of Secretary of State fees. Money only, the HB 175 precedent.
1701176	house	2026-05-21	HB402	became law	28-11	passage	5			An Act To Amend Title 7 Of The Delaware Code Relating To The Clean Air Act Title V Operating Permit Program.	Passed By House. Votes: 28 YES 11 NO 2 ABSENT	dropped	filter-5 drop: reauthorizes Clean Air Act Title V permit fees for 2027 to 2029. Money only, the HB 175 precedent.
1708860	house	2026-06-11	HB418	passed both, awaiting governor	28-8	passage	5			An Act To Amend Title 11 Of The Delaware Code Relating To Firearms.	Passed By House. Votes: 28 YES 8 NO 4 NOT VOTING 1 ABSENT	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1713220	senate	2026-07-01	HB418	passed both, awaiting governor	15-6	passage	9			An Act To Amend Title 11 Of The Delaware Code Relating To Firearms.	Passed By Senate. Votes: 15 YES 6 NO	batch-03	the Governor signed the measure on the date shown in the Delaware action log, after the dataset cut; judged and imported
1708935	house	2026-06-11	HB423	became law	32-8	passage	5			An Act To Amend Title 29 Of The Delaware Code Relating To Deferred Compensation.	Passed By House. Votes: 32 YES 8 NO 1 ABSENT	batch-02	judged and imported
1711047	house	2026-06-23	HB427	became law	28-9	passage	5			An Act To Amend Title 11 Of The Delaware Code Relating To Offenses Involving Deadly Weapons And Dangerous Instruments.	Passed By House. Votes: 28 YES 9 NO 2 NOT VOTING 2 ABSENT	batch-01	judged and imported
1713376	senate	2026-07-01	HB427	became law	14-6	passage	9			An Act To Amend Title 11 Of The Delaware Code Relating To Offenses Involving Deadly Weapons And Dangerous Instruments.	Passed By Senate. Votes: 14 YES 6 NO 1 ABSENT	batch-01	judged and imported
1709854	house	2026-06-16	HB430	passed both, awaiting governor	28-12	passage	5			An Act Proposing An Amendment To Article V Of The Delaware Constitution Relating To Elections And Voting.	Passed By House. Votes: 28 YES 12 NO 1 ABSENT	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1712733	senate	2026-06-30	HB430	passed both, awaiting governor	15-6	passage	9			An Act Proposing An Amendment To Article V Of The Delaware Constitution Relating To Elections And Voting.	Passed By Senate. Votes: 15 YES 6 NO	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1711873	house	2026-06-24	HB431	became law	30-10	passage	5			An Act To Amend Title 9 Of The Delaware Code Relating To Composting.	Passed By House. Votes: 30 YES 10 NO 1 ABSENT	dropped	filter-5 drop: allows composting on agriculturally zoned land with a county square-footage floor. Zoning permission, too thin to carry a direction.
1710338	house	2026-06-18	HB444	became law	29-11	passage	5			An Act To Amend Title 15 Of The Delaware Code Relating To The Delaware John Lewis Voting Rights Act.	Passed By House. Votes: 29 YES 11 NO 1 ABSENT	batch-01	judged and imported
1713085	house	2026-07-01	HB445	died	15-26	procedural	5	1713086	1713086	An Act To Amend Title 26 And Title 29 Of The Delaware Code Relating To Large Energy Use Facilities.	Defeated By House. Votes: 15 YES 26 NO. Reason Taken: motion to recess to read amendment - HB 445 w HA 1 and S	excluded	the bill history names this vote as a procedural motion, not a vote on the measure; Delaware's description says only 'Third Reading'
1713086	house	2026-07-01	HB445	died	26-8	passage	5		1713085	An Act To Amend Title 26 And Title 29 Of The Delaware Code Relating To Large Energy Use Facilities.	Passed By House. Votes: 26 YES 8 NO 7 NOT VOTING	out-of-gate	the measure died; the campaign gate is divided and enacted
1708788	house	2026-06-11	HB448	became law	25-8	passage	5			An Act To Amend Title 15 Of The Delaware Code Relating To Campaign Expenditures.	Passed By House. Votes: 25 YES 8 NO 6 NOT VOTING 2 ABSENT	dropped	filter-5 drop: makes candidate security costs an allowed campaign expense. Neither direction is honest inside anti_corruption.
1713176	senate	2026-07-01	HB448	became law	14-6	passage	8			An Act To Amend Title 15 Of The Delaware Code Relating To Campaign Expenditures.	Passed By Senate. Votes: 14 YES 6 NO 1 ABSENT	dropped	filter-5 drop: makes candidate security costs an allowed campaign expense. Neither direction is honest inside anti_corruption.
1710364	house	2026-06-18	HB451	passed one chamber	26-12	passage	5			An Act To Amend Title 6 Of The Delaware Code Relating To Fair Housing And Disparate Impact Liability.	Passed By House. Votes: 26 YES 12 NO 3 ABSENT	out-of-gate	the measure passed one chamber; the campaign gate is divided and enacted
1712706	senate	2026-06-30	HB458	became law	14-6	passage	9			An Act To Amend Title 16 Of The Delaware Code Relating To Backflow.	Passed By Senate. Votes: 14 YES 6 NO 1 NOT VOTING	dropped	filter-5 drop: bars counties and towns requiring backflow preventers in low-hazard buildings, while keeping them where a public well supplies the water. Read as cutting business cost it scores one way, read as weakening a drinking-water safeguard the other.
1712590	senate	2026-06-30	HB462	became law	14-4	passage	9			An Act To Amend Title 14 Of The Delaware Code Relating To School Taxes.	Passed By Senate. Votes: 14 YES 4 NO 2 NOT VOTING 1 ABSENT	dropped	filter-5 drop: continues split residential and non-residential school tax rates in New Castle County. Local tax mechanics.
1591731	house	2025-06-17	HB48	became law	27-7	passage	5			An Act To Amend Titles 9, 21, And 22 Of The Delaware Code Relating To Accessible Parking Spaces.	Passed By House. Votes: 27 YES 7 NO 2 NOT VOTING 5 ABSENT	batch-02	judged and imported
1548480	house	2025-04-15	HB50	became law	27-12	passage	5	1595667		An Act To Amend Titles 7 And 29 Of The Delaware Code Relating To Energy Assistance.	Passed By House. Votes: 27 YES 12 NO 2 ABSENT	superseded	the same chamber voted again on this measure later (roll 1595667); the later vote is the one on the text that became law
1594262	senate	2025-06-24	HB50	became law	15-6	passage	9	1596903		An Act To Amend Titles 7 And 29 Of The Delaware Code Relating To Energy Assistance.	Passed By Senate. Votes: 15 YES 6 NO	superseded	the same chamber voted again on this measure later (roll 1596903); the later vote is the one on the text that became law
1595667	house	2025-06-26	HB50	became law	27-13	passage	5			An Act To Amend Titles 7 And 29 Of The Delaware Code Relating To Energy Assistance.	Passed By House. Votes: 27 YES 13 NO 1 VACANT	batch-01	judged and imported
1596903	senate	2025-06-30	HB50	became law	15-6	passage	9			An Act To Amend Titles 7 And 29 Of The Delaware Code Relating To Energy Assistance.	Passed By Senate. Votes: 15 YES 6 NO	batch-01	judged and imported
1551826	house	2025-04-17	HB56	became law	29-8	passage	5			An Act To Amend Titles 18, 29, And 31 Of The Delaware Code Relating To Coverage For Removal Of Excess Skin And Subcutaneous Tissue.	Passed By House. Votes: 29 YES 8 NO 4 ABSENT	batch-02	judged and imported
1700042	house	2026-05-19	HB59	became law	23-11	passage	5	1708581		An Act To Amend Title 11 Of The Delaware Code Relating To Release And Publication Of The Name And Photograph Of Individuals Charged With Crimes Or Del	Passed By House. Votes: 23 YES 11 NO 7 ABSENT	superseded	the same chamber voted again on this measure later (roll 1708581); the later vote is the one on the text that became law
1708581	house	2026-06-11	HB59	became law	31-8	passage	5			An Act To Amend Title 11 Of The Delaware Code Relating To Release And Publication Of The Name And Photograph Of Individuals Charged With Crimes Or Del	Passed By House. Votes: 31 YES 8 NO 2 ABSENT	dropped	filter-5 drop: limits police release of an adult suspect's name and photo. Transparency and privacy pull opposite ways inside public_safety_and_crime_control.
1713204	senate	2026-07-01	HB59	became law	15-5	passage	8			An Act To Amend Title 11 Of The Delaware Code Relating To Release And Publication Of The Name And Photograph Of Individuals Charged With Crimes Or Del	Passed By Senate. Votes: 15 YES 5 NO 1 NOT VOTING	dropped	filter-5 drop: limits police release of an adult suspect's name and photo. Transparency and privacy pull opposite ways inside public_safety_and_crime_control.
1540030	house	2025-04-08	HB62	became law	28-12	passage	5			An Act To Amend Titles 22 And 26 Of The Delaware Code Relating To The Termination Of Utility Services.	Passed By House. Votes: 28 YES 12 NO 1 ABSENT	batch-02	judged and imported
