bill	chamber	roll_call_id	date	yea	nay	other_floor	earlier	same_day	enact_hist	last_action	title	description	disposition	reason
HB1610	house	1508954	2025-03-07	72	23	0	0			Referred to State Government & Tribal Relations.	Concerning the disclosure of critical energy infrastructure information.	Concerning the disclosure of critical energy infrastructure information.	dropped	energy infrastructure records exemption; security vs transparency, reads two ways
HB1622	house	1508987	2025-03-08	58	38	0	0			Referred to Rules 2 Review.	Allowing bargaining over matters related to the use of artificial intelligence.	Allowing bargaining over matters related to the use of artificial intelligence.	batch-13	imported
HB1647	house	1507563	2025-03-06	55	42	0	0			"House Rules ""X"" file."	Establishing surface mine reclamation permit fees.	Establishing surface mine reclamation permit fees.	dropped	surface mine permit fee rise; fiscal machinery (a fee, fund, account or bond term), no area direction
HB1814	house	1508982	2025-03-08	69	27	0	0			Referred to Local Government.	Streamlining certain decisions pertaining to the development or extension of a trail or path from the state environmental policy act.	Streamlining certain decisions pertaining to the development or extension of a trail or path from the state environmental policy act.	dropped	environmental review exemption for trails; environment (against) and infrastructure (for) pull opposite ways
HB2041	house	1551862	2025-04-17	56	40	0	0			Referred to Appropriations.	Concerning postpartum coverage.	Concerning postpartum coverage.	batch-13	imported
HB2044	house	1552355	2025-04-19	55	38	0	0			Referred to Appropriations.	Addressing unexcused student absences.	Addressing unexcused student absences.	dropped	truancy procedure; administrative or procedural; no area direction
HB2095	house	1635736	2026-02-17	53	44	0	0			By resolution, returned to House Rules Committee for third r	Protecting vulnerable users of public ways.	Protecting vulnerable users of public ways.	batch-13	imported
HB2123	house	1619494	2026-01-29	68	29	0	0			By resolution, returned to House Rules Committee for third r	Concerning foreign national participation in Washington state elections.	Concerning foreign national participation in Washington state elections.	dropped	foreign-money certification raised to a $6,000 trigger but widened to ad sponsors; direction unclear under election_integrity
HB2244	house	1634701	2026-02-16	70	26	0	0			By resolution, returned to House Rules Committee for third r	Adopting the recommendations of the public records exemptions accountability committee in its 2025 annual report.	Adopting the recommendations of the public records exemptions accountability committee in its 2025 annual report.	batch-13	imported
HB2319	house	1633887	2026-02-13	72	22	0	0			By resolution, returned to House Rules Committee for third r	Renaming certain state residential facilities for persons with developmental disabilities.	Renaming certain state residential facilities for persons with developmental disabilities.	dropped	renames three state facilities; no policy content
HB2333	house	1634523	2026-02-16	71	21	0	0			By resolution, returned to House Rules Committee for third r	Protecting elected officials and candidates, executive state officers, election officials, and criminal justice participants against threats	Protecting elected officials and candidates, executive state officers, election officials, and criminal justice participants against threats and incidents of political violence.	dropped	campaign funds for personal security; anti_corruption reads two ways
HB2464	house	1634248	2026-02-16	58	38	0	0			By resolution, returned to House Rules Committee for third r	Concerning reporting requirements and law enforcement responses for incidents at private detention facilities.	Concerning reporting requirements and law enforcement responses for incidents at private detention facilities.	batch-13	imported
HB2515	house	1633940	2026-02-14	51	41	0	0			By resolution, returned to House Rules Committee for third r	Addressing emerging large energy use facilities.	Addressing emerging large energy use facilities.	batch-13	imported
HB2590	house	1635500	2026-02-17	67	30	0	0			By resolution, returned to House Rules Committee for third r	Exempting limited equity cooperatives from the Washington uniform common interest ownership act.	Exempting limited equity cooperatives from the Washington uniform common interest ownership act.	dropped	eases limited equity co-ops but loosens their resale limits; reads two ways under housing_affordability
HB2637	house	1634720	2026-02-16	52	45	0	0			By resolution, returned to House Rules Committee for third r	Safeguarding personal information entrusted to agencies that is of no legitimate concern to the public.	Safeguarding personal information entrusted to agencies that is of no legitimate concern to the public.	batch-13	imported
HB2675	senate	1657753	2026-03-09	37	12	1	0			Third reading, passed; yeas, 37; nays, 12; absent, 0; excuse	Concerning accounts.	Concerning accounts.	dropped	account housekeeping; also the Senate amended it 37-12 after a House 89-0 and the House never concurred, so no single text passed both
SB5017	senate	1488415	2025-02-12	39	10	0	0			"Senate Rules ""X"" file."	Adopting national standards for uniformed and overseas civilian voting, including conforming amendments to existing statute.	Adopting national standards for uniformed and overseas civilian voting, including conforming amendments to existing statute.	dropped	military and overseas voter access; voter-access expansion is a filter-5 drop (election_integrity is a secure count, not the size of the electorate)
SB5023	senate	1506657	2025-03-05	29	20	0	0			"Senate Rules ""X"" file."	Providing labor market protections for domestic workers.	Providing labor market protections for domestic workers.	batch-14	imported
SB5061	senate	1632882	2026-02-12	30	19	0	1			By resolution, returned to Senate Rules Committee for third 	Requiring certain wages in public works contracts to be at least the prevailing wage in effect when the work is performed.	Requiring certain wages in public works contracts to be at least the prevailing wage in effect when the work is performed.	batch-14	imported
SB5067	senate	1618749	2026-01-28	26	23	0	0			By resolution, returned to Senate Rules Committee for third 	Concerning impaired driving.	Concerning impaired driving.	batch-14	imported
SB5085	senate	1503659	2025-03-03	28	21	0	0			Rules Committee relieved of further consideration. On motion	Concerning three of Washington state's closed retirement plans.	Concerning three of Washington state's closed retirement plans.	dropped	merges three closed pension plans with a cost-of-living raise; fiscal machinery (a fee, fund, account or bond term), no area direction
SB5098	senate	1616721	2026-01-21	29	20	0	1			By resolution, returned to Senate Rules Committee for third 	Restricting the possession of weapons on the premises of state or local public buildings, parks or playground facilities where children are 	Restricting the possession of weapons on the premises of state or local public buildings, parks or playground facilities where children are likely to be present, and county fairs and county fair facilities.	batch-14	imported
SB5103	senate	1484150	2025-02-07	30	19	0	0			"Senate Rules ""X"" file."	Expediting review of sentences when there exists a pending deportation proceeding.	Expediting review of sentences when there exists a pending deportation proceeding.	batch-14	imported
SB5109	senate	1616755	2026-01-21	30	19	0	1			By resolution, returned to Senate Rules Committee for third 	Concerning the mortgage lending fraud prosecution account.	Concerning the mortgage lending fraud prosecution account.	dropped	recording fee rise for a prosecution account; fiscal machinery (a fee, fund, account or bond term), no area direction
SB5123	senate	1508027	2025-03-06	30	19	0	0			"Senate Rules ""X"" file."	Expanding protections for certain students to promote inclusivity in public schools.	Expanding protections for certain students to promote inclusivity in public schools.	batch-14	imported
SB5177	senate	1624631	2026-02-05	29	19	0	1			By resolution, returned to Senate Rules Committee for third 	Considering the experiences of historically marginalized and underrepresented groups when identifying professional development resources on 	Considering the experiences of historically marginalized and underrepresented groups when identifying professional development resources on certain topics.	dropped	guidance on teacher training content; no area direction
SB5179	senate	1511929	2025-03-10	30	19	0	0			"Senate Rules ""X"" file."	Revised for 2nd substitute: Establishing a complaint process to address willful noncompliance with certain state education laws.	Revised for 2nd substitute: Establishing a complaint process to address willful noncompliance with certain state education laws.	dropped	state complaint process spanning five unrelated subjects, curriculum included; not a civil_rights measure as a whole
SB5181	senate	1482476	2025-02-05	30	19	0	0			"Senate Rules ""X"" file."	Amending the parents rights initiative to bring it into alignment with existing law.	Amending the parents rights initiative to bring it into alignment with existing law.	dropped	rewrites the parents' rights initiative; parental rights vs student privacy, no area
SB5203	senate	1623672	2026-02-04	31	18	0	0			By resolution, returned to Senate Rules Committee for third 	Ensuring connectivity for Washington wildlife through safe passages.	Ensuring connectivity for Washington wildlife through safe passages.	dropped	wildlife habitat corridors; species protection fits no area (WY HB0045 rule)
SB5215	senate	1515623	2025-03-11	34	14	0	0			"Senate Rules ""X"" file."	Concerning debris escaping from vehicles on public highways.	Concerning debris escaping from vehicles on public highways.	batch-14	imported
SB5234	senate	1527564	2025-03-26	28	21	0	0			Passed to Rules Committee for third reading.	Concerning snowmobile registration fees.	Concerning snowmobile registration fees.	dropped	snowmobile registration fee rise; fiscal machinery (a fee, fund, account or bond term), no area direction
SB5280	senate	1615243	2026-01-21	37	12	0	1			By resolution, returned to Senate Rules Committee for third 	Protecting consumers of virtual currency kiosks.	Protecting consumers of virtual currency kiosks.	batch-14	imported
SB5296	senate	1512380	2025-03-10	26	23	0	0			"Senate Rules ""X"" file."	Improving outcomes for individuals adjudicated of juvenile offenses by increasing opportunities for community placement options and refining	Improving outcomes for individuals adjudicated of juvenile offenses by increasing opportunities for community placement options and refining procedural requirements.	dropped	juvenile sentencing; criminal-justice leniency; public_safety_and_crime_control reads two ways (second chances vs accountability)
SB5328	senate	1508714	2025-03-07	29	20	0	0			"Senate Rules ""X"" file."	Revised for 1st substitute: Concerning the regulation of earned wage access services.	Revised for 1st substitute: Concerning the regulation of earned wage access services.	batch-14	imported
SB5331	senate	1616783	2026-01-21	29	20	0	1			By resolution, returned to Senate Rules Committee for third 	Strengthening consumer protection through increased insurer accountability for violations of the insurance code.	Strengthening consumer protection through increased insurer accountability for violations of the insurance code.	batch-14	imported
SB5360	senate	1636319	2026-02-17	27	22	0	1			By resolution, returned to Senate Rules Committee for third 	Concerning environmental crimes.	Concerning environmental crimes.	batch-15	imported
SB5466	senate	1509220	2025-03-10	29	20	0	0			"Senate Rules ""X"" file."	Improving reliability and capacity of the electric transmission system in Washington state.	Improving reliability and capacity of the electric transmission system in Washington state.	batch-15	imported
SB5469	senate	1515889	2025-03-12	29	19	0	0			"Senate Rules ""X"" file."	Prohibiting algorithmic rent fixing and noncompete agreements in the rental housing market.	Prohibiting algorithmic rent fixing and noncompete agreements in the rental housing market.	batch-15	imported
SB5490	senate	1514946	2025-03-11	29	19	0	0			"Senate Rules ""X"" file."	Providing parameters for conducting searches of transgender and intersex individuals confined in a local jail in compliance with federal law	Providing parameters for conducting searches of transgender and intersex individuals confined in a local jail in compliance with federal law.	batch-15	imported
SB5496	senate	1633792	2026-02-13	29	19	0	0			By resolution, returned to Senate Rules Committee for third 	Preserving homeownership options by limiting excessive home buying by certain entities.	Preserving homeownership options by limiting excessive home buying by certain entities.	batch-15	imported
SB5500	senate	1618778	2026-01-28	30	19	0	0			By resolution, returned to Senate Rules Committee for third 	Revised for engrossed: Defining the cost of quality child care for the biennial survey.	Revised for engrossed: Defining the cost of quality child care for the biennial survey.	dropped	changes the content of a child care cost report; administrative or procedural; no area direction
SB5570	senate	1507756	2025-03-06	35	14	0	0			Rules Committee relieved of further consideration. On motion	Supporting public school instruction in tribal sovereignty and federally recognized Indian tribes.	Supporting public school instruction in tribal sovereignty and federally recognized Indian tribes.	dropped	tribal sovereignty curriculum; no area direction
SB5576	senate	1515872	2025-03-11	27	21	0	0			Rules Committee relieved of further consideration. On motion	Revised for 1st substitute: Providing a local government option for the funding of essential affordable housing programs.	Revised for 1st substitute: Providing a local government option for the funding of essential affordable housing programs.	batch-15	imported
SB5581	senate	1615268	2026-01-21	30	19	0	1			By resolution, returned to Senate Rules Committee for third 	Implementing safe system approach strategies for active transportation infrastructure.	Implementing safe system approach strategies for active transportation infrastructure.	batch-15	imported
SB5589	senate	1504057	2025-03-03	29	20	0	0			"Senate Rules ""X"" file."	Conducting a study of credit history, credit-based insurance scores, and other rate factors in making rates for personal insurance.	Conducting a study of credit history, credit-based insurance scores, and other rate factors in making rates for personal insurance.	dropped	insurance credit-score study only
SB5647	senate	1648423	2026-02-28	38	11	0	1			By resolution, returned to Senate Rules Committee for third 	Providing a real estate excise tax exemption for the sale of qualified affordable housing.	Providing a real estate excise tax exemption for the sale of qualified affordable housing.	batch-15	imported
SB5701	senate	1506493	2025-03-05	30	19	0	0			"Senate Rules ""X"" file."	Revised for 1st substitute: Expanding access to records for the purposes of enforcing prevailing wage laws.	Revised for 1st substitute: Expanding access to records for the purposes of enforcing prevailing wage laws.	batch-15	imported
SB5708	senate	1516313	2025-03-12	36	12	0	0			"Senate Rules ""X"" file."	Protecting Washington children online.	Protecting Washington children online.	batch-15	imported
SB5719	senate	1514698	2025-03-11	29	19	0	0			Rules Committee relieved of further consideration. On motion	Concerning local government hearing examiners.	Concerning local government hearing examiners.	dropped	local land-use hearing examiners; administrative or procedural; no area direction
SB5758	senate	1517074	2025-03-12	31	17	0	0			"Senate Rules ""X"" file."	Supporting social equity in the cannabis industry by establishing distance requirements for certain licensees.	Supporting social equity in the cannabis industry by establishing distance requirements for certain licensees.	dropped	cannabis program; no area carries an honest direction for cannabis (PA HB 1200 rule)
SB5772	senate	1527847	2025-03-26	27	22	0	0			"Senate Rules ""X"" file."	Calculating student enrollment for local effort assistance.	Calculating student enrollment for local effort assistance.	dropped	school levy assistance enrollment formula; fiscal machinery (a fee, fund, account or bond term), no area direction
SB5775	senate	1515744	2025-03-11	27	21	0	0			Rules Committee relieved of further consideration. On motion	Expanding local taxing authority to fund public safety and community protection focused programs and services.	Expanding local taxing authority to fund public safety and community protection focused programs and services.	dropped	local public safety tax without a public vote; public safety (for) and taxation pull opposite ways
SB5797	senate	1558716	2025-04-27	26	21	0	0			Rules Committee relieved of further consideration. On motion	Enacting a tax on stocks, bonds, and other financial intangible assets for the benefit of public schools.	Enacting a tax on stocks, bonds, and other financial intangible assets for the benefit of public schools.	batch-15	imported
SB5800	senate	1530742	2025-03-29	35	14	0	0			By resolution, reintroduced and retained in present status.	Authorizing bonds for transportation funding.	Authorizing bonds for transportation funding.	batch-15	imported
SB5832	senate	1634852	2026-02-16	33	16	0	0			By resolution, returned to Senate Rules Committee for third 	Updating the arbitration fee collected for the new motor vehicle arbitration account.	Updating the arbitration fee collected for the new motor vehicle arbitration account.	dropped	vehicle arbitration fee rise; fiscal machinery (a fee, fund, account or bond term), no area direction
SB5838	senate	1631128	2026-02-11	30	19	0	0			By resolution, returned to Senate Rules Committee for third 	Revised for engrossed: Adding tribal representation to the board of natural resources.	Revised for engrossed: Adding tribal representation to the board of natural resources.	dropped	adds tribal seats to a state board; administrative or procedural; no area direction
SB5873	senate	1636027	2026-02-17	31	17	0	0			By resolution, returned to Senate Rules Committee for third 	Concerning escorted leaves of absence for incarcerated individuals.	Concerning escorted leaves of absence for incarcerated individuals.	dropped	escorted leave for incarcerated people; criminal-justice leniency; public_safety_and_crime_control reads two ways (second chances vs accountability)
SB5906	senate	1633011	2026-02-12	30	19	0	0			By resolution, returned to Senate Rules Committee for third 	Establishing data and personal safety protections within areas of public accommodation for all Washington residents.	Establishing data and personal safety protections within areas of public accommodation for all Washington residents.	batch-16	imported
SB5924	senate	1635510	2026-02-17	38	11	0	0			By resolution, returned to Senate Rules Committee for third 	Expanding prescriptive authority for pharmacists.	Expanding prescriptive authority for pharmacists.	batch-16	imported
SB5947	senate	1635744	2026-02-17	30	19	0	0			By resolution, returned to Senate Rules Committee for third 	Establishing the Washington health care board.	Establishing the Washington health care board.	batch-16	imported
SB5956	senate	1628811	2026-02-10	35	13	0	0			By resolution, returned to Senate Rules Committee for third 	Addressing artificial intelligence, student discipline, and surveillance in public schools.	Addressing artificial intelligence, student discipline, and surveillance in public schools.	batch-16	imported
SB5961	senate	1634703	2026-02-16	32	17	0	0			By resolution, returned to Senate Rules Committee for third 	Revised for 1st substitute: Transferring early literacy programs from the department of children, youth, and families to the office of the s	Revised for 1st substitute: Transferring early literacy programs from the department of children, youth, and families to the office of the superintendent of public instruction.	dropped	moves an early literacy program between agencies; administrative or procedural; no area direction
SB5972	senate	1624157	2026-02-04	34	15	0	0			By resolution, returned to Senate Rules Committee for third 	Revised for 1st substitute: Expanding the definition of uniformed personnel regarding correctional officers for purposes of interest arbitra	Revised for 1st substitute: Expanding the definition of uniformed personnel regarding correctional officers for purposes of interest arbitration.	batch-16	imported
SB5984	senate	1632819	2026-02-12	38	11	0	0			By resolution, returned to Senate Rules Committee for third 	Revised for 1st substitute: Regulating artificial intelligence companion chatbots.	Revised for 1st substitute: Regulating artificial intelligence companion chatbots.	batch-16	imported
SB5992	senate	1630319	2026-02-11	30	18	0	0			By resolution, returned to Senate Rules Committee for third 	Creating the youth development fund account to increase access to positive youth development programs.	Creating the youth development fund account to increase access to positive youth development programs.	dropped	creates an unfunded youth development account; fiscal machinery (a fee, fund, account or bond term), no area direction
SB5993	senate	1625743	2026-02-06	29	19	0	0			By resolution, returned to Senate Rules Committee for third 	Revised for 1st substitute: Concerning lowering the interest rate for medical debt.	Revised for 1st substitute: Concerning lowering the interest rate for medical debt.	batch-16	imported
SB6049	senate	1633675	2026-02-13	30	18	0	0			By resolution, returned to Senate Rules Committee for third 	Protecting student and employee information from public disclosure.	Protecting student and employee information from public disclosure.	batch-16	imported
SB6079	senate	1633716	2026-02-13	37	11	0	0			By resolution, returned to Senate Rules Committee for third 	Revised for 1st substitute: Reducing nonrenewal and cancellations of insurance policies due to wildfire risk.	Revised for 1st substitute: Reducing nonrenewal and cancellations of insurance policies due to wildfire risk.	dropped	wildfire mitigation grants plus a conditional insurer underwriting limit; the strands fall in no single area
SB6080	senate	1636179	2026-02-17	30	19	0	0			By resolution, returned to Senate Rules Committee for third 	Concerning contracts between the United States and county and municipal jails for committing or confining individuals in federal custody.	Concerning contracts between the United States and county and municipal jails for committing or confining individuals in federal custody.	dropped	county and city jail contracts with the federal government; the source never frames it as immigration and no area has a direction
SB6097	senate	1633604	2026-02-13	32	16	0	0			By resolution, returned to Senate Rules Committee for third 	Adding federally recognized Indian tribes to the list of entities that may participate in the conservation futures program.	Adding federally recognized Indian tribes to the list of entities that may participate in the conservation futures program.	dropped	adds tribes to a land conservation program; administrative or procedural; no area direction
SB6114	senate	1634662	2026-02-16	27	21	0	0			By resolution, returned to Senate Rules Committee for third 	"Defining the terms ""fixture"" and ""affixed"" for excise tax purposes."	"Defining the terms ""fixture"" and ""affixed"" for excise tax purposes."	dropped	tax definitions of fixture and affixed; technical
SB6129	senate	1648414	2026-02-28	26	22	0	0			By resolution, returned to Senate Rules Committee for third 	Revised for engrossed: Concerning the taxation of cigarettes, vapor products, and other products containing tobacco or nicotine.	Revised for engrossed: Concerning the taxation of cigarettes, vapor products, and other products containing tobacco or nicotine.	dropped	tobacco and vapor tax rise; public health (for) and cost of living (against) pull opposite ways
SB6148	senate	1630642	2026-02-11	29	20	0	0			By resolution, returned to Senate Rules Committee for third 	Modifying the maximum terms of regional transit authority bond issues.	Modifying the maximum terms of regional transit authority bond issues.	dropped	longer transit bond terms; fiscal machinery (a fee, fund, account or bond term), no area direction
SB6184	senate	1629147	2026-02-10	30	19	0	0			By resolution, returned to Senate Rules Committee for third 	Updating the office of homeless youth program provisions.	Updating the office of homeless youth program provisions.	batch-16	imported
SB6210	senate	1630301	2026-02-11	30	19	0	0			By resolution, returned to Senate Rules Committee for third 	Concerning the health plan certification process.	Concerning the health plan certification process.	dropped	health exchange certification criteria; administrative or procedural; no area direction
SB6239	senate	1636215	2026-02-17	33	16	0	0			By resolution, returned to Senate Rules Committee for third 	Revised for engrossed: Establishing a process for adjudicating tort claims against the state of Washington and its political subdivisions.	Revised for engrossed: Establishing a process for adjudicating tort claims against the state of Washington and its political subdivisions.	dropped	state tort claim procedure; administrative or procedural; no area direction
SB6262	senate	1634765	2026-02-16	35	14	0	0			By resolution, returned to Senate Rules Committee for third 	Increasing the maximum weight of certain vehicles subject to transportation benefit district vehicle fees.	Increasing the maximum weight of certain vehicles subject to transportation benefit district vehicle fees.	dropped	vehicle fee weight limit; fiscal machinery (a fee, fund, account or bond term), no area direction
SB6289	senate	1634846	2026-02-16	30	19	0	0			By resolution, returned to Senate Rules Committee for third 	Creating a statewide economic development and competitiveness strategic plan.	Creating a statewide economic development and competitiveness strategic plan.	dropped	economic development strategic plan only
