bill	chamber	roll_call_id	date	yea	nay	margin_pct	reach	same_day_peers	earlier_rolls	partial_veto	question	title	description	disposition	reason
HB1185	senate	1550128	2025-04-16	37	12	32.4	19		0		Senate 3rd Reading & Final Passage	Concerning membership on the correctional industries advisory committee.	Concerning membership on the correctional industries advisory committee.	candidate	unbatched
HB1201	house	1505040	2025-03-04	69	26	37.7	87		0		House 3rd Reading & Final Passage	Identifying accommodations allowing pets in an emergency or extreme weather event.	Identifying accommodations allowing pets in an emergency or extreme weather event.	candidate	unbatched
HB1201	senate	1546280	2025-04-11	38	11	28.9	19		0		Senate 3rd Reading & Final Passage	Identifying accommodations allowing pets in an emergency or extreme weather event.	Identifying accommodations allowing pets in an emergency or extreme weather event.	candidate	unbatched
HB1207	house	1558657	2025-04-26	54	44	81.5	87		1		House Final Passage as Amended by the Senate	Concerning superior court clerk fees.	Concerning superior court clerk fees.	candidate	unbatched
HB1207	senate	1558656	2025-04-26	27	21	77.8	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Concerning superior court clerk fees.	Concerning superior court clerk fees.	candidate	unbatched
HB1210	senate	1656680	2026-03-06	28	20	71.4	19		0		Senate 3rd Reading & Final Passage	Concerning targeted urban area tax preferences.	Concerning targeted urban area tax preferences.	candidate	unbatched
HB1213	house	1552360	2025-04-19	57	38	66.7	87		1		House Final Passage as Amended by the Senate	Expanding protections for workers in the state paid family and medical leave program.	Expanding protections for workers in the state paid family and medical leave program.	candidate	unbatched
HB1213	senate	1548981	2025-04-15	28	20	71.4	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Expanding protections for workers in the state paid family and medical leave program.	Expanding protections for workers in the state paid family and medical leave program.	candidate	unbatched
HB1215	house	1489418	2025-02-13	57	36	63.2	87		0		House 3rd Reading & Final Passage	Removing references to pregnancy from the model directive form under the natural death act.	Removing references to pregnancy from the model directive form under the natural death act.	candidate	unbatched
HB1215	senate	1538541	2025-04-07	30	19	63.3	19		0		Senate 3rd Reading & Final Passage	Removing references to pregnancy from the model directive form under the natural death act.	Removing references to pregnancy from the model directive form under the natural death act.	candidate	unbatched
HB1217	house	1558685	2025-04-27	54	44	81.5	87		1		House Final Passage as Recommended by the Conference Committee	Improving housing stability for tenants subject to the residential landlord-tenant act and the manufactured/mobile home landlord-tenant act by limitin	Improving housing stability for tenants subject to the residential landlord-tenant act and the manufactured/mobile home landlord-tenant act by limiting rent and fee increases, requiring notice of rent and fee increases, limiting fees and deposits, establishing a landlord resource center and associat	batch-01	imported
HB1217	senate	1558684	2025-04-27	27	20	74.1	19		1		Senate Final Passage as Recommended by Conference Committee	Improving housing stability for tenants subject to the residential landlord-tenant act and the manufactured/mobile home landlord-tenant act by limitin	Improving housing stability for tenants subject to the residential landlord-tenant act and the manufactured/mobile home landlord-tenant act by limiting rent and fee increases, requiring notice of rent and fee increases, limiting fees and deposits, establishing a landlord resource center and associat	batch-01	imported
HB1219	house	1553126	2025-04-21	68	29	42.6	87		1		House Final Passage as Amended by the Senate	Concerning the interbranch advisory committee.	Concerning the interbranch advisory committee.	candidate	unbatched
HB1219	senate	1550346	2025-04-16	29	20	69.0	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Concerning the interbranch advisory committee.	Concerning the interbranch advisory committee.	candidate	unbatched
HB1222	house	1489371	2025-02-13	73	21	28.8	87		0		House 3rd Reading & Final Passage	Concerning public inspection and copying of proprietary financial and security information submitted to or obtained by the gambling commission.	Concerning public inspection and copying of proprietary financial and security information submitted to or obtained by the gambling commission.	candidate	unbatched
HB1232	house	1508889	2025-03-07	56	38	67.9	87		0		House 3rd Reading & Final Passage	Concerning private detention facilities.	Concerning private detention facilities.	candidate	batch-02 candidate: private detention facilities, not yet read
HB1232	senate	1555829	2025-04-23	29	19	65.5	19		1		Senate Final Passage without Senate Amendments	Concerning private detention facilities.	Concerning private detention facilities.	candidate	batch-02 candidate: private detention facilities, not yet read
HB1244	house	1504129	2025-03-03	58	39	67.2	87	1504128	0		House Final Passage on Reconsideration	Concerning training as an alternative to driver license suspension for the accumulation of certain traffic infractions.	Concerning training as an alternative to driver license suspension for the accumulation of certain traffic infractions.	candidate	unbatched
HB1244	senate	1550701	2025-04-16	34	15	44.1	19		0		Senate 3rd Reading & Final Passage	Concerning training as an alternative to driver license suspension for the accumulation of certain traffic infractions.	Concerning training as an alternative to driver license suspension for the accumulation of certain traffic infractions.	candidate	unbatched
HB1258	house	1552376	2025-04-19	57	38	66.7	87		1		House Final Passage as Amended by the Senate	Providing funding for municipalities participating in the regional 911 emergency communications system.	Providing funding for municipalities participating in the regional 911 emergency communications system.	candidate	unbatched
HB1258	senate	1541891	2025-04-09	28	21	75.0	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Providing funding for municipalities participating in the regional 911 emergency communications system.	Providing funding for municipalities participating in the regional 911 emergency communications system.	candidate	unbatched
HB1264	house	1552977	2025-04-21	70	27	38.6	87		1		House Final Passage as Amended by the Senate	Concerning the salaries of ferry system collective bargaining units.	Concerning the salaries of ferry system collective bargaining units.	candidate	unbatched
HB1264	senate	1549239	2025-04-15	29	19	65.5	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Concerning the salaries of ferry system collective bargaining units.	Concerning the salaries of ferry system collective bargaining units.	candidate	unbatched
HB1293	senate	1558654	2025-04-26	27	20	74.1	19		1		Senate 3rd Reading & Final Passage as Amended by the Senate	Concerning litter.	Concerning litter.	candidate	unbatched
HB1296	house	1557823	2025-04-24	59	39	66.1	87		1		House Final Passage as Amended by the Senate	Promoting a safe and supportive public education system.	Promoting a safe and supportive public education system.	candidate	batch-02 candidate: safe and supportive education, not yet read
HB1296	senate	1546315	2025-04-11	30	19	63.3	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Promoting a safe and supportive public education system.	Promoting a safe and supportive public education system.	candidate	batch-02 candidate: safe and supportive education, not yet read
HB1302	house	1614212	2026-01-15	76	21	27.6	87		1		House 3rd Reading & Final Passage	Concerning utility connection charge waivers.	Concerning utility connection charge waivers.	candidate	unbatched
HB1308	house	1551830	2025-04-17	56	40	71.4	87		1		House Final Passage as Amended by the Senate	Concerning access to personnel records.	Concerning access to personnel records.	candidate	unbatched
HB1308	senate	1542482	2025-04-09	32	17	53.1	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Concerning access to personnel records.	Concerning access to personnel records.	candidate	unbatched
HB1321	house	1509184	2025-03-10	58	37	63.8	87		0		House 3rd Reading & Final Passage	Concerning the governor's authority to limit outside militia activities within the state.	Concerning the governor's authority to limit outside militia activities within the state.	candidate	unbatched
HB1321	senate	1543513	2025-04-10	30	19	63.3	19		0		Senate 3rd Reading & Final Passage	Concerning the governor's authority to limit outside militia activities within the state.	Concerning the governor's authority to limit outside militia activities within the state.	candidate	unbatched
HB1332	house	1551948	2025-04-17	59	37	62.7	87		1		House Final Passage as Amended by the Senate	Concerning transportation network companies.	Concerning transportation network companies.	candidate	unbatched
HB1332	senate	1547963	2025-04-14	27	21	77.8	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Concerning transportation network companies.	Concerning transportation network companies.	candidate	unbatched
HB1345	senate	1650661	2026-03-03	33	15	45.5	19		0		Senate 3rd Reading & Final Passage	Establishing limitations on detached accessory dwelling units outside of urban growth areas.	Establishing limitations on detached accessory dwelling units outside of urban growth areas.	candidate	unbatched
HB1355	house	1523775	2025-03-20	72	23	31.9	87	1523774	0		House Final Passage on Reconsideration	Modifying retail taxes compacts between the state of Washington and federally recognized tribes located in Washington state by increasing the revenue-	Modifying retail taxes compacts between the state of Washington and federally recognized tribes located in Washington state by increasing the revenue-sharing percentages when a compacting tribe has completed a qualified capital investment.	candidate	unbatched
HB1359	house	1553801	2025-04-22	58	39	67.2	87		1		House Final Passage as Amended by the Senate	Reviewing laws related to criminal insanity and competency to stand trial.	Reviewing laws related to criminal insanity and competency to stand trial.	candidate	unbatched
HB1359	senate	1549029	2025-04-15	31	17	54.8	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Reviewing laws related to criminal insanity and competency to stand trial.	Reviewing laws related to criminal insanity and competency to stand trial.	candidate	unbatched
HB1382	house	1552370	2025-04-19	58	37	63.8	87		1		House Final Passage as Amended by the Senate	Modernizing the all payers claim database.	Modernizing the all payers claim database.	candidate	unbatched
HB1382	senate	1550360	2025-04-16	30	19	63.3	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Modernizing the all payers claim database.	Modernizing the all payers claim database.	candidate	unbatched
HB1390	house	1657322	2026-03-09	51	44	86.3	87		3		House Final Passage as Amended by the Senate	Repealing the community protection program.	Repealing the community protection program.	candidate	unbatched
HB1390	senate	1652841	2026-03-04	29	20	69.0	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Repealing the community protection program.	Repealing the community protection program.	candidate	unbatched
HB1392	house	1552371	2025-04-19	57	38	66.7	87		1		House Final Passage as Amended by the Senate	Creating the medicaid access program.	Creating the medicaid access program.	candidate	unbatched
HB1392	senate	1547743	2025-04-14	31	18	58.1	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Creating the medicaid access program.	Creating the medicaid access program.	candidate	unbatched
HB1395	house	1552331	2025-04-18	59	38	64.4	87		1		House Final Passage as Amended by the Senate	Streamlining the home care worker background check process.	Streamlining the home care worker background check process.	candidate	unbatched
HB1395	senate	1547877	2025-04-14	31	18	58.1	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Streamlining the home care worker background check process.	Streamlining the home care worker background check process.	candidate	unbatched
HB1409	house	1552538	2025-04-21	54	43	79.6	87		1		House Final Passage as Amended by the Senate	Concerning the clean fuels program.	Concerning the clean fuels program.	candidate	batch-02 candidate: the clean fuels act tightens the schedule but also replaces the Clean Air Act penalties and brakes further tightening on a biofuel permit, so it needs a full read
HB1409	senate	1549155	2025-04-15	25	23	92.0	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Concerning the clean fuels program.	Concerning the clean fuels program.	candidate	batch-02 candidate: the clean fuels act tightens the schedule but also replaces the Clean Air Act penalties and brakes further tightening on a biofuel permit, so it needs a full read
HB1418	house	1552375	2025-04-19	62	33	53.2	87		1		House Final Passage as Amended by the Senate	Adding two voting members that are transit users to the governing body of public transportation benefit areas.	Adding two voting members that are transit users to the governing body of public transportation benefit areas.	candidate	unbatched
HB1418	senate	1549927	2025-04-16	36	12	33.3	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Adding two voting members that are transit users to the governing body of public transportation benefit areas.	Adding two voting members that are transit users to the governing body of public transportation benefit areas.	candidate	unbatched
HB1440	house	1557716	2025-04-24	58	37	63.8	87		1		House Final Passage as Amended by the Senate	Concerning seizure and forfeiture procedures and reporting.	Concerning seizure and forfeiture procedures and reporting.	candidate	unbatched
HB1440	senate	1555284	2025-04-23	28	20	71.4	19		1		Senate 3rd Reading & Final Passage as Amended by the Senate	Concerning seizure and forfeiture procedures and reporting.	Concerning seizure and forfeiture procedures and reporting.	candidate	unbatched
HB1462	house	1553959	2025-04-22	58	39	67.2	87		1		House Final Passage as Amended by the Senate	Reducing greenhouse gas emissions associated with hydrofluorocarbons.	Reducing greenhouse gas emissions associated with hydrofluorocarbons.	candidate	batch-02 candidate: hydrofluorocarbons, not yet read
HB1462	senate	1549260	2025-04-15	25	23	92.0	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Reducing greenhouse gas emissions associated with hydrofluorocarbons.	Reducing greenhouse gas emissions associated with hydrofluorocarbons.	candidate	batch-02 candidate: hydrofluorocarbons, not yet read
HB1486	house	1515692	2025-03-11	75	20	26.7	87		0		House 3rd Reading & Final Passage	Adding a student member to the state board for community and technical colleges.	Adding a student member to the state board for community and technical colleges.	candidate	unbatched
HB1486	senate	1542581	2025-04-09	39	10	25.6	19		0		Senate 3rd Reading & Final Passage	Adding a student member to the state board for community and technical colleges.	Adding a student member to the state board for community and technical colleges.	candidate	unbatched
HB1488	house	1552128	2025-04-18	53	43	81.1	87		1		House Final Passage as Amended by the Senate	Concerning conservation district revenue limitations.	Concerning conservation district revenue limitations.	candidate	unbatched
HB1488	senate	1528105	2025-03-26	29	20	69.0	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Concerning conservation district revenue limitations.	Concerning conservation district revenue limitations.	candidate	unbatched
HB1491	house	1554380	2025-04-22	57	39	68.4	87		1		House Final Passage as Amended by the Senate	Promoting transit-oriented housing development.	Promoting transit-oriented housing development.	candidate	batch-02 candidate: transit-oriented housing, not yet read
HB1491	senate	1548615	2025-04-15	30	18	60.0	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Promoting transit-oriented housing development.	Promoting transit-oriented housing development.	candidate	batch-02 candidate: transit-oriented housing, not yet read
HB1494	house	1506526	2025-03-05	63	34	54.0	87		0		House 3rd Reading & Final Passage	Concerning the property tax exemptions for new and rehabilitated multiple-unit dwellings in urban centers.	Concerning the property tax exemptions for new and rehabilitated multiple-unit dwellings in urban centers.	candidate	unbatched
HB1494	senate	1548970	2025-04-15	30	18	60.0	19		0		Senate 3rd Reading & Final Passage	Concerning the property tax exemptions for new and rehabilitated multiple-unit dwellings in urban centers.	Concerning the property tax exemptions for new and rehabilitated multiple-unit dwellings in urban centers.	candidate	unbatched
HB1497	house	1553966	2025-04-22	59	37	62.7	87		1		House Final Passage as Amended by the Senate	Improving outcomes associated with waste material management systems.	Improving outcomes associated with waste material management systems.	candidate	unbatched
HB1497	senate	1549734	2025-04-16	27	22	81.5	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Improving outcomes associated with waste material management systems.	Improving outcomes associated with waste material management systems.	candidate	unbatched
HB1498	house	1558663	2025-04-26	70	28	40.0	87		1		House Final Passage as Amended by the Senate	Concerning domestic violence co-responder programs.	Concerning domestic violence co-responder programs.	candidate	unbatched
HB1498	senate	1558645	2025-04-26	38	10	26.3	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Concerning domestic violence co-responder programs.	Concerning domestic violence co-responder programs.	candidate	unbatched
HB1500	house	1660008	2026-03-11	61	34	55.7	87		1		House Final Passage as Amended by the Senate	Concerning resale certificates for units in common interest communities.	Concerning resale certificates for units in common interest communities.	candidate	unbatched
HB1501	house	1657682	2026-03-09	58	37	63.8	87		1		House Final Passage as Amended by the Senate	Concerning inquiries into association governance or operations by unit owners in common interest communities.	Concerning inquiries into association governance or operations by unit owners in common interest communities.	candidate	unbatched
HB1501	senate	1647060	2026-02-26	33	15	45.5	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Concerning inquiries into association governance or operations by unit owners in common interest communities.	Concerning inquiries into association governance or operations by unit owners in common interest communities.	candidate	unbatched
HB1514	house	1554754	2025-04-22	70	26	37.1	87		1		House Final Passage as Amended by the Senate	Encouraging the deployment of low carbon thermal energy networks.	Encouraging the deployment of low carbon thermal energy networks.	candidate	unbatched
HB1515	senate	1550659	2025-04-16	37	12	32.4	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Modernizing the regulation of alcohol service in public spaces.	Modernizing the regulation of alcohol service in public spaces.	candidate	unbatched
HB1516	house	1516262	2025-03-11	58	38	65.5	87		0		House 3rd Reading & Final Passage	Conducting a study of insurance coverage options for permanently affordable homeownership units.	Conducting a study of insurance coverage options for permanently affordable homeownership units.	candidate	unbatched
HB1524	senate	1537323	2025-04-04	37	12	32.4	19		0		Senate 3rd Reading & Final Passage	Concerning workplace standards and requirements applicable to employers of isolated employees.	Concerning workplace standards and requirements applicable to employers of isolated employees.	candidate	unbatched
HB1531	house	1508988	2025-03-08	58	35	60.3	87		0		House 3rd Reading & Final Passage	Preserving the ability of public officials to address communicable diseases.	Preserving the ability of public officials to address communicable diseases.	candidate	unbatched
HB1531	senate	1543690	2025-04-10	31	18	58.1	19		0		Senate 3rd Reading & Final Passage	Preserving the ability of public officials to address communicable diseases.	Preserving the ability of public officials to address communicable diseases.	candidate	unbatched
HB1540	house	1495665	2025-02-20	62	33	53.2	87		0		House 3rd Reading & Final Passage	Expanding eligibility for the students experiencing homelessness and foster youth program to an accredited tribal college.	Expanding eligibility for the students experiencing homelessness and foster youth program to an accredited tribal college.	candidate	unbatched
HB1552	senate	1558651	2025-04-26	28	18	64.3	19		0		Senate 3rd Reading & Final Passage	Extending the fee on real estate broker licenses to fund the Washington center for real estate research and adjusting the fee to account for inflation	Extending the fee on real estate broker licenses to fund the Washington center for real estate research and adjusting the fee to account for inflation.	candidate	unbatched
HB1562	house	1552356	2025-04-19	67	26	38.8	87		1		House Final Passage as Amended by the Senate	Increasing the availability of baby diaper changing stations.	Increasing the availability of baby diaper changing stations.	candidate	unbatched
HB1570	house	1633934	2026-02-14	58	35	60.3	87		0		House 3rd Reading & Final Passage	Concerning collective bargaining for certain employees who are enrolled in academic programs at public institutions of higher education.	Concerning collective bargaining for certain employees who are enrolled in academic programs at public institutions of higher education.	candidate	unbatched
HB1570	senate	1652662	2026-03-04	29	19	65.5	19		0		Senate 3rd Reading & Final Passage	Concerning collective bargaining for certain employees who are enrolled in academic programs at public institutions of higher education.	Concerning collective bargaining for certain employees who are enrolled in academic programs at public institutions of higher education.	candidate	unbatched
HB1587	house	1552381	2025-04-19	57	36	63.2	87		1		House Final Passage as Amended by the Senate	Encouraging local government partner promise scholarship programs within the opportunity scholarship program.	Encouraging local government partner promise scholarship programs within the opportunity scholarship program.	candidate	unbatched
HB1587	senate	1547538	2025-04-14	33	16	48.5	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Encouraging local government partner promise scholarship programs within the opportunity scholarship program.	Encouraging local government partner promise scholarship programs within the opportunity scholarship program.	candidate	unbatched
HB1604	house	1623818	2026-02-04	56	39	69.6	87		0		House 3rd Reading & Final Passage	Providing parameters for conducting searches of transgender and intersex individuals confined in a local jail in compliance with federal law.	Providing parameters for conducting searches of transgender and intersex individuals confined in a local jail in compliance with federal law.	batch-01	imported
HB1604	senate	1651766	2026-03-03	30	19	63.3	19		0		Senate 3rd Reading & Final Passage	Providing parameters for conducting searches of transgender and intersex individuals confined in a local jail in compliance with federal law.	Providing parameters for conducting searches of transgender and intersex individuals confined in a local jail in compliance with federal law.	batch-01	imported
HB1620	house	1552203	2025-04-18	60	37	61.7	87		1		House Final Passage as Amended by the Senate	Concerning limitations in parenting plans.	Concerning limitations in parenting plans.	candidate	unbatched
HB1620	senate	1534307	2025-04-02	32	17	53.1	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Concerning limitations in parenting plans.	Concerning limitations in parenting plans.	candidate	unbatched
HB1644	house	1511981	2025-03-10	60	35	58.3	87		0		House 3rd Reading & Final Passage	Concerning the safety and health of working minors.	Concerning the safety and health of working minors.	candidate	unbatched
HB1644	senate	1541869	2025-04-09	37	12	32.4	19		0		Senate 3rd Reading & Final Passage	Concerning the safety and health of working minors.	Concerning the safety and health of working minors.	candidate	unbatched
HB1651	house	1553027	2025-04-21	58	39	67.2	87		1		House Final Passage as Amended by the Senate	Concerning teacher residency and apprenticeship programs.	Concerning teacher residency and apprenticeship programs.	candidate	unbatched
HB1651	senate	1546435	2025-04-11	30	18	60.0	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Concerning teacher residency and apprenticeship programs.	Concerning teacher residency and apprenticeship programs.	candidate	unbatched
HB1687	house	1629176	2026-02-10	58	38	65.5	87		0		House 3rd Reading & Final Passage	Concerning social housing public development authorities.	Concerning social housing public development authorities.	candidate	unbatched
HB1687	senate	1648404	2026-02-28	32	17	53.1	19		0		Senate 3rd Reading & Final Passage	Concerning social housing public development authorities.	Concerning social housing public development authorities.	candidate	unbatched
HB1696	house	1508327	2025-03-06	57	39	68.4	87		0		House 3rd Reading & Final Passage	Modifying the covenant homeownership program.	Modifying the covenant homeownership program.	candidate	unbatched
HB1696	senate	1547959	2025-04-14	30	19	63.3	19		0		Senate 3rd Reading & Final Passage	Modifying the covenant homeownership program.	Modifying the covenant homeownership program.	candidate	unbatched
