bill	bill_id	title	divided_rolls	all_rolls	tallies	status_date	last_action	sasts	disposition	reason
A06815	2007330	Authorizes the town of Fishkill to adopt a local law to impose a hotel/motel occupancy tax for hotels not located in the village of Fishkill; authorizes the village of Fishkill to adopt local laws to impose a hotel/motel	2	2	A 2025-06-06 90-51 roll1586852 DIV; S 2025-06-13 46-13 roll1590689 DIV	2025-10-16		S06243	excluded:local	applies to one named locality; outside the campaign gate
A06918	2010049	Authorizes the town of Copake to establish community preservation funds and to impose a real estate transfer tax with revenues to be deposited into the community preservation fund; provides for the repeal of certain prov	2	2	S 2025-06-12 40-19 roll1590608 DIV; A 2025-06-12 100-44 roll1590202 DIV	2025-11-21		S06664	excluded:local	applies to one named locality; outside the campaign gate
A07341	2014446	Authorizes the city of Mount Vernon to impose a hotel and motel tax of 5.875%.	2	2	A 2025-06-10 102-45 roll1588587 DIV; S 2025-06-12 45-14 roll1590301 DIV	2025-10-16		S07321	excluded:local	applies to one named locality; outside the campaign gate
A07348	2014486	Increases the tax on deeds in the city of Mount Vernon to 1 1/2 percent.	2	2	A 2025-05-21 94-49 roll1576182 DIV; S 2025-06-12 44-15 roll1590735 DIV	2025-12-05		S07322	excluded:local	applies to one named locality; outside the campaign gate
A07634	2019376	Relates to hotel and motel taxes in Saratoga county and the city of Saratoga Springs; increases the allowable amount of tax imposed by the county; removes exemptions for properties having less than 4 units; relates to th	2	2	A 2025-05-29 101-44 roll1582186 DIV; S 2025-06-12 47-12 roll1590330 DIV	2025-10-16		S06998	excluded:local	applies to one named locality; outside the campaign gate
A08011	2025293	Raises the Clinton county hotel or motel tax from three percent to five percent.	2	2	A 2025-06-06 89-48 roll1586458 DIV; S 2025-06-11 46-13 roll1589433 DIV	2025-10-16		S07368	excluded:local	applies to one named locality; outside the campaign gate
A08348	2030861	Authorizes the village of Croton-on-Hudson, in the county of Westchester, to impose a hotel and motel tax.	2	2	A 2025-05-29 97-47 roll1582147 DIV; S 2025-06-12 45-14 roll1590526 DIV	2025-10-16		S07790	excluded:local	applies to one named locality; outside the campaign gate
A08490	2032514	Authorizes occupancy taxes in the city of Utica and the city of Rome not to exceed 3%.	2	2	A 2025-06-09 96-47 roll1587210 DIV; S 2025-06-12 47-12 roll1590724 DIV	2025-10-16		S08155	excluded:local	applies to one named locality; outside the campaign gate
A08678	2034318	Extends the effectiveness of certain provisions relating to joint bidding on contracts for public work projects.	2	3	A 2025-06-09 143-0 roll1587219; S 2025-06-12 42-17 roll1590413 DIV; S 2025-06-12 42-17 roll1590412 DIV	2025-12-12		S08405	excluded:extender	extends an existing authority or expiry date without changing policy
A09515	2071042	Relates to requirements for medical professionals and health care facilities that provide medication to patients for medical aid in dying; extends the initial effectiveness of certain provisions relating thereto.	2	2	S 2026-02-04 34-28 roll1625157 DIV; A 2026-02-04 83-62 roll1624492 DIV	2026-02-06		S08835	dropped:filter-5	Medical aid in dying, rules for providers. Same direction problem as A 136.
A09516	2071870	Requires the timely disclosure of video footage or audio recordings related to the death of incarcerated individuals involving correction officers or peace officers to the attorney general's office of special investigati	2	2	A 2026-01-28 97-44 roll1619145 DIV; S 2026-01-28 37-22 roll1622645 DIV	2026-02-13		S08825	candidate:batch-03	Disclosure of video after a death in custody. Held for batch-02, a full read of the act is still owed.
A10000	2088651	Makes appropriations for the support of government - State Operations Budget.	2	2	A 2026-05-27 102-40 roll1702978 DIV; S 2026-05-27 43-19 roll1702704 DIV	2026-06-09		S09000	excluded:appropriations	budget or bonding measure; no area carries an honest direction on a spending bill
A10001	2088858	Makes appropriations for the support of government - Legislature and Judiciary Budget.	2	2	S 2026-05-27 45-17 roll1702720 DIV; A 2026-05-27 98-44 roll1703113 DIV	2026-06-09		S09001	excluded:appropriations	budget or bonding measure; no area carries an honest direction on a spending bill
A10004	2088815	Makes appropriations for the support of government - Capital Projects Budget.	2	2	A 2026-05-27 111-31 roll1702977 DIV; S 2026-05-27 45-17 roll1702705 DIV	2026-06-09		S09004	excluded:appropriations	budget or bonding measure; no area carries an honest direction on a spending bill
A10007	2088881	Enacts into law major components of legislation necessary to implement the state health and mental hygiene budget for the 2026-2027 state fiscal year; extends provisions requiring the quarterly assessment of known and pr	2	2	A 2026-05-27 102-41 roll1702962 DIV; S 2026-05-27 42-20 roll1702670 DIV	2026-05-28		S09007	excluded:appropriations	budget or bonding measure; no area carries an honest direction on a spending bill
A10455	2130333	Relates to adjudications and owner liability for a violation of traffic-control signal indications in the city of Ithaca.	2	2	A 2026-06-02 105-34 roll1705359 DIV; S 2026-06-03 44-17 roll1711978 DIV	2026-08-14		S09527	excluded:local	applies to one named locality; outside the campaign gate
A10522	2130344	Authorizes the town of Clinton to impose a 3% occupancy tax upon persons occupying hotel or motel rooms in such town; provides for the repeal of such provisions upon expiration thereof.	2	2	A 2026-05-14 94-40 roll1699178 DIV; S 2026-05-28 48-12 roll1703707 DIV	2026-08-21		S09374	excluded:local	applies to one named locality; outside the campaign gate
A10710	2138696	Includes the recommendations of the American Academy of Pediatrics, the American Academy of Family Physicians, the American College of Obstetricians and Gynecologists, the American College of Physicians and/or other simi	2	2	A 2026-04-21 99-39 roll1687411 DIV; S 2026-05-11 38-22 roll1696603 DIV	2026-05-15		S09599	deferred:user-direction	Childhood vaccine schedule. Vaccine-adjacent measures are escalated to the user for a direction call rather than judged here.
A10711	2138788	Requires the administration of certain vaccines for children in accordance with regulations issued by the commissioner, utilizing generally accepted medical standards and based on recommendations of the American Academy	2	2	S 2026-04-21 39-23 roll1689755 DIV; A 2026-04-21 90-48 roll1687413 DIV	2026-05-15		S09598	deferred:user-direction	Childhood vaccine schedule set by the health commissioner. Same escalation as A 10710.
A10737	2139065	Authorizes an occupancy tax in the city of Kingston not to exceed 3%.	2	2	A 2026-05-04 90-45 roll1693652 DIV; S 2026-05-28 47-13 roll1703087 DIV	2026-08-21		S09551	excluded:local	applies to one named locality; outside the campaign gate
A10932	2142352	Authorizes an occupancy tax in the town of Amherst, county of Erie, not to exceed 2.5%.	2	2	A 2026-05-28 96-42 roll1703330 DIV; S 2026-05-28 47-13 roll1703677 DIV	2026-08-21		S09850	excluded:local	applies to one named locality; outside the campaign gate
A11529	2152290	Increases the maximum aggregate principal amount of the outstanding notes and bonds of the New York city housing development corporation from twenty billion dollars to twenty-two billion dollars.	2	2	A 2026-06-02 92-47 roll1705382 DIV; S 2026-06-02 42-19 roll1705080 DIV	2026-07-31		S10442	excluded:appropriations	budget or bonding measure; no area carries an honest direction on a spending bill
S00036	1898013	Permits prescription labels for mifepristone, misoprostol, and their generic alternatives to include the name of the prescribing health care practice instead of the name of the prescriber at the prescriber's request.	2	2	S 2025-01-21 39-20 roll1472643 DIV; A 2025-01-22 95-42 roll1473444 DIV	2025-02-03		A02145	batch-01	judged and imported in batch-01
S00743	1902213	Includes rifles and shotguns in required warnings to consumers regarding the risk of death or suicide in homes where such weapons are present.	2	2	S 2025-02-03 43-20 roll1478939 DIV; A 2025-03-19 98-50 roll1522762 DIV	2025-04-03		A00437	batch-01	judged and imported in batch-01
S00744	1902138	Includes pistol converters in the definition of a rapid-fire modification device.	2	2	S 2025-02-03 50-13 roll1478985 DIV; A 2025-03-19 100-48 roll1523103 DIV	2025-04-03		A00436	batch-01	judged and imported in batch-01
S00745	1902037	Removes dealers of ammunition from certain provisions that require the use of certain merchant category-codes by payment card networks for firearm merchants.	2	2	S 2025-02-03 46-17 roll1478801 DIV; A 2025-03-19 96-52 roll1522289 DIV	2025-04-03		A00439	candidate:batch-03	passed the title screen, not yet read
S00752	1902164	Makes technical changes related to ballot drop boxes for absentee and early voting ballots.	2	2	S 2025-02-03 41-22 roll1479004 DIV; A 2025-03-12 94-50 roll1516809 DIV	2025-03-20		A01014	candidate:batch-03	Ballot drop box changes. Held for batch-02 pending a full read of what the changes do.
S00754	1902201	Relates to the number of persons recommended for appointment to the Republic airport commission for the governor to choose from which shall be a list of no fewer than three persons.	2	2	S 2025-02-03 40-23 roll1479413 DIV; A 2025-03-03 102-46 roll1504178 DIV	2025-03-07		A02746	candidate:batch-03	passed the title screen, not yet read
S00759	1902096	Extends provisions of law relating to expanding the food donation and food scraps recycling program; amends the effectiveness relating thereto.	2	2	S 2025-01-14 48-12 roll1471412 DIV; A 2025-02-12 106-43 roll1488792 DIV	2025-02-14		A01679	excluded:extender	extends an existing authority or expiry date without changing policy
S00799	1902252	Permits a candidate for office to be employed by a board of elections with prior authorization and a majority vote of the elections commissioners.	2	2	S 2025-02-05 44-18 roll1482625 DIV; A 2025-03-03 101-47 roll1504953 DIV	2025-03-07		A01015	candidate:batch-03	passed the title screen, not yet read
S00801	1902150	Directs the state energy conservation construction code to set standards for electric vehicle charging stations and electric vehicle ready parking spaces in certain new buildings.	2	2	S 2025-02-10 44-17 roll1485432 DIV; A 2025-03-12 88-57 roll1516803 DIV	2025-03-20		A04200	batch-01	judged and imported in batch-01
S00816	1902214	Specifies the occupancy tax in the village of Catskill shall only apply to hotels and motels.	2	2	S 2025-01-14 47-13 roll1471418 DIV; A 2025-06-11 114-32 roll1589689 DIV	2025-06-26		A00422	excluded:local	applies to one named locality; outside the campaign gate
S00817	1902683	Clarifies the scope of the occupancy tax in the village of Coxsackie.	2	2	S 2025-01-14 45-15 roll1471401 DIV; A 2025-06-11 115-31 roll1590199 DIV	2025-06-26		A00423	excluded:local	applies to one named locality; outside the campaign gate
S00818	1902734	Sets forth certain provisions for the sale of adult-use cannabis and adult-use cannabis products at cannabis showcase events; requires permittees to partner with cultivators in certain situations.	2	2	S 2025-02-12 43-16 roll1488658 DIV; A 2025-03-11 96-53 roll1515746 DIV	2025-03-20		A00418	dropped:filter-5	Cannabis showcase sales. No area carries an honest direction on cannabis sales rules (Ohio H.B. 116 precedent).
S00820	1902182	Amends a chapter of 2024 regulating short-term rentals; provides local option; provides for the collection of taxes.	2	2	S 2025-02-24 41-19 roll1497698 DIV; A 2025-02-25 115-32 roll1499842 DIV	2025-02-28		A05686	candidate:batch-03	passed the title screen, not yet read
S00824	1902406	Relates to the climate change adaptation cost recovery program and requirements for climate change adaptive infrastructure projects; relates to the use of funds from the climate change adaptation fund for certain project	2	2	S 2025-01-22 35-24 roll1473007 DIV; A 2025-02-24 97-48 roll1498543 DIV	2025-02-28		A01474	candidate:batch-03	Climate Change Superfund amendment. Judgeable, but it rewrites a 2024 act, so an honest description needs that act read alongside it; held for batch-02. Its Senate roll is also the one roll New York's feed cannot store (see CODE-FINDINGS).
S00847	1902276	Extends the additional one percent sales and compensating use taxes in the county of Wayne.	2	3	S 2025-05-27 51-8 roll1584973; A 2025-06-04 106-37 roll1585355 DIV; A 2025-06-04 106-37 roll1585356 DIV	2025-08-07		A04777	excluded:local	applies to one named locality; outside the campaign gate
S00952	1903495	Requires that the entire amount of a rental deposit or advance be refundable to the tenant upon the tenant's vacating of the premises except for an amount lawfully retained for non-payment of rent or utilities, damage ca	2	2	S 2025-04-29 38-23 roll1560492 DIV; A 2025-05-27 95-50 roll1579566 DIV	2025-10-16		A06423	batch-01	judged and imported in batch-01
S02551	1931588	Increases the fines imposed on a corporation for an offense defined within the penal law.	2	2	S 2025-03-25 42-20 roll1527071 DIV; A 2025-06-17 107-33 roll1592527 DIV	2025-10-16		A03858	batch-02	imported
S03001	1935006	Makes appropriations for the support of government - Legislature and Judiciary Budget.	2	2	S 2025-05-08 46-16 roll1568734 DIV; A 2025-05-08 117-32 roll1568875 DIV	2025-05-20		A03001	excluded:appropriations	budget or bonding measure; no area carries an honest direction on a spending bill
S03003	1935190	Makes appropriations for the support of government - Aid to Localities Budget.	2	2	S 2025-05-08 44-18 roll1568530 DIV; A 2025-05-08 104-45 roll1569005 DIV	2025-05-20		A03003	excluded:appropriations	budget or bonding measure; no area carries an honest direction on a spending bill
S03004	1934808	Makes appropriations for the support of government - Capital Projects Budget.	2	2	S 2025-05-08 45-17 roll1568779 DIV; A 2025-05-08 109-40 roll1568956 DIV	2025-05-20		A03004	excluded:appropriations	budget or bonding measure; no area carries an honest direction on a spending bill
S03006	1934701	Enacts into law major components of legislation necessary to implement the state education, labor, housing and family assistance budget for the 2025-2026 state fiscal year; relates to contracts for excellence; relates to	2	2	S 2025-05-08 44-18 roll1568764 DIV; A 2025-05-08 112-37 roll1568929 DIV	2025-05-09		A03006	excluded:appropriations	budget or bonding measure; no area carries an honest direction on a spending bill
S03007	1934835	Enacts into law major components of legislation necessary to implement the state health and mental hygiene budget for the 2025-2026 state fiscal year; requires the commissioner of health to provide a quarterly report on	2	2	A 2025-05-07 101-49 roll1568143 DIV; S 2025-05-07 42-20 roll1567942 DIV	2025-05-09		A03007	excluded:appropriations	budget or bonding measure; no area carries an honest direction on a spending bill
S03008	1935197	Enacts into law major components of legislation necessary to implement the state transportation, economic development and environmental conservation budget for the 2025-2026 state fiscal year; relates to the waterfront c	2	2	S 2025-05-07 40-22 roll1567627 DIV; A 2025-05-07 103-47 roll1568023 DIV	2025-05-09		A03008	excluded:appropriations	budget or bonding measure; no area carries an honest direction on a spending bill
S03072	1937896	Prohibits the use of consumer credit history in hiring, employment and licensing determinations.	2	2	S 2025-04-03 40-20 roll1536066 DIV; A 2025-05-28 98-46 roll1581084 DIV	2025-12-19		A01316	batch-01	judged and imported in batch-01
S03294	1940895	Relates to the medical use of cannabis; repeals controlled substances therapeutic research act.	2	3	S 2025-05-19 37-19 roll1573650 DIV; S 2025-06-11 39-20 roll1589349 DIV; A 2025-06-17 138-3 roll1592261	2025-11-21		A04759	candidate:batch-03	passed the title screen, not yet read
S04053	1950649	Extends the authority of the village of Highland Falls to impose an occupancy tax.	2	2	S 2025-05-27 44-15 roll1591451 DIV; A 2025-06-16 110-35 roll1592683 DIV	2025-08-07		A05451	excluded:local	applies to one named locality; outside the campaign gate
S04495	1956983	Extends the village of Goshen's authority to impose a hotel and motel tax of up to five percent for an additional two years.	2	2	S 2025-05-27 45-14 roll1592489 DIV; A 2025-06-17 107-27 roll1592490 DIV	2025-08-07		A07968	excluded:local	applies to one named locality; outside the campaign gate
S04887	1969202	Authorizes an occupancy tax in the county of Herkimer not to exceed 5%.	2	2	S 2026-05-28 47-13 roll1703556 DIV; A 2026-06-04 103-38 roll1706856 DIV	2026-08-21		A05577	excluded:local	applies to one named locality; outside the campaign gate
S04895	1970833	Extends the effectiveness of the occupancy tax in the village of Briarcliff Manor by two years.	2	2	S 2025-05-27 46-13 roll1580972 DIV; A 2025-05-29 109-37 roll1582062 DIV	2025-08-07		A05394	excluded:local	applies to one named locality; outside the campaign gate
S04914	1970875	Protects individuals who provide or receive legally protected health activity, including reproductive health care and gender-affirming care, from criminal or civil liability or professional sanctions imposed by jurisdict	2	2	S 2025-05-22 37-20 roll1575829 DIV; A 2025-06-16 94-50 roll1592223 DIV	2025-12-19		A05480	batch-02	imported
S06047	1991784	Permits the town of Monroe to impose a hotel and motel tax; provides for the repeal of such provisions upon the expiration thereof.	2	2	S 2026-05-28 47-13 roll1703591 DIV; A 2026-06-05 95-36 roll1706991 DIV	2026-08-21		A11115	excluded:local	applies to one named locality; outside the campaign gate
S06207	1993776	Authorizes the county of Jefferson to impose additional sales tax until November 30th, 2027.	2	3	S 2025-05-27 50-9 roll1592011; A 2025-06-17 107-27 roll1592524 DIV; A 2025-06-17 107-27 roll1592525 DIV	2025-08-07		A06688	excluded:local	applies to one named locality; outside the campaign gate
S06618	2009896	Authorizes the town of Montgomery to impose a hotel and motel tax; provides for the repeal of such provisions upon expiration thereof.	2	2	S 2025-06-13 47-12 roll1590882 DIV; A 2025-06-13 107-29 roll1591083 DIV	2025-10-16		A07913	excluded:local	applies to one named locality; outside the campaign gate
S07078	2017732	Authorizes the town of Patterson, in the county of Putnam, to impose a hotel and motel tax.	2	2	S 2025-06-12 46-13 roll1590429 DIV; A 2025-06-16 113-31 roll1592402 DIV	2025-10-16		A07854	excluded:local	applies to one named locality; outside the campaign gate
S07111	2018018	Permits political parties to designate or nominate candidates for positions to be filled by all the voters, and perform other functions without forming county committees.	2	2	S 2025-06-11 37-22 roll1589268 DIV; A 2025-06-17 82-49 roll1592478 DIV	2025-12-19		A07862	candidate:batch-03	passed the title screen, not yet read
S07416	2024115	Enacts provisions for the execution of electronic wills including attestation, revocation and filing.	2	2	S 2025-06-05 39-21 roll1585875 DIV; A 2025-06-17 94-41 roll1592514 DIV	2025-12-12		A07856	candidate:batch-03	passed the title screen, not yet read
S07492	2024964	Extends the authority of the village of Cold Spring to impose a hotel and motel tax through July 21, 2027.	2	2	S 2025-05-27 47-12 roll1581423 DIV; A 2025-05-29 108-36 roll1582160 DIV	2025-07-21		A08363	excluded:local	applies to one named locality; outside the campaign gate
S07692	2027392	Authorizes an occupancy tax of up to 5% in the village of Baldwinsville, county of Onondaga.	2	2	S 2025-06-12 44-15 roll1590439 DIV; A 2025-06-13 92-44 roll1591292 DIV	2025-10-16		A08329	excluded:local	applies to one named locality; outside the campaign gate
S07798	2029733	Makes technical changes to the aid to localities budget.	2	2	S 2025-05-08 46-16 roll1568781 DIV; A 2025-05-13 109-36 roll1571363 DIV	2025-05-23		A08283	excluded:appropriations	budget or bonding measure; no area carries an honest direction on a spending bill
S07820	2029868	Authorizes the town of Gardiner, in the county of Ulster, to impose a hotel and motel tax.	2	2	S 2026-05-28 48-12 roll1703067 DIV; A 2026-06-01 91-47 roll1705784 DIV	2026-08-21		A08273	excluded:local	applies to one named locality; outside the campaign gate
S07836	2029850	Authorizes the town of Highlands, Orange county, to impose a hotel and motel tax of up to five percent.	2	2	S 2025-06-12 45-14 roll1590403 DIV; A 2025-06-13 92-44 roll1591290 DIV	2025-10-16		A08347	excluded:local	applies to one named locality; outside the campaign gate
S07882	2030806	Prohibits a person or entity from knowingly or with reckless disregard facilitate an agreement between or among two or more residential rental property owners or managers to not compete with respect to residential rental	2	2	S 2025-06-09 40-22 roll1587039 DIV; A 2025-06-10 95-51 roll1588646 DIV	2025-10-16		A01417	batch-01	judged and imported in batch-01
S08012	2031696	Relates to additional considerations regarding the assessment of solar or wind energy systems through a discounted cash flow approach.	2	2	S 2025-06-10 43-15 roll1588195 DIV; A 2025-06-16 88-56 roll1592221 DIV	2025-12-03		A08332	candidate:batch-03	passed the title screen, not yet read
S08188	2032554	Authorizes the town of Rhinebeck, county of Dutchess, to establish hotel and motel taxes within such town; provides for the repeal of such provisions upon the expiration thereof.	2	2	S 2026-05-28 48-12 roll1703221 DIV; A 2026-05-29 82-47 roll1703916 DIV	2026-08-21		A08495	excluded:local	applies to one named locality; outside the campaign gate
S08269	2034073	Authorizes an occupancy tax in the town of Cheektowaga, county of Erie.	2	2	S 2025-06-12 46-13 roll1590320 DIV; A 2025-06-18 101-33 roll1592427 DIV	2025-10-16		A08776	excluded:local	applies to one named locality; outside the campaign gate
S08344	2035423	Extends provisions and makes technical corrections to school speed zones in NYC; repeals certain provisions relating thereto.	2	2	S 2025-06-13 38-21 roll1590679 DIV; A 2025-06-17 110-31 roll1592410 DIV	2025-06-30		A08787	excluded:extender	extends an existing authority or expiry date without changing policy
S08390	2036060	Extends certain provisions relating to payments under the COVID-19 emergency rental assistance program.	2	2	S 2025-06-11 43-16 roll1589318 DIV; A 2025-06-16 88-56 roll1592446 DIV	2025-09-26		A08702	excluded:extender	extends an existing authority or expiry date without changing policy
S08413	2036452	"Enacts the ""City of Dunkirk Revenue Anticipation Note Refinancing Act"" to authorize a loan to be made from the state to the city of Dunkirk (Part A); makes an appropriation therefor (Part B)."	2	2	S 2025-06-12 37-22 roll1590628 DIV; A 2025-06-17 88-47 roll1592403 DIV	2025-06-26		A08870	excluded:local	applies to one named locality; outside the campaign gate
S08415	2036489	Enacts into law components of legislation necessary to implement an omnibus bill related to correctional services in the state of New York; requires the timely disclosure of video footage related to the death of incarcer	2	2	A 2025-06-12 93-49 roll1590242 DIV; S 2025-06-12 36-23 roll1590640 DIV	2025-12-19		A08871	candidate:batch-03	passed the title screen, not yet read
S08416	2036423	"Enacts the ""fostering affordability and integrity through reasonable (FAIR) business practices act"", to expand the attorney general's ability to protect New Yorkers from unfair, deceptive and abusive business practices."	2	2	S 2025-06-13 37-22 roll1590432 DIV; A 2025-06-17 91-50 roll1592400 DIV	2025-12-19		A08427	batch-01	judged and imported in batch-01
S08417	2036460	Provides that in the case of any application for gas service to a building which is not supplied with gas, a utility corporation or municipality shall be obligated to provide gas service to such building.	2	2	S 2025-06-12 34-25 roll1590434 DIV; A 2025-06-16 83-62 roll1592323 DIV	2025-12-19		A08888	batch-01	judged and imported in batch-01
S08760	2068596	Requires the modification of restrictive covenants prior to the sale of real property when covenants, conditions and restrictions exist which discriminate on the basis of a protected class in violation of state or federa	2	2	A 2026-02-03 95-46 roll1623056 DIV; S 2026-02-03 46-14 roll1624224 DIV	2026-02-13		A09499	candidate:batch-03	passed the title screen, not yet read
S08789	2068750	Prohibits the use of consumer credit history in hiring, employment and licensing determinations.	2	2	S 2026-01-29 38-18 roll1620050 DIV; A 2026-02-03 97-44 roll1622755 DIV	2026-02-13		A09475	dropped	"a clean-up bill riding on a separate 2025 chapter whose text is not in the feed. It widens ""employer"" to include state and local government while deleting the high-public-trust limit, so any position subject to a state-agency background investigation becomes exempt, and its section 3 repeals a part of the 2025 chapter that cannot be read."
S08807	2068685	Specifies that professional liability insurance insurers cannot deny coverage or increase rates solely based on legal use or prescription of certain gender-affirming care-related drugs; prescribes procedures for warrants	2	2	S 2026-01-21 35-21 roll1615482 DIV; A 2026-03-31 93-52 roll1674872 DIV	2026-06-05		A09501	candidate:batch-03	passed the title screen, not yet read
S08811	2068500	Relates to the attorney general's ability to protect New Yorkers from unfair, deceptive and abusive business practices.	2	2	S 2026-01-28 37-22 roll1618980 DIV; A 2026-02-25 94-48 roll1645904 DIV	2026-03-27		A09444	dropped:twin	Chapter amendment to S 8416, which this batch imports.
S08812	2068463	Relates to the effectiveness of provisions of law relating to providing that in the case of any application for gas service to a building which is not supplied with gas, a utility corporation or municipality shall be obl	2	2	S 2026-02-05 34-25 roll1625965 DIV; A 2026-03-31 102-45 roll1674823 DIV	2026-04-10		A09462	candidate:batch-03	passed the title screen, not yet read
S08823	2068444	Extends DEC's authority to regulate management of crabs; authorizes the department of environmental conservation to take any actions necessary to ensure any quota limiting the taking of horseshoe crabs does not exceed ce	2	2	S 2026-01-13 45-14 roll1613606 DIV; A 2026-02-03 104-37 roll1623004 DIV	2026-02-13		A09437	excluded:extender	extends an existing authority or expiry date without changing policy
S08887	2072198	Enacts provisions for the execution of electronic wills including attestation, revocation, filing and storage; requires the chief administrator of the courts to adopt rules necessary and appropriate for electronic wills.	2	2	S 2026-01-28 39-20 roll1619663 DIV; A 2026-02-10 106-38 roll1630175 DIV	2026-02-13		A09497	candidate:batch-03	passed the title screen, not yet read
