session	bill	chamber	roll	date	yea	nay	chapter	is_final_vote_of_chamber	title	roll_desc	disposition
2157	HB0045	S	1491791	2025-02-18	22	9	10	True	Removing otters as protected animals.	3rd Reading:Passed 22-9-0-0-0	Dropped on filter 5. Removing a species from the protected list is wildlife policy, and no research area fits it. Environment and public health is about air, water, climate and community health.
2157	HB0062	S	1504059	2025-03-03	17	14	163	True	Prostitution amendments.	3rd Reading:Passed 17-14-0-0-0	batch-03: imported. The chamber's vote on the text that became law.
2157	HB0064	H	1477252	2025-01-30	48	13	126	False	Chemical abortions-ultrasound requirement.	3rd Reading:Passed 48-13-1-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	HB0064	H	1499839	2025-02-26	47	12	126	False	Chemical abortions-ultrasound requirement.	Concur:Passed 47-12-3-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	HB0064	H	1504299	2025-03-04	45	16	126	True	Chemical abortions-ultrasound requirement.	HB0064VT001 Amendment Reconsideration Motion Passed by Roll Call 45-16-1-0-0	batch-02: imported. The chamber's vote on the text that became law.
2157	HB0064	S	1498981	2025-02-25	24	7	126	False	Chemical abortions-ultrasound requirement.	3rd Reading:Passed 24-7-0-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	HB0064	S	1506086	2025-03-05	22	9	126	True	Chemical abortions-ultrasound requirement.	HB0064VT001 Veto Override 22-9-0-0-0	batch-02: imported. The chamber's vote on the text that became law.
2157	HB0075	S	1491770	2025-02-18	23	8	31	True	Coal severance tax rate.	3rd Reading:Passed 23-8-0-0-0	Dropped on filter 5. A change to the coal severance tax rate sets state revenue against the coal industry's costs. Under environment and public health and under government spending reduction the direction points opposite ways.
2157	HB0090	H	1487456	2025-02-12	43	17	109	False	Anthrax outbreak protocol.	3rd Reading:Passed 43-17-2-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	HB0094	H	1474243	2025-01-24	45	16	127	False	Charter school authorizations-amendments.	3rd Reading:Passed 45-16-1-0-0	Dropped on filter 5. Charter school expansion reads two ways under public education quality: wider choice against diverted funding and weaker accountability.
2157	HB0094	H	1504519	2025-03-04	44	15	127	True	Charter school authorizations-amendments.	HB0094VT001 Amendment Reconsideration Motion Passed by Roll Call 44-15-3-0-0	Dropped on filter 5. Charter school expansion reads two ways under public education quality: wider choice against diverted funding and weaker accountability.
2157	HB0094	S	1506250	2025-03-05	21	10	127	True	Charter school authorizations-amendments.	HB0094VT001 Veto Override 21-10-0-0-0	Dropped on filter 5. Charter school expansion reads two ways under public education quality: wider choice against diverted funding and weaker accountability.
2157	HB0116	H	1473778	2025-01-23	45	15	83	False	Driver's licenses-unauthorized alien restrictions.	3rd Reading:Passed 45-15-2-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	HB0116	S	1497435	2025-02-24	22	8	83	True	Driver's licenses-unauthorized alien restrictions.	3rd Reading:Passed 22-8-1-0-0	batch-01: imported. The chamber's vote on the text that became law.
2157	HB0117	H	1502833	2025-02-28	34	26	111	True	Omnibus water bill-construction.	Concur:Passed 34-26-2-0-0	batch-03: imported. The chamber's vote on the text that became law.
2157	HB0122	H	1475076	2025-01-27	44	17	105	True	Senior citizen service districts-authorization and renewal.	3rd Reading:Passed 44-17-1-0-0	Dropped on filter 3. Changing a special district levy renewal from two years to four is election timing, not a subject a voter would recognise as a policy choice.
2157	HB0136	S	1503522	2025-03-03	23	8	133	True	Volunteer first responder health insurance-revisions.	3rd Reading:Passed 23-8-0-0-0	batch-02: imported. The chamber's vote on the text that became law.
2157	HB0164	H	1478820	2025-02-03	42	15	164	False	Medical prescriptions-off-label purposes.	3rd Reading:Passed 42-15-5-0-0	Dropped on filter 5. Off-label prescribing is adjacent to the vaccine and treatment questions this campaign treats as an operator direction call rather than one to settle in a state batch. Raised for the operator.
2157	HB0164	S	1505253	2025-03-04	22	9	164	True	Medical prescriptions-off-label purposes.	3rd Reading:Passed 22-9-0-0-0	Dropped on filter 5. Off-label prescribing is adjacent to the vaccine and treatment questions this campaign treats as an operator direction call rather than one to settle in a state batch. Raised for the operator.
2157	HB0165	H	1487903	2025-02-12	47	13	154	True	Ranked choice voting-prohibition.	3rd Reading:Passed 47-13-2-0-0	Dropped on filter 5. A ban on ranked choice voting is a choice of voting method, which no research area gives a direction.
2157	HB0199	H	1476532	2025-01-29	39	21	107	False	Steamboat Legacy Scholarship Act.	3rd Reading:Passed 39-21-2-0-0	Dropped on filter 5. School-choice financing has been settled in this campaign as having no honest direction.
2157	HB0199	H	1495763	2025-02-20	14	41	107	False	Steamboat Legacy Scholarship Act.	Concur:Failed 14-41-7-0-0	Dropped on filter 5. School-choice financing has been settled in this campaign as having no honest direction.
2157	HB0199	H	1501515	2025-02-27	42	19	107	True	Steamboat Legacy Scholarship Act.	HB0199JC001 Adopted HB0199JC001: 42-19-1-0-0	Dropped on filter 5. School-choice financing has been settled in this campaign as having no honest direction.
2157	HB0199	S	1493279	2025-02-19	20	11	107	False	Steamboat Legacy Scholarship Act.	3rd Reading:Passed 20-11-0-0-0	Dropped on filter 5. School-choice financing has been settled in this campaign as having no honest direction.
2157	HB0199	S	1501902	2025-02-27	21	8	107	True	Steamboat Legacy Scholarship Act.	HB0199JC001 Adopted HB0199JC001: 21-8-2-0-0	Dropped on filter 5. School-choice financing has been settled in this campaign as having no honest direction.
2157	HB0246	H	1488373	2025-02-12	46	14	130	False	Wyoming Wednesday.	3rd Reading:Passed 46-14-2-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	HB0246	H	1502704	2025-02-28	17	40	130	False	Wyoming Wednesday.	Concur:Failed 17-40-5-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	HB0246	S	1502703	2025-02-28	22	9	130	False	Wyoming Wednesday.	3rd Reading:Passed 22-9-0-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	HB0259	S	1505444	2025-03-04	23	8	118	True	Supplemental K-12 school facilities appropriations-2.	3rd Reading:Passed 23-8-0-0-0	batch-02: imported. The chamber's vote on the text that became law.
2157	HB0318	H	1488229	2025-02-12	47	13	152	True	Maintenance of voter lists.	3rd Reading:Passed 47-13-2-0-0	Dropped on filter 5. Voter list maintenance reads two ways of comparable weight. Under election integrity, accurate rolls; under civil rights, the risk that a list match cancels an eligible voter. The standing rule sends who may vote to civil rights, and there the direction of a citizenship check is not clear either. Raised for the operator.
2157	SF0004	H	1498230	2025-02-24	40	20	54	True	State park peace officers-definition and scope of authority.	3rd Reading:Passed 40-20-2-0-0	batch-02: imported. The chamber's vote on the text that became law.
2157	SF0004	S	1472543	2025-01-21	21	8	54	True	State park peace officers-definition and scope of authority.	3rd Reading:Passed 21-8-2-0-0	batch-02: imported. The chamber's vote on the text that became law.
2157	SF0015	S	1472116	2025-01-17	23	7	17	True	Oil and gas conservation commission-regulation of pits.	3rd Reading:Passed 23-7-1-0-0	batch-03: imported. The chamber's vote on the text that became law.
2157	SF0016	S	1472166	2025-01-17	17	13	18	True	Industrial siting-tribal notification.	3rd Reading:Passed 17-13-1-0-0	batch-03: imported. The chamber's vote on the text that became law.
2157	SF0017	S	1476159	2025-01-29	22	9	137	False	Carbon dioxide-enhanced oil recovery stimulus.	3rd Reading:Passed 22-9-0-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	SF0017	S	1503355	2025-03-03	12	19	137	False	Carbon dioxide-enhanced oil recovery stimulus.	Concur:Failed 12-19-0-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	SF0022	H	1504465	2025-03-04	44	17	138	True	Ground for termination of parental rights-guardianship.	3rd Reading:Passed 44-17-1-0-0	Dropped on filter 5. Grounds for terminating parental rights weigh a child's safety against a parent's rights. No research area gives that a settled direction.
2157	SF0022	S	1485980	2025-02-11	19	11	138	False	Ground for termination of parental rights-guardianship.	3rd Reading:Passed 19-11-1-0-0	Dropped on filter 5. Grounds for terminating parental rights weigh a child's safety against a parent's rights. No research area gives that a settled direction.
2157	SF0022	S	1505211	2025-03-04	16	15	138	True	Ground for termination of parental rights-guardianship.	Concur:Passed 16-15-0-0-0	Dropped on filter 5. Grounds for terminating parental rights weigh a child's safety against a parent's rights. No research area gives that a settled direction.
2157	SF0023	S	1472313	2025-01-20	20	7	40	True	Handicap placards-health care providers' approval.	3rd Reading:Passed 20-7-4-0-0	Dropped on filter 3. The subject is which health care providers may approve a handicap placard, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	SF0032	H	1495013	2025-02-20	48	13	158	False	Unpaved roads speed limits-amendments.	3rd Reading:Passed 48-13-1-0-0	Dropped on filter 3. The subject is speed limits on unpaved roads, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	SF0032	H	1504895	2025-03-04	46	13	158	True	Unpaved roads speed limits-amendments.	SF0032JC002 Adopted SF0032JC002: 46-13-3-0-0	Dropped on filter 3. The subject is speed limits on unpaved roads, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	SF0032	S	1499882	2025-02-25	9	22	158	False	Unpaved roads speed limits-amendments.	SF0032JC001 Did Not Adopt SF0032JC001: 9-22-0-0-0	Dropped on filter 3. The subject is speed limits on unpaved roads, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	SF0032	S	1504181	2025-03-04	22	9	158	True	Unpaved roads speed limits-amendments.	SF0032JC002 Adopted SF0032JC002: 22-9-0-0-0	Dropped on filter 3. The subject is speed limits on unpaved roads, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	SF0034	H	1504265	2025-03-04	38	23	145	True	K-12 school facilities maintenance and appropriations.	3rd Reading:Passed 38-23-1-0-0	batch-02: imported. The chamber's vote on the text that became law.
2157	SF0034	S	1474378	2025-01-24	21	9	145	False	K-12 school facilities maintenance and appropriations.	3rd Reading:Passed 21-9-1-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	SF0034	S	1507367	2025-03-06	20	7	145	True	K-12 school facilities maintenance and appropriations.	Recede from Non-Concurrence Passed: 20-7-4-0-0	batch-02: imported. The chamber's vote on the text that became law.
2157	SF0042	H	1491845	2025-02-18	43	18	37	True	Resort hotel liquor licenses.	3rd Reading:Passed 43-18-1-0-0	Dropped on filter 3. The subject is resort hotel liquor licenses, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	SF0042	S	1492394	2025-02-18	20	8	37	True	Resort hotel liquor licenses.	Concur:Passed 20-8-1-0-2	Dropped on filter 3. The subject is resort hotel liquor licenses, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	SF0044	S	1505869	2025-03-05	23	8	144	True	Fairness in sports-intercollegiate athletics.	Concur:Passed 23-8-0-0-0	Dropped on filter 5. Under civil rights the direction reads two ways of comparable weight: supporters argue the act secures fair competition for female athletes, opponents argue it excludes a class from a public benefit. Raised for the operator.
2157	SF0046	H	1500449	2025-02-26	38	21	97	True	Water, irrigation and sewer districts-bid requirements.	3rd Reading:Passed 38-21-3-0-0	Dropped on filter 3. The subject is bid requirements for water, irrigation and sewer districts, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	SF0046	S	1475110	2025-01-27	19	12	97	False	Water, irrigation and sewer districts-bid requirements.	3rd Reading:Passed 19-12-0-0-0	Dropped on filter 3. The subject is bid requirements for water, irrigation and sewer districts, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	SF0048	S	1474010	2025-01-23	22	9	28	False	Business property exemption.	3rd Reading:Passed 22-9-0-0-0	Dropped on filter 5. A business personal property tax exemption sets business costs against local government revenue. Contested direction.
2157	SF0048	S	1496007	2025-02-20	20	11	28	True	Business property exemption.	Concur:Passed 20-11-0-0-0	Dropped on filter 5. A business personal property tax exemption sets business costs against local government revenue. Contested direction.
2157	SF0050	S	1472327	2025-01-20	20	7	113	True	Insurance holding company regulations-amendments.	3rd Reading:Passed 20-7-4-0-0	Dropped on filter 3. The subject is insurance holding company regulation, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	SF0051	S	1475725	2025-01-28	22	7	135	False	Wyoming telecommunications act revisions.	3rd Reading:Passed 22-7-2-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	SF0053	S	1473005	2025-01-22	16	14	167	True	Trademarks and trade names-administrative cancellation.	3rd Reading:Passed 16-14-1-0-0	Dropped on filter 3. The subject is administrative cancellation of trademarks, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	SF0069	H	1494204	2025-02-19	42	19	106	False	Homeowner property tax exemption.	3rd Reading:Passed 42-19-1-0-0	Dropped on filter 4. The text that became law was the conference committee report, and neither chamber's vote on that report is closely divided.
2157	SF0069	S	1479941	2025-02-04	23	8	106	False	Homeowner property tax exemption.	3rd Reading:Passed 23-8-0-0-0	Dropped on filter 4. The text that became law was the conference committee report, and neither chamber's vote on that report is closely divided.
2157	SF0070	S	1473078	2025-01-22	23	7	149	True	Investment modernization-state nonpermanent funds.	3rd Reading:Passed 23-7-1-0-0	Dropped on filter 5. How the state invests its non-permanent funds is a treasury management choice with no research area direction.
2157	SF0077	S	1493802	2025-02-19	14	17	62	False	Compelled speech is not free speech.	Concur:Failed 14-17-0-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	SF0081	S	1475067	2025-01-27	18	13	26	False	Tax exemption-property owned by the state.	3rd Reading:Passed 18-13-0-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	SF0086	H	1500553	2025-02-26	32	28	143	False	Alternative teaching certificate.	3rd Reading:Passed 32-28-2-0-0	Dropped on filter 5. An alternative teaching certificate reads two ways under public education quality: filling teacher shortages against lowering entry standards.
2157	SF0086	H	1503934	2025-03-03	37	23	143	True	Alternative teaching certificate.	SF0086JC001 Adopted SF0086JC001: 37-23-2-0-0	Dropped on filter 5. An alternative teaching certificate reads two ways under public education quality: filling teacher shortages against lowering entry standards.
2157	SF0096	H	1493518	2025-02-19	44	17	42	True	Wyoming Gold Act.	3rd Reading:Passed 44-17-1-0-0	Dropped on filter 5. Holding state reserves in gold fits no research area.
2157	SF0096	S	1493519	2025-02-19	23	8	42	True	Wyoming Gold Act.	Concur:Passed 23-8-0-0-0	Dropped on filter 5. Holding state reserves in gold fits no research area.
2157	SF0107	H	1504261	2025-03-04	39	21	170	True	Noncompete agreements prohibited.	3rd Reading:Passed 39-21-2-0-0	batch-01: imported. The chamber's vote on the text that became law.
2157	SF0121	S	1500253	2025-02-26	24	7	82	True	Rodeo license plate.	Concur:Passed 24-7-0-0-0	Dropped on filter 3. The subject is a rodeo license plate, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	SF0127	H	1507345	2025-03-06	48	13	128	True	Administrative rules-legislative review.	SF0127VT001 Amendment Reconsideration Motion Passed by Roll Call 48-13-1-0-0	Dropped on filter 5. Legislative review of agency rules reads two ways: elected oversight of the executive against slower and more political rulemaking.
2157	SF0127	S	1506705	2025-03-05	21	10	128	True	Administrative rules-legislative review.	SF0127VT001 Veto Override 21-10-0-0-0	Dropped on filter 5. Legislative review of agency rules reads two ways: elected oversight of the executive against slower and more political rulemaking.
2157	SF0132	H	1504899	2025-03-04	47	13	112	True	Protecting critical infrastructure and systems from drones.	SF0132VT001 Amendment Reconsideration Motion Passed by Roll Call 47-13-2-0-0	batch-02: imported. The chamber's vote on the text that became law.
2157	SF0132	S	1504898	2025-03-04	23	8	112	True	Protecting critical infrastructure and systems from drones.	SF0132VT001 Veto Override 23-8-0-0-0	batch-02: imported. The chamber's vote on the text that became law.
2157	SF0137	H	1499570	2025-02-25	41	20	70	True	School finance-cash reserves.	3rd Reading:Passed 41-20-1-0-0	Dropped on filter 5. Limits on school district cash reserves read two ways under public education quality: state control of idle money against a district's ability to save for its own needs.
2157	SF0137	S	1483133	2025-02-06	23	7	70	True	School finance-cash reserves.	3rd Reading:Passed 23-7-1-0-0	Dropped on filter 5. Limits on school district cash reserves read two ways under public education quality: state control of idle money against a district's ability to save for its own needs.
2157	SF0143	H	1497483	2025-02-24	46	14	58	True	Public monies-deposits in credit unions.	3rd Reading:Passed 46-14-2-0-0	Dropped on filter 3. The subject is depositing public money in credit unions, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	SF0143	S	1482359	2025-02-05	19	8	58	True	Public monies-deposits in credit unions.	3rd Reading:Passed 19-8-4-0-0	Dropped on filter 3. The subject is depositing public money in credit unions, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	SF0152	H	1500225	2025-02-26	46	14	129	True	Wildfire management-amendments.	3rd Reading:Passed 46-14-2-0-0	batch-01: imported. The chamber's vote on the text that became law.
2157	SF0152	S	1483278	2025-02-06	24	6	129	False	Wildfire management-amendments.	3rd Reading:Passed 24-6-1-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	SF0154	H	1500095	2025-02-26	36	23	78	True	Industrial, wind and solar projects-hearing deadline.	3rd Reading:Passed 36-23-3-0-0	Dropped on filter 5. A hearing deadline for wind and solar projects sets faster permitting against fuller review. Contested direction under environment and public health.
2157	SF0158	H	1503230	2025-03-03	40	20	117	True	Virtual credit cards and network leasing-dental services.	3rd Reading:Passed 40-20-2-0-0	Dropped on filter 3. The subject is virtual credit cards and network leasing in dental billing, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	SF0160	H	1504563	2025-03-04	38	22	160	True	Treatment courts-amendments-2.	3rd Reading:Passed 38-22-2-0-0	batch-02: imported. The chamber's vote on the text that became law.
2157	SF0168	H	1496121	2025-02-20	45	15	63	True	Budget reserve account-repeal.	3rd Reading:Passed 45-15-2-0-0	Dropped on filter 5. Repealing the budget reserve account is a change to fiscal structure, not to spending or taxes. No area gives it a direction.
2157	SF0169	H	1505240	2025-03-04	46	14	161	False	Strategic investments and projects account-repeal.	3rd Reading:Passed 46-14-2-0-0	Dropped on filter 5. Repealing the strategic investments and projects account is the same kind of fiscal restructuring as SF 168.
2157	SF0169	H	1507352	2025-03-06	38	15	161	True	Strategic investments and projects account-repeal.	SF0169JC002 Adopted SF0169JC002: 38-15-9-0-0	Dropped on filter 5. Repealing the strategic investments and projects account is the same kind of fiscal restructuring as SF 168.
2157	SF0169	S	1507351	2025-03-06	19	9	161	True	Strategic investments and projects account-repeal.	SF0169JC002 Adopted SF0169JC002: 19-9-3-0-0	Dropped on filter 5. Repealing the strategic investments and projects account is the same kind of fiscal restructuring as SF 168.
2213	HB0025	H	1640448	2026-02-21	36	25	31	True	Wyoming's tomorrow scholarship program amendments.	3rd Reading:Passed 36-25-1-0-0	batch-03: imported. The chamber's vote on the text that became law.
2213	HB0036	H	1647894	2026-02-27	24	32	84	False	Forestry division wildland fire modules.	Concur:Failed 24-32-6-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2213	HB0069	H	1640465	2026-02-21	34	27	97	False	Department of health-land transfers.	3rd Reading:Passed 34-27-1-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2213	HB0069	H	1653920	2026-03-04	20	39	97	False	Department of health-land transfers.	Concur:Failed 20-39-3-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2213	HB0069	S	1650535	2026-03-03	20	10	97	False	Department of health-land transfers.	3rd Reading:Passed 20-10-1-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2213	HB0078	H	1653498	2026-03-04	26	33	99	False	Forest health grant program.	Concur:Failed 26-33-3-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2213	HB0092	S	1655823	2026-03-05	18	13	96	True	Registered sex offenders prohibited from public office.	3rd Reading:Passed 18-13-0-0-0	Dropped on filter 5. Who may hold office is a rule about taking part in lawmaking, settled in this campaign as having no honest direction.
2213	HB0145	H	1641439	2026-02-23	46	12	92	False	Removing triple taxation for resident EV drivers.	3rd Reading:Passed 46-12-4-0-0	Dropped on filter 5. The title reads as a tax cut, but the act cuts the electric vehicle decal fee from $200 to $100 while adding a new tax of 3.5 cents per kilowatt hour at fast charging stations and a new $50 decal for plug-in hybrids. Under cost of living reduction the two halves point opposite ways and are of comparable weight.
2213	HB0145	S	1655306	2026-03-05	18	13	92	True	Removing triple taxation for resident EV drivers.	3rd Reading:Passed 18-13-0-0-0	Dropped on filter 5. The title reads as a tax cut, but the act cuts the electric vehicle decal fee from $200 to $100 while adding a new tax of 3.5 cents per kilowatt hour at fast charging stations and a new $50 decal for plug-in hybrids. Under cost of living reduction the two halves point opposite ways and are of comparable weight.
2213	SF0001	S	1640266	2026-02-20	20	10	44	False	General government appropriations.	3rd Reading:Passed 20-10-1-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2213	SF0004	H	1648998	2026-03-02	34	23	69	True	Medicaid rate increase-EMS services.	3rd Reading:Passed 34-23-5-0-0	batch-01: imported. The chamber's vote on the text that became law.
2213	SF0005	H	1644185	2026-02-25	38	21	13	True	Hospital bankruptcy proceedings.	3rd Reading:Passed 38-21-3-0-0	batch-03: imported. The chamber's vote on the text that became law.
2213	SF0008	S	1634007	2026-02-16	17	13	12	True	Absconding for criminal purposes-criminal offense.	3rd Reading:Passed 17-13-1-0-0	batch-03: imported. The chamber's vote on the text that became law.
2213	SF0013	S	1636810	2026-02-18	22	8	27	True	Wyoming national guard member referral-amendments.	3rd Reading:Passed 22-8-1-0-0	Dropped on filter 3. The subject is a Wyoming national guard member referral bonus, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2213	SF0020	H	1648095	2026-02-27	34	25	48	True	Data privacy-government entities.	3rd Reading:Passed 34-25-3-0-0	batch-01: imported. The chamber's vote on the text that became law.
2213	SF0021	H	1652666	2026-03-04	36	24	55	True	Wyoming stable token-amendments.	3rd Reading:Passed 36-24-2-0-0	Dropped on filter 3. The subject is the Wyoming stable token, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2213	SF0024	S	1632346	2026-02-12	22	9	8	True	Lottery tickets-acceptance of debit card payments.	3rd Reading:Passed 22-9-0-0-0	Dropped on filter 3. The subject is accepting debit cards for lottery tickets, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2213	SF0026	H	1650520	2026-03-03	34	27	49	True	Game and fish property tax exemption-amendments.	3rd Reading:Passed 34-27-1-0-0	Dropped on filter 3. The subject is a game and fish property tax exemption, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2213	SF0035	H	1653001	2026-03-04	40	20	56	True	School district-cell phone and smart watch policies.	3rd Reading:Passed 40-20-2-0-0	batch-01: imported. The chamber's vote on the text that became law.
2213	SF0054	H	1654768	2026-03-05	37	24	74	True	State banks and SPDI conversions.	3rd Reading:Passed 37-24-1-0-0	Dropped on filter 3. The subject is conversions between state banks and special purpose depository institutions, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2213	SF0055	H	1654328	2026-03-05	36	25	75	True	Special purpose depository institution-amendments.	3rd Reading:Passed 36-25-1-0-0	Dropped on filter 3. The subject is special purpose depository institution rules, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2213	SF0058	H	1652857	2026-03-04	40	20	57	True	Wyoming Indian Child Welfare Act sunset repeal.	3rd Reading:Passed 40-20-2-0-0	batch-03: imported. The chamber's vote on the text that became law.
