bill	type	chamber	date	roll	yea	nay	status	qclass	roll_number_in_history	disposition	desc	title
SB171	B	house	2022-03-29	1179024	76	24	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 734	Alabama Numeracy Act, established for K-5 public school students, Elementary Mathematics Task force and Postsecondary Mathematics Task Forces created,
SB184	B	senate	2022-02-23	1152379	24	6	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 383	Public health, minors, biological male or female, sexual state, practices to alter or affirm minor's sexual identity or perception such as prescribing
SB184	B	house	2022-04-07	1185249	66	28	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 957	Public health, minors, biological male or female, sexual state, practices to alter or affirm minor's sexual identity or perception such as prescribing
SB2	B	house	2022-04-07	1185166	68	28	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 961	Firearms, President of the U.S., executive orders limiting firearms, local government officials or agents, enforcement by prohibited, Alabama Second A
SB200	B	senate	2022-02-22	1150254	20	12	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 368	Literacy Act, reading proficiency, third grade retention requirement postponed until 2023-2024 school year, additional duties to State Superintendent 
SB224	B	house	2022-04-06	1184501	76	24	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 935	Unemployment compensation, individual required to search for work a certain number of times per week to be eligible to receive benefits, Sec. 25-4-77 
SB255	B	house	2022-04-07	1185525	40	53	2	passage	yes	batch-02	Motion to Read a Third Time and Pass Roll Call 996	State Health Officer, order issued in response to outbreak of a disease has full force of law if approved by Governor and filed with Secretary of Stat
SB26	B	senate	2022-02-10	1140220	13	13	1	passage	yes	batch-02	Motion to Read a Third Time and Pass Roll Call 196	Drug trafficking, wiretapping by ALEA, interception of wire, oral, or electronic communications, Attorney General authorized to apply for court order 
SB281	B	house	2022-04-07	1185928	37	33	2	passage	yes	dropped: narrow boating rule, no research area	Motion to Read a Third Time and Pass Roll Call 1011	Navigation, operation of vessels, wake boarding and wake surfing restrictions and requirements, provided, criminal penalty for violation, provided
SB301	B	senate	2022-03-31	1180925	16	6	2	passage	yes	batch-02	Motion to Read a Third Time and Pass Roll Call 894	Firearms, sentencing requirements established, certain offenders excluded from being eligible for certain correctional programs, Sec. 13A-11-72.2 adde
SB313	B	house	2022-04-07	1185980	73	26	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 989	Educational institutions, including colleges and universities, local boards of education, and schools, prohibited from using public funds to advocate 
SB38	B	house	2022-04-07	1185519	46	36	2	passage	yes	batch-02	Motion to Read a Third Time and Pass Roll Call 966	State Auditor, Office abolished, duties and responsibilities transferred to State Treasurer, const. amend.
SB51	B	senate	2022-03-01	1158840	10	16	1	passage	yes	batch-02	Motion to Read a Third Time and Pass Roll Call 454	Education, K-12, mental health service coordinator for each school system, subject to Legislative appropriation, Dept. of Mental Health and State Depa
SB79	B	senate	2022-02-16	1146018	24	8	2	passage	yes	batch-02	Motion to Read a Third Time and Pass Roll Call 312	Education, K-12, procedural due process protection for suspensions and expulsions provided, findings, hearing officers, Sec. 16-1-14 am'd.
