bill	status	chamber	roll	stored_roll	date	tally	passed	in_db	kept	last_in_chamber	vote_no	desc	subjects	title	disposition	reason
AB282	vetoed	house	1554310	1554310	2025-04-22	26-16	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to billing for health care. (BDR 40-785)	batch-06	healthcare_affordability/for
AB282	vetoed	senate	1583650	1583650	2025-06-02	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to billing for health care. (BDR 40-785)	batch-06	healthcare_affordability/for
AB283	vetoed	house	1553745	1553745	2025-04-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions governing certain actions and proceedings relating to real property. (B	batch-05	housing_affordability/for
AB283	vetoed	senate	1576817	1576817	2025-05-22	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions governing certain actions and proceedings relating to real property. (B	batch-05	housing_affordability/for
AB291	failed	house	1553102	1553102	2025-04-21	26-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to records of criminal history. (BDR 14-676)		
AB303	failed	house	1554411	1554411	2025-04-21	27-14	1	yes	t	yes		Assembly Final Passage		Revises provisions governing public works. (BDR 28-866)		
AB306	vetoed	house	1551571	1551571	2025-04-17	28-14	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to elections. (BDR 24-569)		
AB306	vetoed	senate	1569423	1569423	2025-05-12	12-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to elections. (BDR 24-569)		
AB320	vetoed	senate	1583688	1583688	2025-06-02	14-7	1	yes	t	yes		Senate Final Passage		Revises provisions related to the administration of justice. (BDR 1-810)		
AB328	vetoed	house	1582353	1582353	2025-05-30	27-15	1	yes	t	yes		Assembly Final Passage		Creates certain commissions and subcommittees for the purpose of educating the general pub		
AB328	vetoed	senate	1584088	1584088	2025-06-02	13-7	1	yes	t	yes		Senate Final Passage		Creates certain commissions and subcommittees for the purpose of educating the general pub		
AB346	failed	house	1551721	1551721	2025-04-17	23-19	1	yes	t	yes		Assembly Final Passage		Establishes provisions governing the prescribing, dispensing and administering of medicati		
AB388	vetoed	house	1581092	1581092	2025-05-29	26-16	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to employment. (BDR 23-1027)	dropped	filter 5, reads two ways: raises paid family leave to 12 weeks at full or 60 percent wages, but section 14 repeals NRS 608.0198, which covers employers of ANY size, and replaces its leave for victims of domestic violence or sexual assault with a right that reaches only employers with 50 or more workers
AB388	vetoed	senate	1583611	1583611	2025-06-02	11-9	1	yes	t	yes		Senate Final Passage		Revises provisions relating to employment. (BDR 23-1027)	dropped	filter 5, reads two ways: raises paid family leave to 12 weeks at full or 60 percent wages, but section 14 repeals NRS 608.0198, which covers employers of ANY size, and replaces its leave for victims of domestic violence or sexual assault with a right that reaches only employers with 50 or more workers
AB402	failed	house	1582332	1582332	2025-05-30	27-15	1	yes	t	yes		Assembly Final Passage		Creates a pilot program authorizing the installation and use of automated traffic enforcem		
AB411	vetoed	house	1554912	1554912	2025-04-21	26-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to prescription drugs. (BDR 54-1100)	batch-06	womens_reproductive_rights/for
AB411	vetoed	senate	1575497	1575497	2025-05-21	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to prescription drugs. (BDR 54-1100)	batch-06	womens_reproductive_rights/for
AB414	vetoed	house	1581341	1581341	2025-05-29	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to occupational safety and health. (BDR 53-666)	batch-06	environment_and_public_health/for
AB414	vetoed	senate	1583621	1583621	2025-06-02	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to occupational safety and health. (BDR 53-666)	batch-06	environment_and_public_health/for
AB416	vetoed	house	1575366	1575366	2025-05-21	29-13	1	yes	t	yes		Assembly Final Passage		Revises provisions concerning access to certain library materials. (BDR 34-925)	batch-04	civil_rights/for
AB416	vetoed	senate	1583686	1583686	2025-06-02	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions concerning access to certain library materials. (BDR 34-925)	batch-04	civil_rights/for
AB434	vetoed	house	1554516	1554516	2025-04-22	27-15	1	yes	t	yes		Assembly Final Passage		Prohibits certain employment practices. (BDR 53-188)		
AB434	vetoed	senate	1576604	1576604	2025-05-22	13-8	1	yes	t	yes		Senate Final Passage		Prohibits certain employment practices. (BDR 53-188)		
AB44	vetoed	house	1553750	1553750	2025-04-22	24-18	1	yes	t	yes		Assembly Final Passage		Prohibits manipulating the price of an essential good or service in this State. (BDR 52-50	batch-04	corporate_accountability/for
AB44	vetoed	senate	1576924	1576924	2025-05-22	13-8	1	yes	t	no		Senate Final Passage		Prohibits manipulating the price of an essential good or service in this State. (BDR 52-50	batch-04	corporate_accountability/for
AB44	vetoed	senate	1576925	1576925	2025-05-22	14-7	1	yes	t	no		Senate Final Passage		Prohibits manipulating the price of an essential good or service in this State. (BDR 52-50	superseded	superseded: first Senate vote on AB 44; passage reconsidered and retaken as roll 1576924 (13-8)
AB441	vetoed	house	1554399	1554399	2025-04-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions governing the Nevada Educational Choice Scholarship Program. (BDR 32-6)		
AB441	vetoed	senate	1576662	1576662	2025-05-22	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions governing the Nevada Educational Choice Scholarship Program. (BDR 32-6)		
AB445	vetoed	house	1552732	1552732	2025-04-21	32-9	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to libraries. (BDR 34-1071)	batch-04	civil_rights/for
AB445	vetoed	senate	1576634	1576634	2025-05-22	14-7	1	yes	t	yes		Senate Final Passage		Revises provisions relating to libraries. (BDR 34-1071)	batch-04	civil_rights/for
AB464	failed	house	1554781	1554781	2025-04-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions governing education. (BDR 34-235)		
AB480	vetoed	house	1554734	1554734	2025-04-22	30-12	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to discrimination in housing. (BDR 10-1101)	batch-04	civil_rights/for
AB480	vetoed	senate	1575651	1575651	2025-05-21	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to discrimination in housing. (BDR 10-1101)	batch-04	civil_rights/for
AB487	failed	house	1552805	1552805	2025-04-21	32-9	1	yes	t	yes		Assembly Final Passage		Directs the Joint Interim Standing Committee on Natural Resources to conduct a study durin		
AB488	vetoed	house	1554018	1554018	2025-04-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to criminal convictions of certain victims. (BDR 14-873)		
AB488	vetoed	senate	1576931	1576931	2025-05-23	14-7	1	yes	t	yes		Senate Final Passage		Revises provisions relating to criminal convictions of certain victims. (BDR 14-873)		
AB489	failed	house	1553163	1553163	2025-04-21	25-16	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to civil actions. (BDR 3-1141)		
AB490	vetoed	house	1553156	1553156	2025-04-21	26-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to the venue for certain proceedings. (BDR 24-870)		
AB490	vetoed	senate	1575643	1575643	2025-05-21	14-7	1	yes	t	yes		Senate Final Passage		Revises provisions relating to the venue for certain proceedings. (BDR 24-870)		
AB496	vetoed	house	1552619	1552619	2025-04-21	26-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to elections. (BDR 24-997)		
AB496	vetoed	senate	1576711	1576711	2025-05-22	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to elections. (BDR 24-997)		
AB499	vetoed	house	1553927	1553927	2025-04-22	30-12	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to elections. (BDR 24-998)		
AB499	vetoed	senate	1583874	1583874	2025-06-02	16-5	1	yes	t	yes		Senate Final Passage		Revises provisions relating to elections. (BDR 24-998)		
AB500	failed	house	1582276	1582276	2025-05-30	25-17	1	yes	t	no		Assembly Final Passage		Provides for the licensure and regulation of payments banks. (BDR 55-999)		
AB500	failed	house	1583006	1583006	2025-06-01	20-22	0	yes	t	yes		Assembly Final Passage		Provides for the licensure and regulation of payments banks. (BDR 55-999)		
AB534	vetoed	house	1582510	1582510	2025-05-31	25-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to elections. (BDR 24-975)		
AB534	vetoed	senate	1583674	1583674	2025-06-02	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to elections. (BDR 24-975)		
AB585	vetoed	house	1582899	1582899	2025-05-31	23-16	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to bill draft requests. (BDR 17-1137)		
AB588	vetoed	house	1578333	1578333	2025-05-26	28-13	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to members of the Assembly of the Nevada Legislature. (BDR 17-		
AB588	vetoed	senate	1580672	1580672	2025-05-28	11-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to members of the Assembly of the Nevada Legislature. (BDR 17-		
AB589	vetoed	house	1578347	1578347	2025-05-26	27-14	1	yes	t	yes		Assembly Final Passage		Establishes requirements to protect the privacy of certain information and genetic materia		
AB589	vetoed	senate	1581651	1581651	2025-05-29	13-7	1	yes	t	yes		Senate Final Passage		Establishes requirements to protect the privacy of certain information and genetic materia		
AB597	vetoed	house	1582251	1582251	2025-05-30	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to elections. (BDR 24-1245)		
AB597	vetoed	senate	1583696	1583696	2025-06-02	12-9	1	yes	t	yes		Senate Final Passage		Revises provisions relating to elections. (BDR 24-1245)		
AB79	vetoed	house	1553914	1553914	2025-04-22	28-14	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to governmental administration. (BDR 24-483)		
AB79	vetoed	senate	1577041	1577041	2025-05-23	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to governmental administration. (BDR 24-483)		
AB81	failed	house	1551367	1551367	2025-04-17	27-15	1	yes	t	yes		Assembly Final Passage		Exempts the State of Nevada from provisions of federal law relating to daylight saving tim		
AB82	vetoed	house	1551528	1551528	2025-04-17	33-9	1	yes	t	yes		Assembly Final Passage		Requires the Governor to proclaim certain days of observance. (BDR 19-60)		
AB82	vetoed	senate	1575690	1575690	2025-05-21	15-6	1	yes	t	yes		Senate Final Passage		Requires the Governor to proclaim certain days of observance. (BDR 19-60)		
AB83	vetoed	house	1551429	1551429	2025-04-17	28-14	1	yes	t	yes		Assembly Final Passage		Designates Larry Itliong Day as a day of observance in this State. (BDR 19-99)		
AB83	vetoed	senate	1575525	1575525	2025-05-21	15-6	1	yes	t	yes		Senate Final Passage		Designates Larry Itliong Day as a day of observance in this State. (BDR 19-99)		
AB88	vetoed	house	1553922	1553922	2025-04-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to juvenile justice. (BDR 5-495)		
AB88	vetoed	senate	1576044	1576044	2025-05-22	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to juvenile justice. (BDR 5-495)		
AB91	failed	house	1581090	1581090	2025-05-29	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to parole. (BDR 16-500)		
AB98	vetoed	house	1548559	1548559	2025-04-15	27-15	1	yes	t	yes		Assembly Final Passage		Creates a day of observance for labor leader, Dolores Huerta. (BDR 19-642)		
SB100	vetoed	house	1575893	1575893	2025-05-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to elections. (BDR 24-197)		
SB100	vetoed	senate	1553787	1553787	2025-04-22	14-7	1	yes	t	yes		Senate Final Passage		Revises provisions relating to elections. (BDR 24-197)		
SB101	failed	senate	1550122	1550122	2025-04-16	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to wildlife. (BDR 45-555)		
SB102	vetoed	house	1575920	1575920	2025-05-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to elections. (BDR 24-90)		
SB102	vetoed	senate	1548312	1548312	2025-04-15	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to elections. (BDR 24-90)		
SB121	vetoed	house	1576014	1576014	2025-05-22	29-13	1	yes	t	yes		Assembly Final Passage		Revises provisions governing common-interest communities. (BDR 10-80)		
SB128	vetoed	house	1583017	1583017	2025-05-31	23-16	1	yes	t	yes		Assembly Final Passage		Makes changes related to health care. (BDR 57-87)	batch-06	healthcare_affordability/for
SB128	vetoed	senate	1553538	1553538	2025-04-22	15-6	1	yes	t	yes		Senate Final Passage		Makes changes related to health care. (BDR 57-87)	batch-06	healthcare_affordability/for
SB141	vetoed	senate	1550566	1550566	2025-04-16	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to local facilities for detention. (BDR 16-241)		
SB142	vetoed	house	1576706	1576706	2025-05-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions governing property that is exempt from execution. (BDR 2-707)	dropped	filter 5, reads two ways: cuts the share of wages a creditor may take from 18 or 25 percent to 10 or 15 percent and raises the flat bank-account protection from $400 to $5,000, but deletes the old $2,000 protection for an account holding federal benefits and makes the new $5,000 unavailable against an order for the support of any person, so a person living on federal benefits who faces a support order loses an existing protection entirely
SB142	vetoed	senate	1549333	1549333	2025-04-15	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions governing property that is exempt from execution. (BDR 2-707)	dropped	filter 5, reads two ways: cuts the share of wages a creditor may take from 18 or 25 percent to 10 or 15 percent and raises the flat bank-account protection from $400 to $5,000, but deletes the old $2,000 protection for an account holding federal benefits and makes the new $5,000 unavailable against an order for the support of any person, so a person living on federal benefits who faces a support order loses an existing protection entirely
SB155	vetoed	house	1575936	1575936	2025-05-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions governing peace officers. (BDR 23-326)		
SB155	vetoed	senate	1552223	1552223	2025-04-18	13-7	1	yes	t	yes		Senate Final Passage		Revises provisions governing peace officers. (BDR 23-326)		
SB156	vetoed	house	1582786	1582786	2025-05-31	25-14	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to the prevention of gun violence. (BDR 18-958)		
SB156	vetoed	senate	1580564	1580564	2025-05-28	11-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to the prevention of gun violence. (BDR 18-958)		
SB160	vetoed	house	1580722	1580722	2025-05-28	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to the Nevada Equal Rights Commission. (BDR 18-82)		
SB160	vetoed	senate	1576625	1576625	2025-05-22	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to the Nevada Equal Rights Commission. (BDR 18-82)		
SB171	vetoed	house	1576494	1576494	2025-05-22	27-15	1	yes	t	yes		Assembly Final Passage		Enacts a shield law to protect the transgender community. (BDR 54-12)	batch-04	civil_rights/for
SB171	vetoed	senate	1553489	1553489	2025-04-22	13-8	1	yes	t	yes		Senate Final Passage		Enacts a shield law to protect the transgender community. (BDR 54-12)	batch-04	civil_rights/for
SB172	failed	senate	1578362	1578362	2025-05-26	13-7	1	yes	t	yes		Senate Final Passage		Prescribes certain rights for agricultural workers. (BDR 53-959)		
SB173	failed	house	1583676	1583676	2025-06-02	27-15	1	yes	t	yes		Assembly Final Passage		Establishes provisions relating to the environment. (BDR 52-585)	batch-06	environment_and_public_health/for
SB173	failed	senate	1578609	1578609	2025-05-26	13-7	1	yes	t	yes		Senate Final Passage		Establishes provisions relating to the environment. (BDR 52-585)	batch-06	environment_and_public_health/for
SB180	failed	senate	1553510	1553510	2025-04-22	11-10	1	yes	t	yes		Senate Final Passage		Revises provisions relating to motor carriers. (BDR 58-963)		
SB182	vetoed	house	1583193	1583193	2025-06-02	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to the staffing of health care facilities. (BDR 40-33)	batch-06	environment_and_public_health/for
SB182	vetoed	senate	1576758	1576758	2025-05-22	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to the staffing of health care facilities. (BDR 40-33)	batch-06	environment_and_public_health/for
SB192	failed	house	1582766	1582766	2025-05-31	23-16	1	yes	t	no		Assembly Final Passage		Revises provisions relating to public health. (BDR 40-86)		
SB192	failed	house	1583630	1583630	2025-06-02	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to public health. (BDR 40-86)		
SB192	failed	senate	1578490	1578490	2025-05-26	13-7	1	yes	t	yes		Senate Final Passage		Revises provisions relating to public health. (BDR 40-86)		
SB193	failed	senate	1580575	1580575	2025-05-28	14-5	1	yes	t	yes		Senate Final Passage		Establishes a pilot program to reduce interest rates on mortgage loans to certain eligible	batch-05	housing_affordability/for
SB198	vetoed	house	1576005	1576005	2025-05-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises requirements relating to payment of wages and compensation to certain employees. (		
SB198	vetoed	senate	1554373	1554373	2025-04-22	13-8	1	yes	t	yes		Senate Final Passage		Revises requirements relating to payment of wages and compensation to certain employees. (		
SB217	vetoed	house	1583891	1583891	2025-06-02	27-15	1	yes	t	yes		Assembly Final Passage		Makes revisions relating to reproductive health care. (BDR 40-24)	batch-04	womens_reproductive_rights/for
SB217	vetoed	senate	1578514	1578514	2025-05-26	15-5	1	yes	t	yes		Senate Final Passage		Makes revisions relating to reproductive health care. (BDR 40-24)	batch-04	womens_reproductive_rights/for
SB218	failed	senate	1554750	1554750	2025-04-22	13-8	1	yes	t	yes		Senate Final Passage		Enacts the Uniform Antitrust Pre-Merger Notification Act. (BDR 52-938)		
SB287	failed	senate	1552348	1552348	2025-04-18	13-7	1	yes	t	yes		Senate Final Passage		Revises provisions relating to public works. (BDR 28-949)		
SB294	failed	senate	1554136	1554136	2025-04-22	15-6	1	yes	t	yes		Senate Final Passage		Revises provisions relating to physician assistants. (BDR 54-965)		
SB297	vetoed	house	1575992	1575992	2025-05-22	29-13	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to periods of observance. (BDR 19-803)		
SB301	vetoed	house	1576208	1576208	2025-05-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to public employees. (BDR 23-1024)		
SB301	vetoed	senate	1550210	1550210	2025-04-16	15-6	1	yes	t	yes		Senate Final Passage		Revises provisions relating to public employees. (BDR 23-1024)		
SB303	vetoed	senate	1553096	1553096	2025-04-21	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to civil liability to persons using certain premises for recre		
SB31	failed	senate	1548695	1548695	2025-04-15	15-6	1	yes	t	yes		Senate Final Passage		Revises provisions relating to the adjudication of vested water rights. (BDR 48-260)		
SB318	failed	senate	1581911	1581911	2025-05-29	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to charter schools. (BDR 34-89)		
SB324	failed	senate	1552221	1552221	2025-04-18	16-4	1	yes	t	yes		Senate Final Passage		Establishes prohibitions relating to the sale of water in certain disposable plastic bottl	batch-06	environment_and_public_health/for
SB327	vetoed	house	1576613	1576613	2025-05-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to contractors. (BDR 54-1025)		
SB334	vetoed	house	1576729	1576729	2025-05-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to the employment of offenders. (BDR 16-1115)		
SB334	vetoed	senate	1554176	1554176	2025-04-22	14-7	1	yes	t	yes		Senate Final Passage		Revises provisions relating to the employment of offenders. (BDR 16-1115)		
SB340	failed	senate	1554701	1554701	2025-04-22	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to governmental administration. (BDR 18-1008)		
SB350	vetoed	house	1576428	1576428	2025-05-22	28-14	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to the death penalty. (BDR 14-1110)		
SB350	vetoed	senate	1552803	1552803	2025-04-21	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to the death penalty. (BDR 14-1110)		
SB352	vetoed	house	1568169	1568169	2025-05-08	26-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to health care. (BDR 57-712)	batch-06	civil_rights/for
SB378	vetoed	house	1583246	1583246	2025-06-02	27-15	1	yes	t	yes		Assembly Final Passage		Makes revisions relating to health care. (BDR 40-705)		
SB378	vetoed	senate	1579502	1579502	2025-05-27	12-8	1	yes	t	yes		Senate Final Passage		Makes revisions relating to health care. (BDR 40-705)		
SB391	failed	senate	1578859	1578859	2025-05-27	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to real property. (BDR 10-84)	batch-05	housing_affordability/for
SB393	failed	house	1584048	1584048	2025-06-02	26-15	1	yes	t	yes		Assembly Final Passage		Revises the Windsor Park Environmental Justice Act. (BDR S-701)		
SB393	failed	senate	1579509	1579509	2025-05-27	15-5	1	yes	t	yes		Senate Final Passage		Revises the Windsor Park Environmental Justice Act. (BDR S-701)		
SB395	failed	senate	1550626	1550626	2025-04-16	14-7	1	yes	t	yes		Senate Final Passage		Revises provisions relating to autonomous vehicles. (BDR 43-61)		
SB410	vetoed	senate	1556367	1556367	2025-04-22	15-6	1	yes	t	yes		Senate Final Passage		Revises provisions relating to public employees. (BDR 23-562)		
