bill	bill_id	chamber	roll_call_id	date	tally	rolls_in_chamber	engrossed_texts	status	chapter	question_from_history	title	description	disposition	reason
H0502	2086923	house	1626662	2026-02-09	66-1	1	0	4	8	Read Third Time in Full -- PASSED 66-1-3	Amends existing law to revise provisions regarding the Idaho Forest Products Commission.	IDAHO FOREST PRODUCTS COMMISSION -- Amends existing law to revise provisions regarding the Idaho Forest Products Commission.	out-of-gate:not-divided	
H0502	2086923	senate	1643342	2026-02-24	35-0	1	0	4	8	Read third time in full -- PASSED 35-0-0	Amends existing law to revise provisions regarding the Idaho Forest Products Commission.	IDAHO FOREST PRODUCTS COMMISSION -- Amends existing law to revise provisions regarding the Idaho Forest Products Commission.	out-of-gate:not-divided	
H0503	2086608	house	1639968	2026-02-20	67-0	1	0	4	58	Read Third Time in Full -- PASSED 67-0-3	Amends existing law to provide that the commission be established in the Idaho Department of Water Resources.	SOIL AND WATER CONSERVATION COMMISSION -- Amends existing law to provide that the commission be established in the Idaho Department of Water Resources.	out-of-gate:not-divided	
H0503	2086608	senate	1663447	2026-03-16	35-0	1	0	4	58	Read third time in full -- PASSED 35-0-0	Amends existing law to provide that the commission be established in the Idaho Department of Water Resources.	SOIL AND WATER CONSERVATION COMMISSION -- Amends existing law to provide that the commission be established in the Idaho Department of Water Resources.	out-of-gate:not-divided	
H0504	2086724	house	1624272	2026-02-04	62-6	1	0	4	6	Read Third Time in Full -- PASSED 62-6-2	Amends and adds to existing law to prohibit bulk lottery ticket purchases.	IDAHO STATE LOTTERY -- Amends and adds to existing law to prohibit bulk lottery ticket purchases.	out-of-gate:not-divided	
H0504	2086724	senate	1640946	2026-02-23	30-4	1	0	4	6	Read third time in full -- PASSED 30-4-1	Amends and adds to existing law to prohibit bulk lottery ticket purchases.	IDAHO STATE LOTTERY -- Amends and adds to existing law to prohibit bulk lottery ticket purchases.	out-of-gate:not-divided	
H0507	2088749	house	1655614	2026-03-05	67-0	1	0	4	166	Read Third Time in Full -- PASSED 67-0-3	Amends existing law to revise terminology and to revise provisions regarding restraint and nonjudicial punishment in the Model State Code of Military Justice.	MILITIA AND MILITARY AFFAIRS -- Amends existing law to revise terminology and to revise provisions regarding restraint and nonjudicial punishment in the Model State Code of Military Justice.	out-of-gate:not-divided	
H0507	2088749	senate	1667593	2026-03-23	32-0	1	0	4	166	Read third time in full -- PASSED 32-0-3	Amends existing law to revise terminology and to revise provisions regarding restraint and nonjudicial punishment in the Model State Code of Military Justice.	MILITIA AND MILITARY AFFAIRS -- Amends existing law to revise terminology and to revise provisions regarding restraint and nonjudicial punishment in the Model State Code of Military Justice.	out-of-gate:not-divided	
H0508	2088568	house	1664924	2026-03-17	39-29	1	0	4	299		Amends and adds to existing law to revise provisions regarding bicycle and pedestrian projects.	TRANSPORTATION -- Amends and adds to existing law to revise provisions regarding bicycle and pedestrian projects.	batched:batch-05	imported in batch-05
H0508	2088568	senate	1674240	2026-03-31	19-16	1	0	4	299	Read third time in full -- PASSED 19-16-0	Amends and adds to existing law to revise provisions regarding bicycle and pedestrian projects.	TRANSPORTATION -- Amends and adds to existing law to revise provisions regarding bicycle and pedestrian projects.	batched:batch-05	imported in batch-05
H0511	2090526	house	1624305	2026-02-04	46-22	1	0	4	27	Read Third Time in Full -- PASSED 46-22-2	Amends existing law to revise the surcharge associated with improved forest land.	PRIVATE FOREST LAND -- Amends existing law to revise the surcharge associated with improved forest land.	dropped:selection	improved forest land surcharge, not a subject a voter would recognize
H0511	2090526	senate	1658884	2026-03-10	26-9	1	0	4	27	Read third time in full -- PASSED 26-9-0	Amends existing law to revise the surcharge associated with improved forest land.	PRIVATE FOREST LAND -- Amends existing law to revise the surcharge associated with improved forest land.	dropped:selection	improved forest land surcharge, not a subject a voter would recognize
H0512	2090424	house	1626305	2026-02-09	67-0	1	0	4	18	Read Third Time in Full -- PASSED 67-0-3	Amends existing law to provide for the Idaho Board of Licensure of Professional Engineers and Professional Land Surveyors to determine and administer an appropr	ENGINEERS AND SURVEYORS -- Amends existing law to provide for the Idaho Board of Licensure of Professional Engineers and Professional Land Surveyors to determine and administer an appropriate open book jurisprudence exam	out-of-gate:not-divided	
H0512	2090424	senate	1656401	2026-03-06	31-0	1	0	4	18	Read third time in full -- PASSED 31-0-4	Amends existing law to provide for the Idaho Board of Licensure of Professional Engineers and Professional Land Surveyors to determine and administer an appropr	ENGINEERS AND SURVEYORS -- Amends existing law to provide for the Idaho Board of Licensure of Professional Engineers and Professional Land Surveyors to determine and administer an appropriate open book jurisprudence exam	out-of-gate:not-divided	
H0514	2090370	house	1621038	2026-02-02	69-0	1	0	4	5	Read Third Time in Full -- PASSED 69-0-1	Amends existing law to provide for the taking of examinations upon completion of eighty percent of education hours.	BARBER AND COSMETOLOGY SERVICES -- Amends existing law to provide for the taking of examinations upon completion of eighty percent of education hours.	out-of-gate:not-divided	
H0514	2090370	senate	1637806	2026-02-18	35-0	1	0	4	5	Read third time in full -- PASSED 35-0-0	Amends existing law to provide for the taking of examinations upon completion of eighty percent of education hours.	BARBER AND COSMETOLOGY SERVICES -- Amends existing law to provide for the taking of examinations upon completion of eighty percent of education hours.	out-of-gate:not-divided	
H0515	2090626	house	1624325	2026-02-04	68-0	1	0	4	4	Read Third Time in Full -- PASSED 68-0-2	Amends existing law to revise provisions regarding requirements for harassment, intimidation, or bullying information and professional development.	EDUCATION -- Amends existing law to revise provisions regarding requirements for harassment, intimidation, or bullying information and professional development.	out-of-gate:not-divided	
H0515	2090626	senate	1637361	2026-02-18	35-0	1	0	4	4	Read third time in full -- PASSED 35-0-0	Amends existing law to revise provisions regarding requirements for harassment, intimidation, or bullying information and professional development.	EDUCATION -- Amends existing law to revise provisions regarding requirements for harassment, intimidation, or bullying information and professional development.	out-of-gate:not-divided	
H0516	2090576	house	1676245	2026-04-02	43-24	2	1	4	342	PASSED 43-24-3	Amends and adds to existing law to establish provisions regarding the prohibition of taxpayer funding of teachers unions.	EDUCATION -- Amends and adds to existing law to establish provisions regarding the prohibition of taxpayer funding of teachers unions.	dropped:selection	bans taxpayer funding of teachers unions; no research area covers labour or union questions
H0516	2090576	senate	1675366	2026-04-01	20-14	1	1	4	342	Read third time as amended in the Senate -- PASSED 20-14-1	Amends and adds to existing law to establish provisions regarding the prohibition of taxpayer funding of teachers unions.	EDUCATION -- Amends and adds to existing law to establish provisions regarding the prohibition of taxpayer funding of teachers unions.	dropped:selection	bans taxpayer funding of teachers unions; no research area covers labour or union questions
H0518	2091627	house	1624346	2026-02-04	68-0	1	0	4	15	Read Third Time in Full -- PASSED 68-0-2	Amends existing law to provide that the Attorney General shall have certain authority.	HUMAN TRAFFICKING -- Amends existing law to provide that the Attorney General shall have certain authority.	out-of-gate:not-divided	
H0518	2091627	senate	1656440	2026-03-06	31-0	1	0	4	15	Read third time in full -- PASSED 31-0-4	Amends existing law to provide that the Attorney General shall have certain authority.	HUMAN TRAFFICKING -- Amends existing law to provide that the Attorney General shall have certain authority.	out-of-gate:not-divided	
H0520	2093552	house	1631904	2026-02-12	66-2	1	0	4	54	Read Third Time in Full -- PASSED 66-2-2	Amends existing law to establish provisions regarding hearing notices and to revise a provision regarding procedure at a hearing.	IDAHO ADMINISTRATIVE PROCEDURE ACT -- Amends existing law to establish provisions regarding hearing notices and to revise a provision regarding procedure at a hearing.	out-of-gate:not-divided	
H0520	2093552	senate	1663810	2026-03-16	35-0	1	0	4	54	Read third time in full -- PASSED 35-0-0	Amends existing law to establish provisions regarding hearing notices and to revise a provision regarding procedure at a hearing.	IDAHO ADMINISTRATIVE PROCEDURE ACT -- Amends existing law to establish provisions regarding hearing notices and to revise a provision regarding procedure at a hearing.	out-of-gate:not-divided	
H0521	2093587	house	1635654	2026-02-17	69-0	1	0	4	77	Read Third Time in Full -- PASSED 69-0-1	Amends and adds to existing law to establish provisions regarding submission by a covered entity for fingerprint screening.	CRIMINAL HISTORY RECORDS AND CRIME INFORMATION -- Amends and adds to existing law to establish provisions regarding submission by a covered entity for fingerprint screening.	out-of-gate:not-divided	
H0521	2093587	senate	1664932	2026-03-17	34-0	1	0	4	77	Read third time in full -- PASSED 34-0-1	Amends and adds to existing law to establish provisions regarding submission by a covered entity for fingerprint screening.	CRIMINAL HISTORY RECORDS AND CRIME INFORMATION -- Amends and adds to existing law to establish provisions regarding submission by a covered entity for fingerprint screening.	out-of-gate:not-divided	
H0522	2093605	house	1671533	2026-03-26	60-6	2	1	4	233		Adds to existing law to establish provisions regarding unmanned aircraft systems near Department of Correction facilities.	UNMANNED AIRCRAFT SYSTEMS -- Adds to existing law to establish provisions regarding unmanned aircraft systems near Department of Correction facilities.	out-of-gate:not-divided	
H0522	2093605	senate	1668997	2026-03-24	30-4	1	1	4	233	Read third time as amended in the Senate -- PASSED 30-4-1	Adds to existing law to establish provisions regarding unmanned aircraft systems near Department of Correction facilities.	UNMANNED AIRCRAFT SYSTEMS -- Adds to existing law to establish provisions regarding unmanned aircraft systems near Department of Correction facilities.	out-of-gate:not-divided	
H0526	2093506	house	1628936	2026-02-10	67-2	1	0	2		Read Third Time in Full -- PASSED 67-2-1	Adds to existing law to provide that certain cottage food operations may sell TCS foods.	COTTAGE FOOD OPERATIONS -- Adds to existing law to provide that certain cottage food operations may sell TCS foods.	out-of-gate:not-enacted	
H0528	2093598	house	1636011	2026-02-17	52-17	1	0	4	26	Read Third Time in Full -- PASSED 52-17-1	Adds to existing law to establish provisions regarding directed blood product transfusion.	DIRECTED BLOOD PRODUCT TRANSFUSION -- Adds to existing law to establish provisions regarding directed blood product transfusion.	dropped:selection	directed blood product transfusion; patient choice and blood supply standards pull opposite ways with no settled direction
H0528	2093598	senate	1657561	2026-03-09	25-8	1	0	4	26	Read third time in full -- PASSED 25-8-2	Adds to existing law to establish provisions regarding directed blood product transfusion.	DIRECTED BLOOD PRODUCT TRANSFUSION -- Adds to existing law to establish provisions regarding directed blood product transfusion.	dropped:selection	directed blood product transfusion; patient choice and blood supply standards pull opposite ways with no settled direction
H0531	2093565	house	1626645	2026-02-09	69-0	1	0	4	23	Read Third Time in Full -- PASSED 69-0-1	Amends existing law to revise provisions regarding the use of epinephrine in schools.	EPINEPHRINE DELIVERY SYSTEMS -- Amends existing law to revise provisions regarding the use of epinephrine in schools.	out-of-gate:not-divided	
H0531	2093565	senate	1656338	2026-03-06	31-0	1	0	4	23	Read third time in full -- PASSED 31-0-4	Amends existing law to revise provisions regarding the use of epinephrine in schools.	EPINEPHRINE DELIVERY SYSTEMS -- Amends existing law to revise provisions regarding the use of epinephrine in schools.	out-of-gate:not-divided	
H0532	2094590	house	1640010	2026-02-20	66-1	1	0	4	52	Read Third Time in Full -- PASSED 66-1-3	Amends existing law to provide for a certain manner of proving identity.	TRANSPORTATION -- Amends existing law to provide for a certain manner of proving identity.	out-of-gate:not-divided	
H0532	2094590	senate	1663527	2026-03-16	35-0	1	0	4	52	Read third time in full -- PASSED 35-0-0	Amends existing law to provide for a certain manner of proving identity.	TRANSPORTATION -- Amends existing law to provide for a certain manner of proving identity.	out-of-gate:not-divided	
H0533	2094507	house	1626215	2026-02-09	67-2	1	0	4	9	Read Third Time in Full -- PASSED 67-2-1	Amends and adds to existing law to provide for the elimination of vehicle registration stickers.	TRANSPORTATION -- Amends and adds to existing law to provide for the elimination of vehicle registration stickers.	out-of-gate:not-divided	
H0533	2094507	senate	1642715	2026-02-24	31-4	1	0	4	9	Read third time in full -- PASSED 31-4-0	Amends and adds to existing law to provide for the elimination of vehicle registration stickers.	TRANSPORTATION -- Amends and adds to existing law to provide for the elimination of vehicle registration stickers.	out-of-gate:not-divided	
H0539	2094531	house	1635645	2026-02-17	67-2	1	0	4	41	Read Third Time in Full -- PASSED 67-2-1	Amends existing law to establish provisions regarding temporary rules and to revise provisions regarding temporary rules.	IDAHO ADMINISTRATIVE PROCEDURE ACT -- Amends existing law to establish provisions regarding temporary rules and to revise provisions regarding temporary rules.	out-of-gate:not-divided	
H0539	2094531	senate	1658956	2026-03-10	33-1	1	0	4	41	Read third time in full -- PASSED 33-1-1	Amends existing law to establish provisions regarding temporary rules and to revise provisions regarding temporary rules.	IDAHO ADMINISTRATIVE PROCEDURE ACT -- Amends existing law to establish provisions regarding temporary rules and to revise provisions regarding temporary rules.	out-of-gate:not-divided	
H0540	2095985	house	1630352	2026-02-11	69-0	1	0	4	61	Read Third Time in Full -- PASSED 69-0-1	Amends existing law to provide that certain records of the Department of Juvenile Corrections shall be exempt from disclosure.	PUBLIC RECORDS ACT -- Amends existing law to provide that certain records of the Department of Juvenile Corrections shall be exempt from disclosure.	out-of-gate:not-divided	
H0540	2095985	senate	1663535	2026-03-16	35-0	1	0	4	61	Read third time in full -- PASSED 35-0-0	Amends existing law to provide that certain records of the Department of Juvenile Corrections shall be exempt from disclosure.	PUBLIC RECORDS ACT -- Amends existing law to provide that certain records of the Department of Juvenile Corrections shall be exempt from disclosure.	out-of-gate:not-divided	
H0541	2097580	house	1631080	2026-02-11	69-0	1	0	4	51	Read Third Time in Full -- PASSED 69-0-1	Amends existing law to revise a provision regarding enticing a child through use of the internet or other communication device.	ENTICING A CHILD -- Amends existing law to revise a provision regarding enticing a child through use of the internet or other communication device.	out-of-gate:not-divided	
H0541	2097580	senate	1663456	2026-03-16	35-0	1	0	4	51	Read third time in full -- PASSED 35-0-0	Amends existing law to revise a provision regarding enticing a child through use of the internet or other communication device.	ENTICING A CHILD -- Amends existing law to revise a provision regarding enticing a child through use of the internet or other communication device.	out-of-gate:not-divided	
H0542	2095725	house	1669967	2026-03-25	62-5	2	1	4	268		Adds to existing law to establish the Stop Harms from Addictive Social Media Act.	SOCIAL MEDIA -- Adds to existing law to establish the Stop Harms from Addictive Social Media Act.	out-of-gate:not-divided	
H0542	2095725	senate	1667122	2026-03-20	21-14	1	1	4	268	Read third time as amended in the Senate -- PASSED 21-14-0	Adds to existing law to establish the Stop Harms from Addictive Social Media Act.	SOCIAL MEDIA -- Adds to existing law to establish the Stop Harms from Addictive Social Media Act.	candidate:unbatched	
H0543	2097048	house	1640165	2026-02-20	67-0	1	0	4	49	Read Third Time in Full -- PASSED 67-0-3	Amends existing law to revise provisions regarding qualified pre-tax contributions and investment earnings and certain qualified Roth contributions and investme	PERSI -- Amends existing law to revise provisions regarding qualified pre-tax contributions and investment earnings and certain qualified Roth contributions and investment earnings.	out-of-gate:not-divided	
H0543	2097048	senate	1661958	2026-03-12	35-0	1	0	4	49	Read third time in full -- PASSED 35-0-0	Amends existing law to revise provisions regarding qualified pre-tax contributions and investment earnings and certain qualified Roth contributions and investme	PERSI -- Amends existing law to revise provisions regarding qualified pre-tax contributions and investment earnings and certain qualified Roth contributions and investment earnings.	out-of-gate:not-divided	
H0544	2096519	house	1628679	2026-02-10	68-0	1	0	4	57	Read Third Time in Full -- PASSED 68-0-2	Amends existing law to revise provisions regarding leaves of absence from regular duties for military duty.	MILITARY -- Amends existing law to revise provisions regarding leaves of absence from regular duties for military duty.	out-of-gate:not-divided	
H0544	2096519	senate	1663849	2026-03-16	35-0	1	0	4	57	Read third time in full -- PASSED 35-0-0	Amends existing law to revise provisions regarding leaves of absence from regular duties for military duty.	MILITARY -- Amends existing law to revise provisions regarding leaves of absence from regular duties for military duty.	out-of-gate:not-divided	
H0545	2099964	house	1657860	2026-03-09	52-17	1	0	2		Read Third Time in Full -- PASSED 52-17-1	Amends existing law to provide for the licensure of certain persons who have served as a chaplain in any branch of the United States military.	COUNSELORS AND THERAPISTS -- Amends existing law to provide for the licensure of certain persons who have served as a chaplain in any branch of the United States military.	out-of-gate:not-enacted	
H0548	2097317	house	1642390	2026-02-24	68-0	1	0	4	164	Read Third Time in Full -- PASSED 68-0-2	Amends existing law to revise a provision regarding enforcement.	IDAHO SAFE BOATING ACT -- Amends existing law to revise a provision regarding enforcement.	out-of-gate:not-divided	
H0548	2097317	senate	1667980	2026-03-23	33-0	1	0	4	164	Read third time in full -- PASSED 33-0-2	Amends existing law to revise a provision regarding enforcement.	IDAHO SAFE BOATING ACT -- Amends existing law to revise a provision regarding enforcement.	out-of-gate:not-divided	
H0549	2098111	house	1640925	2026-02-23	68-0	1	0	2		Read Third Time in Full -- PASSED 68-0-2	Amends existing law to revise provisions regarding the dissolution of hospital districts.	HOSPITAL DISTRICTS -- Amends existing law to revise provisions regarding the dissolution of hospital districts.	out-of-gate:not-enacted	
H0551	2098906	house	1629001	2026-02-10	68-0	1	0	4	19	Read Third Time in Full -- PASSED 68-0-2	Amends existing law to revise a provision regarding the assessment of certain property.	TAXATION -- Amends existing law to revise a provision regarding the assessment of certain property.	out-of-gate:not-divided	
H0551	2098906	senate	1656391	2026-03-06	31-0	1	0	4	19	Read third time in full -- PASSED 31-0-4	Amends existing law to revise a provision regarding the assessment of certain property.	TAXATION -- Amends existing law to revise a provision regarding the assessment of certain property.	out-of-gate:not-divided	
H0555	2101792	house	1626711	2026-02-09	69-0	1	0	4	7	Read Third Time in Full -- PASSED 69-0-1	Amends, repeals, and adds to existing law to revise provisions regarding the Idaho Solid Waste Facilities Act.	SOLID WASTE FACILITIES -- Amends, repeals, and adds to existing law to revise provisions regarding the Idaho Solid Waste Facilities Act.	out-of-gate:not-divided	
H0555	2101792	senate	1642748	2026-02-24	34-0	1	0	4	7	Read third time in full -- PASSED 34-0-1	Amends, repeals, and adds to existing law to revise provisions regarding the Idaho Solid Waste Facilities Act.	SOLID WASTE FACILITIES -- Amends, repeals, and adds to existing law to revise provisions regarding the Idaho Solid Waste Facilities Act.	out-of-gate:not-divided	
H0556	2101864	house	1640933	2026-02-23	59-10	1	0	4	119	Read Third Time in Full -- PASSED 59-10-1	Amends existing law to revise a provision regarding per diem costs of state prisoners housed in county jails.	STATE PRISONERS HOUSED IN COUNTY JAILS -- Amends existing law to revise a provision regarding per diem costs of state prisoners housed in county jails.	out-of-gate:not-divided	
H0556	2101864	senate	1663842	2026-03-16	30-3	1	0	4	119	Read third time in full -- PASSED 30-3-2	Amends existing law to revise a provision regarding per diem costs of state prisoners housed in county jails.	STATE PRISONERS HOUSED IN COUNTY JAILS -- Amends existing law to revise a provision regarding per diem costs of state prisoners housed in county jails.	out-of-gate:not-divided	
H0557	2101750	house	1624632	2026-02-05	53-16	1	0	2		Read Third Time in Full -- PASSED 53-16-1	Adds to existing law to provide for uniformity in local government antidiscrimination ordinances.	COMMISSION ON HUMAN RIGHTS -- Adds to existing law to provide for uniformity in local government antidiscrimination ordinances.	out-of-gate:not-enacted	
H0558	2101680	house	1637446	2026-02-18	53-13	1	0	4	31	Read Third Time in Full -- PASSED 53-13-4	Adds to existing law to provide requirements for the Department of Health and Welfare to apply and reserve federal benefits for children in the department's leg	JUVENILE PROCEEDINGS -- Adds to existing law to provide requirements for the Department of Health and Welfare to apply and reserve federal benefits for children in the department's legal custody.	out-of-gate:not-divided	
H0558	2101680	senate	1659093	2026-03-10	31-3	1	0	4	31	Read third time in full -- PASSED 31-3-1	Adds to existing law to provide requirements for the Department of Health and Welfare to apply and reserve federal benefits for children in the department's leg	JUVENILE PROCEEDINGS -- Adds to existing law to provide requirements for the Department of Health and Welfare to apply and reserve federal benefits for children in the department's legal custody.	out-of-gate:not-divided	
H0559	2101764	house	1622385	2026-02-03	59-9	1	0	4	1		Amends existing law to update references to the current Internal Revenue Code and to revise certain tax credits and adjustments.	TAXATION -- Amends existing law to update references to the current Internal Revenue Code and to revise certain tax credits and adjustments.	out-of-gate:not-divided	
H0559	2101764	senate	1625821	2026-02-06	28-7	1	0	4	1	Read in full as required) -- PASSED 28-7-0	Amends existing law to update references to the current Internal Revenue Code and to revise certain tax credits and adjustments.	TAXATION -- Amends existing law to update references to the current Internal Revenue Code and to revise certain tax credits and adjustments.	candidate:unbatched	
H0560	2101836	house	1646970	2026-02-26	68-0	1	0	4	59	Read Third Time in Full -- PASSED 68-0-2	Amends existing law to allow prospective jurors in certain circumstances to volunteer as poll workers in lieu of serving on a jury.	JURIES -- Amends existing law to allow prospective jurors in certain circumstances to volunteer as poll workers in lieu of serving on a jury.	out-of-gate:not-divided	
H0560	2101836	senate	1663956	2026-03-16	35-0	1	0	4	59	Read third time in full -- PASSED 35-0-0	Amends existing law to allow prospective jurors in certain circumstances to volunteer as poll workers in lieu of serving on a jury.	JURIES -- Amends existing law to allow prospective jurors in certain circumstances to volunteer as poll workers in lieu of serving on a jury.	out-of-gate:not-divided	
H0561	2101894	house	1671377	2026-03-26	59-8	2	2	4	260		Amends existing law to revise and remove provisions regarding flags flown by a governmental entity, to provide a penalty, and to establish provisions regarding	STATE GOVERNMENT AND STATE AFFAIRS -- Amends existing law to revise and remove provisions regarding flags flown by a governmental entity, to provide a penalty, and to establish provisions regarding enforcement by the Att	out-of-gate:not-divided	
H0561	2101894	senate	1669385	2026-03-24	26-8	1	2	4	260	Read third time as amended in the Senate -- PASSED 26-8-1	Amends existing law to revise and remove provisions regarding flags flown by a governmental entity, to provide a penalty, and to establish provisions regarding	STATE GOVERNMENT AND STATE AFFAIRS -- Amends existing law to revise and remove provisions regarding flags flown by a governmental entity, to provide a penalty, and to establish provisions regarding enforcement by the Att	candidate:unbatched	
H0562	2102702	house	1655502	2026-03-05	51-17	1	1	4	201	Read third time in full as amended -- PASSED 51-17-2	Amends existing law to revise provisions regarding cancellation and nonrenewal of certain policies.	INSURANCE -- Amends existing law to revise provisions regarding cancellation and nonrenewal of certain policies.	batched:batch-06	imported in batch-06
H0562	2102702	senate	1669024	2026-03-24	20-13	1	1	4	201	Read third time in full -- PASSED 20-13-2	Amends existing law to revise provisions regarding cancellation and nonrenewal of certain policies.	INSURANCE -- Amends existing law to revise provisions regarding cancellation and nonrenewal of certain policies.	batched:batch-06	imported in batch-06
H0563	2102561	house	1642421	2026-02-24	67-0	1	0	4	48	Read Third Time in Full -- PASSED 67-0-3	Amends, repeals, and adds to existing law to revise provisions regarding the licensure of certified public accountants.	CERTIFIED PUBLIC ACCOUNTANTS -- Amends, repeals, and adds to existing law to revise provisions regarding the licensure of certified public accountants.	out-of-gate:not-divided	
H0563	2102561	senate	1661939	2026-03-12	35-0	1	0	4	48	Read third time in full -- PASSED 35-0-0	Amends, repeals, and adds to existing law to revise provisions regarding the licensure of certified public accountants.	CERTIFIED PUBLIC ACCOUNTANTS -- Amends, repeals, and adds to existing law to revise provisions regarding the licensure of certified public accountants.	out-of-gate:not-divided	
H0566	2102655	house	1656446	2026-03-06	66-0	1	0	4	88	Read Third Time in Full -- PASSED 66-0-4	Amends and repeals existing law to remove outdated or unnecessary provisions.	STATE TRUST FOR OUTDOOR RECREATION ENHANCEMENT ACT -- Amends and repeals existing law to remove outdated or unnecessary provisions.	out-of-gate:not-divided	
H0566	2102655	senate	1664982	2026-03-17	34-0	1	0	4	88	Read third time in full -- PASSED 34-0-1	Amends and repeals existing law to remove outdated or unnecessary provisions.	STATE TRUST FOR OUTDOOR RECREATION ENHANCEMENT ACT -- Amends and repeals existing law to remove outdated or unnecessary provisions.	out-of-gate:not-divided	
H0568	2102722	house	1656541	2026-03-06	66-0	1	0	4	76	Read Third Time in Full -- PASSED 66-0-4	Repeals existing law to remove outdated or unnecessary provisions.	DEPARTMENT OF LANDS -- Repeals existing law to remove outdated or unnecessary provisions.	out-of-gate:not-divided	
H0568	2102722	senate	1664907	2026-03-17	34-0	1	0	4	76	Read third time in full -- PASSED 34-0-1	Repeals existing law to remove outdated or unnecessary provisions.	DEPARTMENT OF LANDS -- Repeals existing law to remove outdated or unnecessary provisions.	out-of-gate:not-divided	
H0569	2102743	house	1630337	2026-02-11	31-38	1	0	1		Read Third Time in Full -- FAILED 31-38-1	Amends existing law to provide an exception for water skiing.	WATER SKIING -- Amends existing law to provide an exception for water skiing.	out-of-gate:not-enacted	
