bill	roll	chamber	date	tally	outcome	question_class	disposition	reason
HB1995	1609373	house	2025-11-17	121-81	passed	passage	pending:batch-03	screened in: proposed social_programs_and_welfare/for, analysis not yet verified
HB200	1669744	house	2026-03-25	107-92	passed	passage	batch-02	social_programs_and_welfare/for
HB201	1478686	house	2025-02-03	155-47	passed	passage	dropped	narrow: lets intermediate units own buildings
HB2037	1712206	house	2026-06-29	131-71	passed	passage	pending:batch-03	screened in: proposed anti_corruption/for, analysis not yet verified
HB2042	1689964	house	2026-04-27	121-79	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB205	1593979	house	2025-06-23	132-71	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB2076	1692933	house	2026-05-04	118-83	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB2084	1709508	house	2026-06-15	119-83	passed	passage	pending:batch-03	screened in: proposed public_education_quality/for, analysis not yet verified
HB2103	1690438	house	2026-04-28	101-100	passed	passage	batch-02	civil_rights/for
HB2109	1706793	house	2026-06-08	123-78	passed	passage	pending:batch-03	screened in: proposed housing_affordability/for, analysis not yet verified
HB2150	1681902	house	2026-04-13	133-68	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB2151	1681903	house	2026-04-13	124-77	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB2176	1689897	house	2026-04-27	115-85	passed	passage	pending:batch-03	screened in: proposed public_education_quality/for, analysis not yet verified
HB2186	1704041	house	2026-06-01	139-62	passed	passage	pending:batch-03	screened in: proposed housing_affordability/for, analysis not yet verified
HB2189	1668594	house	2026-03-24	104-95	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB2218	1691424	house	2026-04-29	106-95	passed	passage	pending:batch-03	screened in: proposed public_education_quality/for, analysis not yet verified
HB2246	1689887	house	2026-04-27	116-84	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB2264	1709647	house	2026-06-16	107-95	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB2274	1704162	house	2026-06-01	121-80	passed	passage	dropped	trivia: default speed limit on dirt and gravel roads
HB2300	1706755	house	2026-06-08	153-48	passed	passage	pending:batch-03	screened in: proposed anti_corruption/for, analysis not yet verified
HB2302	1694548	house	2026-05-06	114-87	passed	passage	dropped	narrow: crane operator licensure
HB2333	1683200	house	2026-04-15	107-94	passed	passage	dropped	procedural: Public Utility Code reauthorization
HB2347	1692903	house	2026-05-04	106-95	passed	passage	dropped	procedural: renames the energy authority
HB2365	1704582	house	2026-06-02	105-96	passed	passage	dropped	narrow: youth hunter licences
HB2391	1706602	house	2026-06-08	117-84	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB2429	1708692	house	2026-06-10	110-92	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB2446	1706834	house	2026-06-08	105-96	passed	passage	dropped	narrow: fire company transfers
HB2455	1712645	house	2026-06-30	106-96	passed	passage	dropped	local: collective bargaining for Pittsburgh school administrators
HB2544	1710662	house	2026-06-22	141-61	passed	passage	dropped	narrow: school administrator compensation agreements
HB2558	1713310	house	2026-07-01	103-99	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB257	1599302	senate	2025-08-12	27-22	passed	passage	dropped	narrow: interactive gaming tax and transit provisions
HB2632	1710655	house	2026-06-22	105-97	passed	passage	dropped	school-choice financing: educational improvement tax credits
HB265	1566384	house	2025-05-06	105-98	passed	passage	batch-02	social_programs_and_welfare/for
HB2650	1711506	house	2026-06-24	134-68	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB273	1555171	house	2025-04-23	110-93	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB276	1588746	house	2025-06-11	108-95	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB282	1584057	house	2025-06-03	153-50	passed	passage	batch-02	healthcare_affordability/for
HB308	1541711	house	2025-04-09	111-92	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB316	1553637	house	2025-04-22	114-89	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB350	1593902	house	2025-06-23	112-91	passed	passage	batch-02	civil_rights/for
HB359	1571369	house	2025-05-14	102-101	passed	passage	pending:batch-03	screened in: proposed housing_affordability/for, analysis not yet verified
HB37	1708695	house	2026-06-09	103-99	passed	passage	pending:batch-03	screened in: proposed election_integrity/for, analysis not yet verified
HB375	1588877	house	2025-06-11	108-95	passed	passage	dropped	narrow: subdivision signage
HB393	1571076	house	2025-05-14	120-83	passed	passage	dropped	narrow: township fire/EMS tax maximums
HB404	1525865	house	2025-03-25	123-79	passed	passage	batch-02	healthcare_affordability/for
HB411	1541768	house	2025-04-09	131-72	passed	passage	dropped	narrow: PSERS and SERS cost-of-living adjustments
HB441	1603632	house	2025-10-07	102-101	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB458	1610588	house	2025-12-16	102-101	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB460	1623251	house	2026-02-04	105-93	passed	passage	pending:batch-03	screened in: proposed public_education_quality/for, analysis not yet verified
HB462	1586753	house	2025-06-09	122-80	passed	passage	pending:batch-03	screened in: proposed public_safety_and_crime_control/for, analysis not yet verified
HB464	1586687	house	2025-06-09	138-64	passed	passage	pending:batch-03	screened in: proposed public_safety_and_crime_control/for, analysis not yet verified
HB490	1623129	house	2026-02-04	100-98	passed	passage	dropped	procedural: agency adjudication provisions
HB497	1708696	house	2026-06-09	146-56	passed	passage	pending:batch-03	screened in: proposed anti_corruption/for, analysis not yet verified
HB500	1571087	house	2025-05-14	108-95	passed	passage	dropped	no defensible direction: PA EDGE tax credit changes
HB504	1567516	house	2025-05-07	114-89	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB505	1610719	house	2025-12-17	102-101	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB506	1595001	house	2025-06-25	113-90	passed	passage	pending:batch-03	screened in: proposed social_programs_and_welfare/for, analysis not yet verified
HB535	1525888	house	2025-03-25	121-81	passed	passage	batch-02	healthcare_affordability/for
HB558	1692973	house	2026-05-04	148-53	passed	passage	pending:batch-03	screened in: proposed housing_affordability/for, analysis not yet verified
HB583	1594240	house	2025-06-24	154-49	passed	passage	batch-02	healthcare_affordability/for
HB589	1603156	house	2025-09-29	152-51	passed	passage	dropped	narrow: landslide and sinkhole insurance program
HB618	1526102	house	2025-03-25	125-77	passed	passage	batch-02	healthcare_affordability/for
HB630	1564857	house	2025-05-05	102-101	passed	passage	batch-02	civil_rights/for
HB643	1556945	house	2025-04-24	112-91	passed	passage	pending:batch-03	screened in: proposed housing_affordability/for, analysis not yet verified
HB660	1620740	house	2026-02-02	101-97	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB664	1603758	house	2025-10-08	104-99	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB67	1570280	house	2025-05-13	128-75	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB681	1588762	house	2025-06-11	158-45	passed	passage	dropped	narrow: school height and weight measurement rules
HB72	1691559	house	2026-04-29	118-83	passed	passage	batch-02	civil_rights/for
HB721	1570197	house	2025-05-13	113-90	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB722	1603540	house	2025-10-01	152-51	passed	passage	dropped	narrow: statutory rules of construction
HB734	1564868	house	2025-05-05	106-97	passed	passage	pending:batch-03	screened in: proposed housing_affordability/for, analysis not yet verified
HB743	1555383	house	2025-04-23	115-88	passed	passage	pending:batch-03	screened in: proposed housing_affordability/for, analysis not yet verified
HB754	1567375	house	2025-05-07	120-83	passed	passage	dropped	narrow: county pension cost-of-living cap
HB755	1526055	house	2025-03-25	133-69	passed	passage	batch-02	healthcare_affordability/for
HB764	1541749	house	2025-04-09	112-91	passed	passage	pending:batch-03	screened in: proposed social_programs_and_welfare/for, analysis not yet verified
HB77	1480808	house	2025-02-05	150-52	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB78	1603388	house	2025-10-01	127-76	passed	passage	pending:batch-03	screened in: proposed data_privacy/for, analysis not yet verified
HB789	1566343	house	2025-05-06	107-96	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB81	1565682	house	2025-05-06	123-80	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB819	1542174	house	2025-04-09	131-72	passed	passage	pending:batch-03	screened in: proposed public_education_quality/for, analysis not yet verified
HB830	1691580	house	2026-04-29	136-65	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB836	1708697	house	2026-06-09	147-55	passed	passage	batch-02	womens_reproductive_rights/for
HB846	1586755	house	2025-06-09	126-76	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB852	1584025	house	2025-06-03	102-101	passed	passage	dropped	narrow: delinquent business tax collection fees
HB853	1583885	house	2025-06-03	102-101	passed	passage	dropped	narrow: delinquent per capita tax collection fees
HB916	1706584	house	2026-06-08	157-44	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB926	1566376	house	2025-05-06	124-79	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB937	1571290	house	2025-05-14	103-100	passed	passage	dropped	narrow: county fee schedule
HB938	1598327	house	2025-07-14	106-96	passed	passage	dropped	narrow: PASSHE board membership
HB95	1709926	house	2026-06-17	124-78	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB956	1597090	house	2025-07-01	122-80	passed	passage	pending:batch-03	screened in: proposed public_safety_and_crime_control/for, analysis not yet verified
HB960	1583106	house	2025-06-02	115-88	passed	passage	dropped	narrow: commercial driver licence reinstatement
HB967	1588583	house	2025-06-11	108-95	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB97	1603165	house	2025-09-29	121-82	passed	passage	dropped	narrow: companion animals in divorce
HB986	1567427	house	2025-05-07	153-50	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB994	1594439	house	2025-06-24	127-76	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB997	1603461	house	2025-10-01	112-91	passed	passage	pending:batch-03	screened in: proposed data_privacy/for, analysis not yet verified
SB1040	1603752	senate	2025-10-08	29-20	passed	passage	dropped	narrow: waives interest on budget impasse loans
SB1068	1604091	senate	2025-10-22	33-17	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/against, analysis not yet verified
SB114	1601432	senate	2025-09-09	34-15	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB114	1601433	senate	2025-09-09	31-18	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB1236	1704969	senate	2026-06-03	30-20	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB1260	1708032	senate	2026-06-10	37-13	passed	passage	dropped	narrow: electrician licensure board
SB1260	1708033	senate	2026-06-10	36-14	passed	passage	dropped	narrow: electrician licensure board
SB1279	1704973	senate	2026-06-03	30-20	passed	passage	pending:batch-03	screened in: proposed housing_affordability/for, analysis not yet verified
SB1286	1694603	senate	2026-05-06	34-16	passed	passage	dropped	narrow: driver licence suspension provisions
SB1293	1687409	senate	2026-04-22	30-17	passed	passage	pending:batch-03	screened in: proposed civil_rights/against, analysis not yet verified
SB1295	1694551	senate	2026-05-06	32-18	passed	passage	dropped	narrow: commercial driver licence provisions
SB1298	1694555	senate	2026-05-06	29-21	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/against, analysis not yet verified
SB1400	1711969	senate	2026-06-25	31-19	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB1400	1711970	senate	2026-06-25	30-20	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB149	1478775	senate	2025-02-03	28-20	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/against, analysis not yet verified
SB153	1476134	senate	2025-01-29	29-20	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB155	1476138	senate	2025-01-29	30-19	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB156	1476142	senate	2025-01-29	30-19	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB157	1476146	senate	2025-01-29	29-20	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB186	1479826	senate	2025-02-04	31-18	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/against, analysis not yet verified
SB187	1478740	senate	2025-02-03	27-21	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB226	1569515	senate	2025-05-12	29-21	passed	passage	pending:batch-03	screened in: proposed anti_corruption/for, analysis not yet verified
SB227	1569470	senate	2025-05-12	29-21	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB241	1601699	senate	2025-09-10	28-22	passed	passage	dropped	narrow: expunges COVID-era liquor citations
SB250	1693097	senate	2026-05-04	36-13	passed	passage	dropped	symbolic: display of the Pennsylvania Constitution preamble in schools
SB311	1588640	senate	2025-06-11	34-15	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/against, analysis not yet verified
SB333	1587536	senate	2025-06-10	27-23	passed	passage	pending:batch-03	screened in: proposed government_efficiency/for, analysis not yet verified
SB347	1533024	senate	2025-04-01	38-11	passed	passage	pending:batch-03	screened in: proposed public_safety_and_crime_control/for, analysis not yet verified
SB35	1478771	senate	2025-02-03	27-21	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/against, analysis not yet verified
SB403	1528195	senate	2025-03-26	29-20	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB404	1528096	senate	2025-03-26	35-14	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB444	1587527	senate	2025-06-10	27-23	passed	passage	pending:batch-03	screened in: proposed government_efficiency/for, analysis not yet verified
SB460	1601442	senate	2025-09-09	35-14	passed	passage	dropped	trivia: governor disability procedure
SB471	1531153	senate	2025-03-31	31-18	passed	passage	pending:batch-03	screened in: proposed immigration/against, analysis not yet verified
SB472	1533966	senate	2025-04-02	27-22	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB481	1567010	senate	2025-05-07	36-14	passed	passage	dropped	trivia: oversize permit during manufacture
SB482	1711502	senate	2026-06-24	27-23	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB49	1707969	senate	2026-06-10	23-27	failed	passage	dropped	user direction call: cannabis control board, the Senate companion to HB 1200 and the only failed Senate vote in the pool
SB490	1531337	senate	2025-03-31	32-17	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB527	1593996	senate	2025-06-23	29-21	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
SB598	1692975	senate	2026-05-04	38-11	passed	passage	dropped	symbolic: display of the United States Constitution preamble in schools
SB6	1604089	senate	2025-10-22	28-22	passed	passage	pending:batch-03	screened in: proposed government_efficiency/for, analysis not yet verified
SB614	1668597	senate	2026-03-24	26-23	passed	passage	pending:batch-03	screened in: proposed healthcare_affordability/for, analysis not yet verified
SB64	1601444	senate	2025-09-09	37-12	passed	passage	dropped	trivia: veteran-owned business logotype
SB682	1583900	senate	2025-06-03	27-22	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
