bill	roll	date	tally	disposition	reason	title
LB653	1647623	2026-02-27	33-15	candidate:batch-02	Not yet read.	Change provisions relating to acceptance of students under the enrollment option program and discipline of students under the Student Discipline Act
LB795	1648242	2026-02-27	32-14	candidate:batch-02	Not yet read.	Designate bromazolam as a controlled substance under the Uniform Controlled Substances Act, correct the spelling of certain controlled substances, and enhance p
LB948	1661487	2026-03-12	35-10	candidate:batch-02	Not yet read.	Change provisions of the Plant Protection and Plant Pest Act, change fees under the Pesticide Act, rename and change provisions of the Nebraska Commercial Ferti
LB1071	1674591	2026-04-01	35-13	excluded	Appropriations or a fund transfer, excluded by the campaign standing rule.	Provide, change, and eliminate provisions related to appropriations for the expenses of Nebraska State Government for the biennium ending June 30, 2027
LB1072	1674643	2026-04-01	35-13	excluded	Appropriations or a fund transfer, excluded by the campaign standing rule.	Provide for and change transfers from the Cash Reserve Fund and provide, change, and eliminate provisions relating to fees, funds, fund transfers, agency powers
LB759	1674597	2026-04-01	36-12	candidate:batch-02	Not yet read.	Change fees and funding for solid waste management, water wells, livestock regulation, hazardous waste management, clean water regulation, and litter reduction
LB901	1674837	2026-04-01	36-13	candidate:batch-02	Not yet read.	Adopt the Domestic Violence and Human Trafficking Service Providers Tax Credit Act, change provisions related to the confidentiality of shared information, the
LB1067	1679973	2026-04-09	36-13	candidate:batch-02	Not yet read.	Change provisions relating to the Affordable Housing Trust Fund, the rate and disbursement of the documentary stamp tax, the Rural Workforce Housing Investment
LB900	1680213	2026-04-09	33-14	candidate:batch-02	Not yet read.	Change provisions relating to fees, commissions, and mileage of county sheriffs for distress warrants issued for the collection of taxes
LB979	1679709	2026-04-09	37-10	candidate:batch-02	Not yet read.	Change provisions of the Game Law and the State Boat Act
LB1022	1680238	2026-04-10	37-12	candidate:batch-02	Not yet read.	Eliminate the human relations training requirement for obtaining a Nebraska substitute teacher's certificate
LB1029	1680322	2026-04-10	29-20	not-enacted	The Governor returned it without approval, so it never became law. LegiScan still marks it enacted.	Redefine terms relating to reportable funding from a foreign adversarial source for colleges and universities
LB1096	1680270	2026-04-10	34-15	candidate:batch-02	Not yet read.	Adopt the Preventing Lethal Agricultural and National Threats Act, create restrictions on contracts with foreign principals, authorize the withholding of record
LB1261	1680312	2026-04-10	33-16	candidate:batch-02	Not yet read.	Prohibit the use of eminent domain to acquire certain privately owned electric generation facilities
LB455	1680195	2026-04-10	37-12	candidate:batch-02	Not yet read.	Change provisions of the Nebraska Workers' Compensation Act relating to injury reports and workers' compensation insurance policies and deductibles
LB815	1680221	2026-04-10	35-14	candidate:batch-02	Not yet read.	Provide for a tax on diesel fuels, change provisions relating to refunds for motor fuel taxes, the petroleum release remedial action fee, and the Motor Fuel Tax
LB839	1680311	2026-04-10	34-15	not-enacted	The Governor returned it without approval, so it never became law. LegiScan still marks it enacted.	Change reporting requirements under the Municipal Density and Missing Middle Housing Act and provide requirements for projects under the Nebraska Affordable Hou
LB921	1680305	2026-04-10	37-12	candidate:batch-02	Not yet read.	Adopt the Nebraska Worker Adjustment and Retraining Notification Act and the Health Care Staffing Agency Registration Act and change provisions of the Employmen
LB929	1680339	2026-04-10	31-18	not-enacted	The Governor returned it without approval, so it never became law. LegiScan still marks it enacted.	Provide for managed care organizations to pay the deductible, cost sharing, or similar charges on behalf of medicaid enrollees
LB935	1680277	2026-04-10	38-11	candidate:batch-02	Not yet read.	Provide for court fees; change provisions relating to incentives for rural legal practice, protection orders, hearsay, sentencing, support order liens, and pate
LB965	1680327	2026-04-10	39-10	candidate:batch-02	Not yet read.	Prohibit sexual abuse of a probationer or problem solving court participant and sexual abuse by a conservator, guardian, guardian ad litem, or child welfare ser
LB966	1680249	2026-04-10	38-11	batch-01	imported	Adopt the Hunger-Free Schools Act and provide for an appropriation
