bill	type	chamber	date	roll	yea	nay	status	qclass	roll_number_in_history	disposition	desc	title
HB631	B	house	2021-04-22	1061266	77	20	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 952	Public waterways, Conservation and Natural Resources Dept, establishment of Alabama State Reservoir Management Development Program for reservoir mange
HB72	B	house	2021-03-16	1029124	58	38	2	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 445	Pardons and Paroles, mandatory supervised release of inmates, apply certain sentencing provisions to certain defendants, Sec. 15-22-26.2 am'd.
HB90	B	house	2021-04-06	1045935	47	48	1	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 660	Motor vehicles, distracted driving, use of cell phone while operating a motor vehicle prohibited, exceptions, Secs. 32-5A-353 to 32-5A-358, inclusive,
SB107	B	house	2021-04-13	1051692	61	28	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 792	Municipalities, police jurisdictions may not be extended, municipal planning jurisdiction limited, audit of expenditure of fees in police jurisdiction
SB117	B	house	2021-04-13	1052093	57	38	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 813	Expungement, to expand the expungement of criminal records to include convictions of certain misdemeanor offenses, traffic violations, municipal ordin
SB131	B	senate	2021-03-18	1031317	9	10	2	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 672	Etowah County, require animal byproduct processing facilities to compensate property owners for devaluation, tipping fees authorized, removal of aband
SB158	B	senate	2021-03-04	1021832	21	8	2	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 442	Law enforcement, procedures to create a database to maintain law enforcement information providing civil protections, providing for background checks 
SB214	B	senate	2021-03-09	1024562	19	13	1	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 474	Gaming, Alabama Education Lottery established, Alabama Education Lottery Corporation and Alabama Gaming Commission estab. to license and regulate gami
SB246	B	senate	2021-04-13	1051876	9	5	1	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 907	Etowah Co., prohibit commencement of operations at certain animal byproduct processing facilities near municipal limits after January 1, 2021.
SB308	B	house	2021-04-08	1048304	69	18	4	passage	yes	batch-01	Motion to Read a Third Time and Pass Roll Call 704	Firearms, concealed carry permits, time periods for permits including lifetime permits, fees, statewide standardized issuance and information manageme
SB319	B	senate	2021-04-13	1051702	23	9	2	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 960	Gaming, Alabama Education Lottery established, Alabama Education Lottery Corporation and Alabama Gaming Commission estab. to license and regulate gami
SB323	B	house	2021-05-17	1078918	67	29	4	concurrence	yes	batch-01	Hill motion to Concur In and Adopt Roll Call 1206	Corrections Dept., prisoners deduction for sentences for completion of qualifying educational programs, adoption rules for administration of education
SB368	B	senate	2021-04-27	1064340	21	6	2	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 1163	Public K-12 schools, drinking water provided in schools, water bottle use to be regulated
SB46	B	senate	2021-02-24	1014494	20	10	3	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 251	Medical Cannabis, program established to allow use of for certain conditions, defense against prosecution for marijuana possession established, Secs. 
SB46	B	house	2021-05-06	1073791	68	34	3	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 1146	Medical Cannabis, program established to allow use of for certain conditions, defense against prosecution for marijuana possession established, Secs. 
SB46	B	senate	2021-05-06	1074242	20	9	3	concurrence	yes	deferred to batch-02: the measure did not become law	Melson motion to Concur In and Adopt Roll Call 1393	Medical Cannabis, program established to allow use of for certain conditions, defense against prosecution for marijuana possession established, Secs. 
SB55	B	house	2021-04-15	1054024	63	24	4	passage	yes	dropped: narrow fee schedule, no research area	Motion to Read a Third Time and Pass Roll Call 873	Fireworks, State Fire Marshal, fees for manufacturing, sale, display, increased, common fireworks, redesignated consumer fireworks, authorized to be s
SB73	B	senate	2021-02-09	1002091	23	6	4	passage	yes	dropped: narrow professional-board scope, no research area	Motion to Read a Third Time and Pass Roll Call 125	Athletic Trainers, Board of, treatment of physically active individual provided, relationship between trainer and supervising or referring physician p
SB87	B	house	2021-04-08	1053865	69	18	2	passage	NO	dropped at filter 0: the printed roll call number is not in this bill's own history (a roll from another session, see ../legiscan-al-1756/CODE-FINDINGS.md)	Motion to Read a Third Time and Pass Roll Call 704	District attorneys, assistant district attorneys, not subject to co. personnel systems, Sec. 12-17-220.1 am'd.
SB91	B	senate	2021-04-20	1057291	19	7	2	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 1040	Traffic stops, racial profiling by law enforcement officers, prohibited, written policies, forms for statistics, and reports to Attorney General requi
SB94	B	senate	2021-04-13	1051414	23	9	3	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 924	Literacy Act, third grade retention requirement postponed until 2024-2025 school year, Sec. 16-6G-5 am'd.
SB94	B	house	2021-05-17	1078959	68	27	3	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 1224	Literacy Act, third grade retention requirement postponed until 2024-2025 school year, Sec. 16-6G-5 am'd.
SB97	B	senate	2021-04-01	1043087	24	8	2	passage	yes	deferred to batch-02: the measure did not become law	Motion to Read a Third Time and Pass Roll Call 721	State Health Officer, order issued in response to outbreak of a disease has full force of law if approved by Governor and filed with Secretary of Stat
