bill	bill_id	chamber	roll_call_id	date	tally	rolls_in_chamber	engrossed_texts	status	chapter	question_from_history	title	description	disposition	reason
H0013	1919987	house	1515384	2025-03-11	66-3	2	1	4	73	Read third time in full as amended in Senate -- PASSED 66-3-1	Amends existing law to exempt UTVs that are equipped with a roll cage and seat belts from safety helmet requirements.	RULES OF THE ROAD -- Amends existing law to exempt UTVs that are equipped with a roll cage and seat belts from safety helmet requirements.	out-of-gate:not-divided	
H0013	1919987	senate	1506965	2025-03-05	29-4	1	1	4	73	Read third time as amended in the Senate -- PASSED 29-4-2	Amends existing law to exempt UTVs that are equipped with a roll cage and seat belts from safety helmet requirements.	RULES OF THE ROAD -- Amends existing law to exempt UTVs that are equipped with a roll cage and seat belts from safety helmet requirements.	out-of-gate:not-divided	
H0014	1920503	house	1473847	2025-01-23	68-0	1	0	4	2	Read Third Time in Full -- PASSED 68-0-2	Adds to existing law to establish the Idaho Code Cleanup Act.	IDAHO CODE CLEANUP -- Adds to existing law to establish the Idaho Code Cleanup Act.	out-of-gate:not-divided	
H0014	1920503	senate	1477399	2025-01-30	34-0	1	0	4	2	Read third time in full -- PASSED 34-0-1	Adds to existing law to establish the Idaho Code Cleanup Act.	IDAHO CODE CLEANUP -- Adds to existing law to establish the Idaho Code Cleanup Act.	out-of-gate:not-divided	
H0015	1923470	house	1476252	2025-01-29	59-10	1	0	4	10	Read Third Time in Full -- PASSED 59-10-1	Amends existing law to provide an exception to the terms “outfitter” and “guide.”	FISH AND GAME -- Amends existing law to provide an exception to the terms “outfitter” and “guide.”	out-of-gate:not-divided	
H0015	1923470	senate	1496417	2025-02-21	32-0	1	0	4	10	Read third time in full -- PASSED 32-0-3	Amends existing law to provide an exception to the terms “outfitter” and “guide.”	FISH AND GAME -- Amends existing law to provide an exception to the terms “outfitter” and “guide.”	out-of-gate:not-divided	
H0016	1923965	house	1491676	2025-02-17	62-7	1	0	2		Read Third Time in Full -- PASSED 62-7-1	Amends existing law to provide an exemption from certain duties of the state athletic commission for fundraising events held by charitable organizations.	ATHLETIC COMMISSION -- Amends existing law to provide an exemption from certain duties of the state athletic commission for fundraising events held by charitable organizations.	out-of-gate:not-enacted	
H0016	1923965	senate	1516648	2025-03-12	14-21	1	0	2		Read third time as amended in the Senate -- FAILED 14-21-0	Amends existing law to provide an exemption from certain duties of the state athletic commission for fundraising events held by charitable organizations.	ATHLETIC COMMISSION -- Amends existing law to provide an exemption from certain duties of the state athletic commission for fundraising events held by charitable organizations.	out-of-gate:not-enacted	
H0019	1924341	house	1479321	2025-02-03	70-0	1	0	4	51	Read Third Time in Full -- PASSED 70-0-0	Amends existing law to authorize the submission of fingerprints of certain persons to the Bureau of Criminal Identification.	CRIMINAL HISTORY RECORDS -- Amends existing law to authorize the submission of fingerprints of certain persons to the Bureau of Criminal Identification.	out-of-gate:not-divided	
H0019	1924341	senate	1512363	2025-03-10	34-0	1	0	4	51	Read third time in full -- PASSED 34-0-1	Amends existing law to authorize the submission of fingerprints of certain persons to the Bureau of Criminal Identification.	CRIMINAL HISTORY RECORDS -- Amends existing law to authorize the submission of fingerprints of certain persons to the Bureau of Criminal Identification.	out-of-gate:not-divided	
H0021	1927122	house	1495453	2025-02-20	40-25	1	0	4	22	Read Third Time in Full -- PASSED 40-25-5	Amends existing law to revise provisions regarding temporary license plates and certain exempt vehicle license plates.	MOTOR VEHICLES -- Amends existing law to revise provisions regarding temporary license plates and certain exempt vehicle license plates.	dropped:selection	license plate designators for agency vehicles, not a subject a voter would recognize
H0021	1927122	senate	1506507	2025-03-05	26-7	1	0	4	22	Read third time in full -- PASSED 26-7-2	Amends existing law to revise provisions regarding temporary license plates and certain exempt vehicle license plates.	MOTOR VEHICLES -- Amends existing law to revise provisions regarding temporary license plates and certain exempt vehicle license plates.	dropped:selection	license plate designators for agency vehicles, not a subject a voter would recognize
H0022	1927010	house	1496003	2025-02-20	66-0	1	0	4	23	Read Third Time in Full -- PASSED 66-0-4	Amends existing law to provide for data security compliance training for systems used by the Division of Motor Vehicles.	TRANSPORTATION -- Amends existing law to provide for data security compliance training for systems used by the Division of Motor Vehicles.	out-of-gate:not-divided	
H0022	1927010	senate	1506559	2025-03-05	30-3	1	0	4	23	Read third time in full -- PASSED 30-3-2	Amends existing law to provide for data security compliance training for systems used by the Division of Motor Vehicles.	TRANSPORTATION -- Amends existing law to provide for data security compliance training for systems used by the Division of Motor Vehicles.	out-of-gate:not-divided	
H0023	1926904	house	1495460	2025-02-20	66-0	1	0	4	24	Read Third Time in Full -- PASSED 66-0-4	Amends existing law to eliminate renewal of instructional permits, to make certain permits valid for one year, and to remove the requirement that people surrend	TRANSPORTATION -- Amends existing law to eliminate renewal of instructional permits, to make certain permits valid for one year, and to remove the requirement that people surrendering an out-of-state driver's license tak	out-of-gate:not-divided	
H0023	1926904	senate	1506902	2025-03-05	33-0	1	0	4	24	Read third time in full -- PASSED 33-0-2	Amends existing law to eliminate renewal of instructional permits, to make certain permits valid for one year, and to remove the requirement that people surrend	TRANSPORTATION -- Amends existing law to eliminate renewal of instructional permits, to make certain permits valid for one year, and to remove the requirement that people surrendering an out-of-state driver's license tak	out-of-gate:not-divided	
H0025	1930233	house	1506179	2025-03-05	70-0	1	0	4	250	Read Third Time in Full -- PASSED 70-0-0	Amends existing law to provide for the distribution of certain sales tax revenues to the transportation expansion and congestion mitigation fund and to local un	SALES TAX -- Amends existing law to provide for the distribution of certain sales tax revenues to the transportation expansion and congestion mitigation fund and to local units of government for highway projects.	out-of-gate:not-divided	
H0025	1930233	senate	1530129	2025-03-28	34-0	1	0	4	250	Read third time in full -- PASSED 34-0-1	Amends existing law to provide for the distribution of certain sales tax revenues to the transportation expansion and congestion mitigation fund and to local un	SALES TAX -- Amends existing law to provide for the distribution of certain sales tax revenues to the transportation expansion and congestion mitigation fund and to local units of government for highway projects.	out-of-gate:not-divided	
H0026	1931448	house	1485545	2025-02-10	56-13	1	0	4	35	Read Third Time in Full -- PASSED 56-13-1	Amends and adds to existing law to provide for ABLE accounts in the state and to establish an ABLE account advisory council.	ABLE ACCOUNTS -- Amends and adds to existing law to provide for ABLE accounts in the state and to establish an ABLE account advisory council.	out-of-gate:not-divided	
H0026	1931448	senate	1506267	2025-03-05	27-6	1	0	4	35	Read third time in full -- PASSED 27-6-2	Amends and adds to existing law to provide for ABLE accounts in the state and to establish an ABLE account advisory council.	ABLE ACCOUNTS -- Amends and adds to existing law to provide for ABLE accounts in the state and to establish an ABLE account advisory council.	out-of-gate:not-divided	
H0028	1931636	house	1498268	2025-02-24	67-0	1	0	4	98	Read Third Time in Full -- PASSED 67-0-3	Amends, repeals, and adds to existing law to provide for the Idaho Board of Long-Term Care Facility Administrators.	DIVISION OF OCCUPATIONAL AND PROFESSIONAL LICENSES -- Amends, repeals, and adds to existing law to provide for the Idaho Board of Long-Term Care Facility Administrators.	out-of-gate:not-divided	
H0028	1931636	senate	1512362	2025-03-10	35-0	1	0	4	98	Read third time in full -- PASSED 35-0-0	Amends, repeals, and adds to existing law to provide for the Idaho Board of Long-Term Care Facility Administrators.	DIVISION OF OCCUPATIONAL AND PROFESSIONAL LICENSES -- Amends, repeals, and adds to existing law to provide for the Idaho Board of Long-Term Care Facility Administrators.	out-of-gate:not-divided	
H0029	1931561	house	1478888	2025-02-03	70-0	1	0	4	8	Read Third Time in Full -- PASSED 70-0-0	Amends existing law to revise provisions regarding controlled substances.	UNIFORM CONTROLLED SUBSTANCES -- Amends existing law to revise provisions regarding controlled substances.	out-of-gate:not-divided	
H0029	1931561	senate	1492038	2025-02-18	35-0	1	0	4	8	Read third time in full -- PASSED 35-0-0	Amends existing law to revise provisions regarding controlled substances.	UNIFORM CONTROLLED SUBSTANCES -- Amends existing law to revise provisions regarding controlled substances.	out-of-gate:not-divided	
H0031	1931226	house	1482803	2025-02-05	68-0	1	0	4	27	Read Third Time in Full -- PASSED 68-0-2	Amends existing law to provide that a third party that requires prior authorization for items or services provided to a recipient of medical assistance shall ac	PUBLIC ASSISTANCE -- Amends existing law to provide that a third party that requires prior authorization for items or services provided to a recipient of medical assistance shall accept authorization from the state.	out-of-gate:not-divided	
H0031	1931226	senate	1505090	2025-03-04	34-0	1	0	4	27	Read third time in full -- PASSED 34-0-1	Amends existing law to provide that a third party that requires prior authorization for items or services provided to a recipient of medical assistance shall ac	PUBLIC ASSISTANCE -- Amends existing law to provide that a third party that requires prior authorization for items or services provided to a recipient of medical assistance shall accept authorization from the state.	out-of-gate:not-divided	
H0032	1931674	house	1476384	2025-01-29	52-16	1	0	4	11	Read Third Time in Full -- PASSED 52-16-2	Adds to existing law to establish provisions regarding the prohibition of mask mandates.	MASK MANDATES -- Adds to existing law to establish provisions regarding the prohibition of mask mandates.	batched:batch-03	imported in batch-03
H0032	1931674	senate	1496428	2025-02-21	27-6	1	0	4	11	Read third time in full -- PASSED 27-6-2	Adds to existing law to establish provisions regarding the prohibition of mask mandates.	MASK MANDATES -- Adds to existing law to establish provisions regarding the prohibition of mask mandates.	out-of-gate:not-divided	
H0034	1934834	house	1483246	2025-02-06	69-0	1	0	4	18	Read Third Time in Full -- PASSED 69-0-1	Amends existing law to revise provisions regarding an agency that contracts with a state institution of higher education.	INTERAGENCY CONTRACTS WITH STATE INSTITUTIONS OF HIGHER EDUCATION -- Amends existing law to revise provisions regarding an agency that contracts with a state institution of higher education.	out-of-gate:not-divided	
H0034	1934834	senate	1505597	2025-03-04	34-0	1	0	4	18	Read third time in full -- PASSED 34-0-1	Amends existing law to revise provisions regarding an agency that contracts with a state institution of higher education.	INTERAGENCY CONTRACTS WITH STATE INSTITUTIONS OF HIGHER EDUCATION -- Amends existing law to revise provisions regarding an agency that contracts with a state institution of higher education.	out-of-gate:not-divided	
H0035	1934732	house	1475188	2025-01-27	54-16	1	0	4	6	Read Third Time in Full -- PASSED 54-16-0	Amends and adds to existing law to require the implementation of cybersecurity best practices and the use of multifactor identification in Idaho state governmen	INFORMATION TECHNOLOGY SERVICES -- Amends and adds to existing law to require the implementation of cybersecurity best practices and the use of multifactor identification in Idaho state government.	candidate:unbatched	
H0035	1934732	senate	1492100	2025-02-18	31-4	1	0	4	6	Read third time in full -- PASSED 31-4-0	Amends and adds to existing law to require the implementation of cybersecurity best practices and the use of multifactor identification in Idaho state governmen	INFORMATION TECHNOLOGY SERVICES -- Amends and adds to existing law to require the implementation of cybersecurity best practices and the use of multifactor identification in Idaho state government.	out-of-gate:not-divided	
H0036	1935323	house	1483748	2025-02-06	69-0	1	0	4	52	Read Third Time in Full -- PASSED 69-0-1	Adds to existing law to establish provisions regarding the issuance of a subpoena in a contested case.	IDAHO ADMINISTRATIVE PROCEDURE ACT -- Adds to existing law to establish provisions regarding the issuance of a subpoena in a contested case.	out-of-gate:not-divided	
H0036	1935323	senate	1509771	2025-03-10	34-0	1	0	4	52	Read third time in full -- PASSED 34-0-1	Adds to existing law to establish provisions regarding the issuance of a subpoena in a contested case.	IDAHO ADMINISTRATIVE PROCEDURE ACT -- Adds to existing law to establish provisions regarding the issuance of a subpoena in a contested case.	out-of-gate:not-divided	
H0037	1935133	house	1483248	2025-02-06	58-11	1	0	4	36	Read Third Time in Full -- PASSED 58-11-1	Amends existing law to revise provisions regarding methods of execution.	METHODS OF EXECUTION -- Amends existing law to revise provisions regarding methods of execution.	out-of-gate:not-divided	
H0037	1935133	senate	1506637	2025-03-05	28-7	1	0	4	36	Read third time in full -- PASSED 28-7-0	Amends existing law to revise provisions regarding methods of execution.	METHODS OF EXECUTION -- Amends existing law to revise provisions regarding methods of execution.	candidate:unbatched	
H0038	1935230	house	1487766	2025-02-12	46-23	1	0	4	60	Read Third Time in Full -- PASSED 46-23-1	Amends existing law to revise provisions of the Idaho Life and Health Insurance Guaranty Association Act.	INSURANCE -- Amends existing law to revise provisions of the Idaho Life and Health Insurance Guaranty Association Act.	dropped:selection	guaranty association coverage of structured settlement buyers, not recognizable
H0038	1935230	senate	1506563	2025-03-05	20-13	1	0	4	60	Read third time in full -- PASSED 20-13-2	Amends existing law to revise provisions of the Idaho Life and Health Insurance Guaranty Association Act.	INSURANCE -- Amends existing law to revise provisions of the Idaho Life and Health Insurance Guaranty Association Act.	dropped:selection	guaranty association coverage of structured settlement buyers, not recognizable
H0040	1937632	house	1479012	2025-02-03	63-7	1	0	4	13	Read Third Time in Full -- PASSED 63-7-0	Amends existing law to exempt certain precious metals from capital gains tax, lower the income tax rate, and exempt certain military benefits from income taxati	TAXATION -- Amends existing law to exempt certain precious metals from capital gains tax, lower the income tax rate, and exempt certain military benefits from income taxation.	out-of-gate:not-divided	
H0040	1937632	senate	1504438	2025-03-04	27-8	1	0	4	13	Read third time in full -- PASSED 27-8-0	Amends existing law to exempt certain precious metals from capital gains tax, lower the income tax rate, and exempt certain military benefits from income taxati	TAXATION -- Amends existing law to exempt certain precious metals from capital gains tax, lower the income tax rate, and exempt certain military benefits from income taxation.	batched:batch-03	imported in batch-03
H0041	1937273	house	1514492	2025-03-11	60-10	2	1	4	99	Read third time in full as amended in Senate -- PASSED 60-10-0	Adds to existing law to allow public schools to display only certain flags and banners on school property and to prohibit schools from displaying certain flags	EDUCATION -- Adds to existing law to allow public schools to display only certain flags and banners on school property and to prohibit schools from displaying certain flags and banners.	out-of-gate:not-divided	
H0041	1937273	senate	1506564	2025-03-05	29-6	1	1	4	99	Read third time as amended in the Senate -- PASSED 29-6-0	Adds to existing law to allow public schools to display only certain flags and banners on school property and to prohibit schools from displaying certain flags	EDUCATION -- Adds to existing law to allow public schools to display only certain flags and banners on school property and to prohibit schools from displaying certain flags and banners.	out-of-gate:not-divided	
H0044	1937980	house	1476236	2025-01-29	43-26	1	0	2		Read Third Time in Full -- PASSED 43-26-1	Amends existing law to revise certain requirements regarding harassment, intimidation, and bullying in public schools.	EDUCATION -- Amends existing law to revise certain requirements regarding harassment, intimidation, and bullying in public schools.	out-of-gate:not-enacted	
H0044	1937980	senate	1504976	2025-03-03	13-21	1	0	2		Read third time in full -- FAILED 13-21-1 -Engelking	Amends existing law to revise certain requirements regarding harassment, intimidation, and bullying in public schools.	EDUCATION -- Amends existing law to revise certain requirements regarding harassment, intimidation, and bullying in public schools.	out-of-gate:not-enacted	
H0046	1939752	house	1491502	2025-02-17	68-1	1	0	4	100	Read Third Time in Full -- PASSED 68-1-1	Amends existing law to revise an exemption for certain violations for licensed children's residential care facilities, registered children's institutions, and b	RUNAWAYS -- Amends existing law to revise an exemption for certain violations for licensed children's residential care facilities, registered children's institutions, and behavioral health youth crisis centers that provi	out-of-gate:not-divided	
H0046	1939752	senate	1517457	2025-03-13	31-1	1	0	4	100	Read third time in full -- PASSED 31-1-3	Amends existing law to revise an exemption for certain violations for licensed children's residential care facilities, registered children's institutions, and b	RUNAWAYS -- Amends existing law to revise an exemption for certain violations for licensed children's residential care facilities, registered children's institutions, and behavioral health youth crisis centers that provi	out-of-gate:not-divided	
H0047	1939614	house	1495473	2025-02-20	66-4	1	0	4	152	Read Third Time in Full -- PASSED 66-4-0	Amends existing law to revise adoptee access to adoption records.	ADOPTIONS -- Amends existing law to revise adoptee access to adoption records.	out-of-gate:not-divided	
H0047	1939614	senate	1520082	2025-03-18	30-4	1	0	4	152	Read third time in full -- PASSED 30-4-1	Amends existing law to revise adoptee access to adoption records.	ADOPTIONS -- Amends existing law to revise adoptee access to adoption records.	out-of-gate:not-divided	
H0048	1939659	house	1495621	2025-02-20	65-2	1	0	4	25	Read Third Time in Full -- PASSED 65-2-3	Amends existing law to revise a provision regarding course instruction for an enhanced license to carry a concealed weapon.	CONCEALED WEAPONS -- Amends existing law to revise a provision regarding course instruction for an enhanced license to carry a concealed weapon.	out-of-gate:not-divided	
H0048	1939659	senate	1507932	2025-03-06	35-0	1	0	4	25	Read third time in full -- PASSED 35-0-0	Amends existing law to revise a provision regarding course instruction for an enhanced license to carry a concealed weapon.	CONCEALED WEAPONS -- Amends existing law to revise a provision regarding course instruction for an enhanced license to carry a concealed weapon.	out-of-gate:not-divided	
H0050	1939702	house	1478717	2025-02-03	70-0	1	0	4	5	Read Third Time in Full -- PASSED 70-0-0	Amends existing law to revise a provision regarding delegation of public works projects.	PUBLIC WORKS -- Amends existing law to revise a provision regarding delegation of public works projects.	out-of-gate:not-divided	
H0050	1939702	senate	1486763	2025-02-11	34-0	1	0	4	5	Read third time in full -- PASSED 34-0-1	Amends existing law to revise a provision regarding delegation of public works projects.	PUBLIC WORKS -- Amends existing law to revise a provision regarding delegation of public works projects.	out-of-gate:not-divided	
H0052	1939575	house	1479225	2025-02-03	70-0	1	0	4	4	Read Third Time in Full -- PASSED 70-0-0	Amends existing law to revise a provision regarding the construction, alteration, equipping, furnishing, and repair of public buildings and works.	PUBLIC WORKS -- Amends existing law to revise a provision regarding the construction, alteration, equipping, furnishing, and repair of public buildings and works.	out-of-gate:not-divided	
H0052	1939575	senate	1486761	2025-02-11	34-0	1	0	4	4	Read third time in full -- PASSED 34-0-1	Amends existing law to revise a provision regarding the construction, alteration, equipping, furnishing, and repair of public buildings and works.	PUBLIC WORKS -- Amends existing law to revise a provision regarding the construction, alteration, equipping, furnishing, and repair of public buildings and works.	out-of-gate:not-divided	
H0053	1939820	house	1487059	2025-02-11	70-0	1	0	4	28	Read Third Time in Full -- PASSED 70-0-0	Amends and adds to existing law to provide for the prevention and deterrence of unemployment insurance fraud.	EMPLOYMENT SECURITY -- Amends and adds to existing law to provide for the prevention and deterrence of unemployment insurance fraud.	out-of-gate:not-divided	
H0053	1939820	senate	1505423	2025-03-04	34-0	1	0	4	28	Read third time in full -- PASSED 34-0-1	Amends and adds to existing law to provide for the prevention and deterrence of unemployment insurance fraud.	EMPLOYMENT SECURITY -- Amends and adds to existing law to provide for the prevention and deterrence of unemployment insurance fraud.	out-of-gate:not-divided	
H0054	1939797	house	1486523	2025-02-11	70-0	1	0	4	29	Read Third Time in Full -- PASSED 70-0-0	Amends and adds to existing law to revise provisions regarding employment security laws and to provide for certain administrative rules to be null, void, and of	LABOR -- Amends and adds to existing law to revise provisions regarding employment security laws and to provide for certain administrative rules to be null, void, and of no force and effect.	out-of-gate:not-divided	
H0054	1939797	senate	1505123	2025-03-04	34-0	1	0	4	29	Read third time in full -- PASSED 34-0-1	Amends and adds to existing law to revise provisions regarding employment security laws and to provide for certain administrative rules to be null, void, and of	LABOR -- Amends and adds to existing law to revise provisions regarding employment security laws and to provide for certain administrative rules to be null, void, and of no force and effect.	out-of-gate:not-divided	
H0055	1939841	house	1483247	2025-02-06	69-0	1	0	4	12	Read Third Time in Full -- PASSED 69-0-1	Amends existing law to provide that service as a bona fide volunteer shall not be considered employment or reemployment and to define a term.	PERSI -- Amends existing law to provide that service as a bona fide volunteer shall not be considered employment or reemployment and to define a term.	out-of-gate:not-divided	
H0055	1939841	senate	1496287	2025-02-21	33-0	1	0	4	12	Read third time in full -- PASSED 33-0-2	Amends existing law to provide that service as a bona fide volunteer shall not be considered employment or reemployment and to define a term.	PERSI -- Amends existing law to provide that service as a bona fide volunteer shall not be considered employment or reemployment and to define a term.	out-of-gate:not-divided	
H0056	1939725	house	1478778	2025-02-03	68-0	1	0	4	3	Read Third Time in Full -- PASSED 68-0-0	Amends existing law to revise a provision regarding competitive bidding.	PUBLIC WORKS -- Amends existing law to revise a provision regarding competitive bidding.	out-of-gate:not-divided	
H0056	1939725	senate	1486189	2025-02-11	34-0	1	0	4	3	Read third time in full -- PASSED 34-0-1	Amends existing law to revise a provision regarding competitive bidding.	PUBLIC WORKS -- Amends existing law to revise a provision regarding competitive bidding.	out-of-gate:not-divided	
H0059	1939683	house	1517547	2025-03-13	58-9	2	1	4	101		Adds to existing law to establish the Medical Ethics Defense Act.	MEDICAL ETHICS DEFENSE ACT -- Adds to existing law to establish the Medical Ethics Defense Act.	out-of-gate:not-divided	
H0059	1939683	senate	1509277	2025-03-10	28-6	1	1	4	101	Read third time as amended in the Senate -- PASSED 28-6-1	Adds to existing law to establish the Medical Ethics Defense Act.	MEDICAL ETHICS DEFENSE ACT -- Adds to existing law to establish the Medical Ethics Defense Act.	out-of-gate:not-divided	
H0062	1942856	house	1491681	2025-02-17	69-0	1	0	4	61	Read Third Time in Full -- PASSED 69-0-1	Amends existing law to provide for the exchange of certain information between the State Tax Commission and the Department of Health and Welfare for investigati	PUBLIC ASSISTANCE -- Amends existing law to provide for the exchange of certain information between the State Tax Commission and the Department of Health and Welfare for investigation of fraud.	out-of-gate:not-divided	
H0062	1942856	senate	1507864	2025-03-06	35-0	1	0	4	61	Read third time in full -- PASSED 35-0-0	Amends existing law to provide for the exchange of certain information between the State Tax Commission and the Department of Health and Welfare for investigati	PUBLIC ASSISTANCE -- Amends existing law to provide for the exchange of certain information between the State Tax Commission and the Department of Health and Welfare for investigation of fraud.	out-of-gate:not-divided	
H0064	1944030	house	1491202	2025-02-17	68-0	1	0	4	66	Read Third Time in Full -- PASSED 68-0-2	Amends existing law to provide that members of limited liability companies may be liable for a failure to secure compensation.	WORKER'S COMPENSATION -- Amends existing law to provide that members of limited liability companies may be liable for a failure to secure compensation.	out-of-gate:not-divided	
H0064	1944030	senate	1512365	2025-03-10	34-0	1	0	4	66	Read third time in full -- PASSED 34-0-1	Amends existing law to provide that members of limited liability companies may be liable for a failure to secure compensation.	WORKER'S COMPENSATION -- Amends existing law to provide that members of limited liability companies may be liable for a failure to secure compensation.	out-of-gate:not-divided	
H0065	1944264	house	1492510	2025-02-18	70-0	1	0	4	67	Read Third Time in Full -- PASSED 70-0-0	Amends existing law to move the definition of “member of an employer's family.”	WORKER'S COMPENSATION -- Amends existing law to move the definition of “member of an employer's family.”	out-of-gate:not-divided	
H0065	1944264	senate	1512194	2025-03-10	34-0	1	0	4	67	Read third time in full -- PASSED 34-0-1	Amends existing law to move the definition of “member of an employer's family.”	WORKER'S COMPENSATION -- Amends existing law to move the definition of “member of an employer's family.”	out-of-gate:not-divided	
H0066	1944525	house	1491363	2025-02-17	68-0	1	0	4	68	Read Third Time in Full -- PASSED 68-0-2	Amends existing law to revise provisions regarding service of notice of hearings.	WORKER'S COMPENSATION -- Amends existing law to revise provisions regarding service of notice of hearings.	out-of-gate:not-divided	
H0066	1944525	senate	1512200	2025-03-10	32-1	1	0	4	68	Read third time in full -- PASSED 32-1-2	Amends existing law to revise provisions regarding service of notice of hearings.	WORKER'S COMPENSATION -- Amends existing law to revise provisions regarding service of notice of hearings.	out-of-gate:not-divided	
H0067	1943843	house	1491674	2025-02-17	68-0	1	0	4	69	Read Third Time in Full -- PASSED 68-0-2	Amends existing law to increase maximum allowable burial expenses and to revise provisions regarding transportation expenses.	WORKER'S COMPENSATION -- Amends existing law to increase maximum allowable burial expenses and to revise provisions regarding transportation expenses.	out-of-gate:not-divided	
H0067	1943843	senate	1512201	2025-03-10	34-0	1	0	4	69	Read third time in full -- PASSED 34-0-1	Amends existing law to increase maximum allowable burial expenses and to revise provisions regarding transportation expenses.	WORKER'S COMPENSATION -- Amends existing law to increase maximum allowable burial expenses and to revise provisions regarding transportation expenses.	out-of-gate:not-divided	
H0071	1944194	house	1495518	2025-02-20	69-0	1	0	4	62	Read Third Time in Full -- PASSED 69-0-1	Amends and adds to existing law to revise and establish provisions regarding insurance holding company systems.	ACQUISITIONS OF CONTROL AND INSURANCE HOLDING COMPANY SYSTEMS -- Amends and adds to existing law to revise and establish provisions regarding insurance holding company systems.	out-of-gate:not-divided	
H0071	1944194	senate	1506576	2025-03-05	33-0	1	0	4	62	Read third time in full -- PASSED 33-0-2	Amends and adds to existing law to revise and establish provisions regarding insurance holding company systems.	ACQUISITIONS OF CONTROL AND INSURANCE HOLDING COMPANY SYSTEMS -- Amends and adds to existing law to revise and establish provisions regarding insurance holding company systems.	out-of-gate:not-divided	
H0078	1946128	house	1515376	2025-03-11	37-33	1	1	2		Read third time in full as amended -- PASSED 37-33-0	Amends and adds to existing law to establish electronic driver's licenses and identification cards.	DRIVER'S LICENSES AND IDENTIFICATION CARDS -- Amends and adds to existing law to establish electronic driver's licenses and identification cards.	out-of-gate:not-enacted	
H0079	1946395	house	1482442	2025-02-05	52-17	1	0	4	21	Read Third Time in Full -- PASSED 52-17-1	Amends existing law to increase the maximum tuition for community colleges.	EDUCATION -- Amends existing law to increase the maximum tuition for community colleges.	batched:batch-02	imported in batch-02
H0079	1946395	senate	1505054	2025-03-04	26-9	1	0	4	21	Read third time in full -- PASSED 26-9-0	Amends existing law to increase the maximum tuition for community colleges.	EDUCATION -- Amends existing law to increase the maximum tuition for community colleges.	batched:batch-02	imported in batch-02
