bill	type	status	chamber	date	roll	journal	yea	nay	desc	title	disposition
HB1004	B	4	senate	2025-04-15	1548870	422	29	19	Senate - Third reading	Health care matters.	dropped: version trap, this Senate third reading predates the conference committee (0.89 similarity, 355 differing runs); the 2025-04-24 conference report is in batch-07
HB1004	B	4	house	2025-04-24	1557221		67	23	House - Rules Suspended. Conference Committee Report 1	Health care matters.	dropped: the member-list check failed, LegiScan reports 67-23 where the journal reports 68-23 and Representative Behning appears only in the journal yeas; HB 1004 keeps its Senate conference roll, which is in batch-07
HB1004	B	4	senate	2025-04-24	1557738	528	37	13	Senate - Rules Suspended. Conference Committee Report 1	Health care matters.	batch-07
HB1006	B	4	house	2025-02-19	1493310		72	24	House - Third reading	Prosecutors.	dropped: the final house roll's LegiScan member list contradicts the journal, the earlier house roll is a version trap, and the act carries two subjects
HB1006	B	4	house	2025-04-17	1551279		61	21	House - House concurred with Senate amendments	Prosecutors.	dropped: the final house roll's LegiScan member list contradicts the journal, the earlier house roll is a version trap, and the act carries two subjects
HB1007	B	4	house	2025-02-13	1489075		67	25	House - Third reading	Energy generation resources.	dropped: filter 5, three subjects and a contested direction; ratepayers fund new generation while the act also blocks plant retirements
HB1007	B	4	senate	2025-04-15	1548809	423	36	13	Senate - Third reading	Energy generation resources.	dropped: filter 5, three subjects and a contested direction; ratepayers fund new generation while the act also blocks plant retirements
HB1007	B	4	house	2025-04-22	1553293	512	63	23	House - Rules Suspended. House concurred with Senate amendments	Energy generation resources.	dropped: filter 5, three subjects and a contested direction; ratepayers fund new generation while the act also blocks plant retirements
HB1008	B	4	house	2025-02-20	1494695	240	69	25	House - Third reading	Indiana-Illinois boundary adjustment commission.	dropped: filter 3, an advisory commission with no power and no research area that fits
HB1008	B	4	senate	2025-04-15	1548812	424	36	13	Senate - Third reading	Indiana-Illinois boundary adjustment commission.	dropped: filter 3, an advisory commission with no power and no research area that fits
HB1008	B	4	house	2025-04-17	1551012	478	64	23	House - House concurred with Senate amendments	Indiana-Illinois boundary adjustment commission.	dropped: filter 3, an advisory commission with no power and no research area that fits
HB1037	B	4	house	2025-02-04	1479607		66	23	House - Third reading	Storm water management.	dropped: the member-list check failed, LegiScan records a member on the wrong side against the official roll-call PDF; HB 1037 keeps its 2025-04-17 concurrence, which is in batch-05
HB1037	B	4	senate	2025-04-15	1548822	425	31	18	Senate - Third reading	Storm water management.	batch-05
HB1037	B	4	house	2025-04-17	1550985	479	68	20	House - House concurred with Senate amendments	Storm water management.	batch-05
HB1041	B	4	house	2025-02-18	1491965	202	71	25	House - Third reading	Student eligibility in interscholastic sports.	batch-01
HB1052	B	4	house	2025-02-06	1483077	98	60	27	House - Third reading	Onsite sewage systems.	dropped: filter 5, overdue statewide septic rules run against voiding local ordinances approved after 2025-01-01 and freezing approval of new ones
HB1052	B	4	house	2025-04-17	1551267	494	64	16	House - House concurred with Senate amendments	Onsite sewage systems.	dropped: filter 5, overdue statewide septic rules run against voiding local ordinances approved after 2025-01-01 and freezing approval of new ones
HB1064	B	4	house	2025-02-11	1486265	127	67	25	House - Third reading	School transfers.	dropped: filter 3, removing the athletic-reasons bar on public school transfers fits no research area
HB1064	B	4	senate	2025-04-15	1548834	426	30	19	Senate - Third reading	School transfers.	dropped: filter 3, removing the athletic-reasons bar on public school transfers fits no research area
HB1064	B	4	house	2025-04-17	1550990	480	64	24	House - House concurred with Senate amendments	School transfers.	dropped: filter 3, removing the athletic-reasons bar on public school transfers fits no research area
HB1079	B	4	house	2025-04-16	1549561	462	64	21	House - House concurred with Senate amendments	Property matters.	batch-06
HB1114	B	4	house	2025-02-13	1489093	155	69	24	House - Third reading	Driving without a license.	dropped: version trap, the only roll is a house text carrying mandatory vehicle impoundment and liability for other drivers' insurance deductibles, neither of which is law
HB1115	B	4	house	2025-02-03	1478779		69	19	House - Third reading	Emergency possessory orders.	dropped: filter 5, a crime ground and a lease-fraud ground point different ways and the burden of proof is raised for landlords and tenants alike
HB1115	B	4	senate	2025-04-01	1532404	323	38	10	Senate - Third reading	Emergency possessory orders.	dropped: filter 5, a crime ground and a lease-fraud ground point different ways and the burden of proof is raised for landlords and tenants alike
HB1115	B	4	house	2025-04-16	1549557	464	63	17	House - House concurred with Senate amendments	Emergency possessory orders.	dropped: filter 5, a crime ground and a lease-fraud ground point different ways and the burden of proof is raised for landlords and tenants alike
HB1122	B	4	house	2025-02-04	1479619		70	19	House - Third reading	Unlawful encroachment.	dropped: filter 5, a 25 foot buffer around officers sits both for effective policing and against accountability inside one area; the house roll is also unusable
HB1122	B	4	senate	2025-03-11	1513525	225	39	10	Senate - Third reading	Unlawful encroachment.	dropped: filter 5, a 25 foot buffer around officers sits both for effective policing and against accountability inside one area; the house roll is also unusable
HB1125	B	4	house	2025-02-10	1484846	109	70	18	House - Third reading	Earned wage access services.	dropped: filter 5, a licensing and consumer conduct regime runs against declaring the advances are not loans and exempting the charges from the loansharking cap; also carries two unrelated banking changes
HB1125	B	4	house	2025-04-23	1555255	530	67	26	House - Rules Suspended. Conference Committee Report 1	Earned wage access services.	dropped: filter 5, a licensing and consumer conduct regime runs against declaring the advances are not loans and exempting the charges from the loansharking cap; also carries two unrelated banking changes
HB1144	B	4	senate	2025-04-15	1548804	432	33	16	Senate - Third reading	Courts.	dropped: version trap, the conference committee removed the abolition of the Carroll superior court and a Gibson County magistrate change after this roll; HB 1144 has no other divided roll
HB1196	B	4	senate	2025-03-18	1519727	245	39	10	Senate - Third reading	Membership of aviation boards.	dropped: filter 5, no research area maps a defensible direction, exempting small aviation boards from the party-balance cap reads as easier staffing or a weaker safeguard, and the measure is tiny
HB1221	B	4	senate	2025-04-24	1556855	514	39	11	Senate - Rules Suspended. Conference Committee Report 1	Pension matters.	dropped: filter 5, no research area maps a defensible direction, one-time payments to retirees funded by a new surcharge are not a household cost reduction, not a safety-net programme, and cut against spending restraint
HB1275	B	4	senate	2025-04-15	1548879	435	39	10	Senate - Third reading	Alcohol and tobacco commission matters.	dropped: filter 5, no research area maps a defensible direction, alcohol and tobacco licensing
HB1348	B	4	house	2025-01-30	1477355	54	62	29	House - Third reading	Nonaccredited nonpublic schools.	dropped: filter 3, giving nonaccredited school diplomas legal effect fits no research area; public education quality is about outcomes in public schools
HB1348	B	4	senate	2025-03-25	1526217	285	32	15	Senate - Third reading	Nonaccredited nonpublic schools.	dropped: filter 3, giving nonaccredited school diplomas legal effect fits no research area; public education quality is about outcomes in public schools
HB1390	B	4	senate	2025-04-08	1539783	361	38	11	Senate - Third reading	Bureau of motor vehicles.	dropped: filter 5, towing rotations, a toll invoicing deadline, electronic registration certificates and licence plate fees in one act
HB1390	B	4	senate	2025-04-24	1556834	515	31	19	Senate - Rules Suspended. Conference Committee Report 1	Bureau of motor vehicles.	dropped: filter 5, towing rotations, a toll invoicing deadline, electronic registration certificates and licence plate fees in one act
HB1393	B	4	house	2025-02-04	1479606	88	67	26	House - Third reading	Immigration notice.	superseded: the measure is covered by its HB 1393 house concurrence (batch-01)
HB1393	B	4	senate	2025-03-24	1524754	271	37	10	Senate - Third reading	Immigration notice.	batch-01
HB1393	B	4	house	2025-04-16	1549534	472	58	19	House - House concurred with Senate amendments	Immigration notice.	batch-01
HB1412	B	4	senate	2025-04-07	1538218	346	31	18	Senate - Third reading	Reporting of child abuse or neglect.	dropped: filter 5, wider reporting duties run against a rider excluding raising a child consistent with biological sex from abuse, neglect and CHINS
HB1412	B	4	house	2025-04-16	1549550	474	59	19	House - House concurred with Senate amendments	Reporting of child abuse or neglect.	dropped: filter 5, wider reporting duties run against a rider excluding raising a child consistent with biological sex from abuse, neglect and CHINS
HB1427	B	4	house	2025-04-24	1557725	574	69	23	House - Rules Suspended. Conference Committee Report 1	Department of local government finance.	dropped: filter 5, an omnibus that restores veteran property tax deductions and adds a community land trust credit while cutting the 2025 business personal property exemption and authorising fourteen new local food and beverage taxes
HB1427	B	4	senate	2025-04-24	1557724	536	37	13	Senate - Rules Suspended. Conference Committee Report 1	Department of local government finance.	dropped: filter 5, an omnibus that restores veteran property tax deductions and adds a community land trust credit while cutting the 2025 business personal property exemption and authorising fourteen new local food and beverage taxes
HB1460	B	4	house	2025-02-06	1483075	99	64	23	House - Third reading	Drainage systems.	"dropped: version trap, the House text said a unit ""may use data from another state as appropriate"" where the enrolled act says a unit ""must use data regarding a location in the closest proximity""; HB 1460 has no other divided roll, so the measure is lost"
HB1461	B	4	house	2025-02-20	1494703	249	72	21	House - Third reading	Road funding.	dropped: filter 5, an omnibus: for public infrastructure through the matching grant fund, against cost of living by tripling the Marion County vehicle tax ceilings and by removing the requirement that the legislature approve new interstate tolls
HB1461	B	4	senate	2025-04-15	1548815	442	38	10	Senate - Third reading	Road funding.	dropped: filter 5, an omnibus: for public infrastructure through the matching grant fund, against cost of living by tripling the Marion County vehicle tax ceilings and by removing the requirement that the legislature approve new interstate tolls
HB1461	B	4	house	2025-04-17	1551304	496	68	17	House - House concurred with Senate amendments	Road funding.	dropped: filter 5, an omnibus: for public infrastructure through the matching grant fund, against cost of living by tripling the Marion County vehicle tax ceilings and by removing the requirement that the legislature approve new interstate tolls
HB1498	B	4	house	2025-02-04	1479610	90	62	28	House - Third reading	School accountability.	dropped: filter 5, rebuilding the A to F school rating system runs against suspending every school's grade for 2024-2025
HB1498	B	4	house	2025-04-24	1557230	564	65	25	House - House concurred with Senate amendments	School accountability.	dropped: filter 5, rebuilding the A to F school rating system runs against suspending every school's grade for 2024-2025
HB1515	B	4	house	2025-02-06	1483086	101	57	28	House - Third reading	Education and higher education matters.	dropped: filter 5, a mastery pilot that lets schools suspend teacher licensing, evaluation and assessment rules sits beside a tightened virtual truancy rule, and the act also carries a zoning preemption and a university grading mandate
HB1515	B	4	senate	2025-04-15	1548816	444	32	16	Senate - Third reading	Education and higher education matters.	dropped: filter 5, a mastery pilot that lets schools suspend teacher licensing, evaluation and assessment rules sits beside a tightened virtual truancy rule, and the act also carries a zoning preemption and a university grading mandate
HB1515	B	4	senate	2025-04-24	1557779	537	28	22	Senate - Rules Suspended. Conference Committee Report 1	Education and higher education matters.	dropped: filter 5, a mastery pilot that lets schools suspend teacher licensing, evaluation and assessment rules sits beside a tightened virtual truancy rule, and the act also carries a zoning preemption and a university grading mandate
HB1515	B	4	house	2025-04-24	1557780	573	62	30	House - Rules Suspended. Conference Committee Report 1	Education and higher education matters.	dropped: filter 5, a mastery pilot that lets schools suspend teacher licensing, evaluation and assessment rules sits beside a tightened virtual truancy rule, and the act also carries a zoning preemption and a university grading mandate
HB1601	B	4	senate	2025-04-15	1548817	446	30	18	Senate - Third reading	Quantum research tax incentives.	dropped: filter 3, an uncapped sales tax exemption for quantum and defence computing networks fits no research area
HB1601	B	4	house	2025-04-21	1552516	503	61	24	House - House concurred with Senate amendments	Quantum research tax incentives.	dropped: filter 3, an uncapped sales tax exemption for quantum and defence computing networks fits no research area
HB1605	B	4	house	2025-02-20	1494705	253	69	23	House - Third reading	Juvenile law matters.	dropped: filter 5 and a version trap, several distinct child welfare topics and the only roll predates a whole added section on confidential assistance records
HB1633	B	4	senate	2025-04-07	1538226	350	35	13	Senate - Third reading	Study of election issues.	dropped: filter 5, a vote to commission a study of election timing and vote centres is not a vote on any policy
HB1634	B	4	senate	2025-04-08	1540370	367	38	11	Senate - Third reading	Math education.	batch-05
HB1666	B	4	house	2025-02-13	1489138	161	70	25	House - Third reading	Ownership of health care providers.	dropped: version trap, the only divided roll is the House text carrying an AG merger pre-approval regime the enrolled act does not contain
HB1679	B	4	senate	2025-04-15	1548813	449	37	10	Senate - Third reading	Various elections matters.	dropped: filter 5, it hardens the voter list while repealing the ballot photo ban, widens access by email while removing the fax and postal fallback for voters with print disabilities, and makes a losing recount petitioner pay the other side, so no single direction holds
HB1679	B	4	house	2025-04-24	1557254	559	63	24	House - Rules Suspended. Conference Committee Report 1	Various elections matters.	dropped: filter 5, it hardens the voter list while repealing the ballot photo ban, widens access by email while removing the fax and postal fallback for voters with print disabilities, and makes a losing recount petitioner pay the other side, so no single direction holds
HB1680	B	4	house	2025-02-11	1486685	147	65	25	House - Third reading	Various elections matters.	dropped: version trap, this House third reading of 2025-02-11 predates both the Senate work and the conference committee; the 2025-04-23 conference report is in batch-08
HB1680	B	4	senate	2025-04-23	1555540	501	36	9	Senate - Rules Suspended. Conference Committee Report 1	Various elections matters.	batch-08
HB1680	B	4	house	2025-04-23	1555035	523	65	25	House - Rules Suspended. Conference Committee Report 1	Various elections matters.	batch-08
SB0001	B	4	senate	2025-02-17	1491378	132	37	10	Senate - Third reading	Local government finance.	dropped: filter 5, the property tax package cuts what most homeowners pay while the same act raises the county income tax cap from 2.5 to 2.9 percent and creates a new municipal income tax of up to 1.2 percent on the same households; its largest single cut is a business personal property exemption that shifts the tax base rather than lowering household cost; and it carries an unrelated school finance and governance strand
SB0001	B	4	house	2025-04-10	1543337	433	65	29	House - Third reading	Local government finance.	dropped: filter 5, the property tax package cuts what most homeowners pay while the same act raises the county income tax cap from 2.5 to 2.9 percent and creates a new municipal income tax of up to 1.2 percent on the same households; its largest single cut is a business personal property exemption that shifts the tax base rather than lowering household cost; and it carries an unrelated school finance and governance strand
SB0002	B	4	house	2025-04-08	1539781	390	66	28	House - Third reading	Medicaid matters.	batch-03
SB0002	B	4	senate	2025-04-17	1551292	470	37	10	Senate - Senate concurred with House amendments	Medicaid matters.	batch-03
SB0010	B	4	senate	2025-02-04	1480028	66	39	11	Senate - Third reading	Voter registration.	dropped: the senate roll voted a different regime (version trap) and the house roll's LegiScan tally is one nay short of the journal, see CODE-FINDINGS section 2
SB0010	B	4	house	2025-04-01	1532383		66	25	House - Third reading	Voter registration.	dropped: the senate roll voted a different regime (version trap) and the house roll's LegiScan tally is one nay short of the journal, see CODE-FINDINGS section 2
SB0043	B	4	senate	2025-02-18	1492460	145	33	16	Senate - Third reading	Study of location of gambling operations.	dropped: filter 5, a vote to commission a study of where a casino licence might be located is not a vote on any policy
SB0043	B	4	house	2025-03-31	1530948	331	64	26	House - Third reading	Study of location of gambling operations.	dropped: filter 5, a vote to commission a study of where a casino licence might be located is not a vote on any policy
SB0043	B	4	senate	2025-04-23	1555021	487	37	11	Senate - Senate concurred with House amendments	Study of location of gambling operations.	dropped: filter 5, a vote to commission a study of where a casino licence might be located is not a vote on any policy
SB0108	B	4	senate	2025-02-18	1492470	147	39	10	Senate - Third reading	Charity gaming.	dropped: filter 5, no research area maps a defensible direction, charity gaming regulation
SB0140	B	4	senate	2025-04-24	1558096	523	39	10	Senate - Rules Suspended. Conference Committee Report 1	Pharmacy benefits.	batch-05
SB0143	B	4	house	2025-04-01	1532310	344	69	24	House - Third reading	Parental rights.	dropped: filter 5, a strict scrutiny parental right against government bodies runs against a child's confidentiality inside the same area
SB0209	B	4	senate	2025-02-04	1480002	70	37	13	Senate - Third reading	Electronic pull tabs in charity gaming.	dropped: filter 5, no research area maps a defensible direction, charity gaming regulation
SB0209	B	4	senate	2025-04-03	1535962	340	35	12	Senate - Senate concurred with House amendments	Electronic pull tabs in charity gaming.	dropped: filter 5, no research area maps a defensible direction, charity gaming regulation
SB0249	B	4	senate	2025-02-11	1486724	101	39	10	Senate - Third reading	Teacher compensation.	dropped: filter 5, pay flexibility runs against removing the supplement from collective bargaining
SB0249	B	4	house	2025-03-25	1526229	311	65	29	House - Third reading	Teacher compensation.	dropped: filter 5, pay flexibility runs against removing the supplement from collective bargaining
SB0249	B	4	senate	2025-03-25	1530902		34	13	Senate - Third reading	Teacher compensation.	dropped: filter 5, pay flexibility runs against removing the supplement from collective bargaining
SB0255	B	4	house	2025-04-23	1555254	533	66	25	House - Rules Suspended. Conference Committee Report 1	Education matters.	dropped: filter 5, two unrelated halves, alternative teacher licensure pathways and extended released-time religious instruction, and the licensure half is itself contested
SB0255	B	4	senate	2025-04-23	1555516	498	32	12	Senate - Rules Suspended. Conference Committee Report 1	Education matters.	dropped: filter 5, two unrelated halves, alternative teacher licensure pathways and extended released-time religious instruction, and the licensure half is itself contested
SB0281	B	4	house	2025-03-27	1528620	321	71	21	House - Third reading	Expungement.	dropped: filter 5, widens expungement for official misconduct while barring it for others
SB0287	B	4	senate	2025-02-17	1491394	140	26	20	Senate - Third reading	School board matters.	dropped: filter 5, putting party labels on the school board ballot, with a party official gatekeeping a major-party claim, argues in both directions inside election_integrity
SB0287	B	4	house	2025-03-31	1530920	335	54	40	House - Third reading	School board matters.	dropped: filter 5, putting party labels on the school board ballot, with a party official gatekeeping a major-party claim, argues in both directions inside election_integrity
SB0287	B	4	senate	2025-04-24	1556857	504	26	24	Senate - Senate concurred with House amendments	School board matters.	dropped: filter 5, putting party labels on the school board ballot, with a party official gatekeeping a major-party claim, argues in both directions inside election_integrity
SB0289	B	4	senate	2025-02-06	1483504	80	34	13	Senate - Third reading	Unlawful discrimination.	superseded: the measure is covered by its SB 289 senate conference report (batch-01)
SB0289	B	4	house	2025-04-14	1547488	441	67	27	House - Third reading	Unlawful discrimination.	superseded: the measure is covered by its SB 289 house conference report (batch-01)
SB0289	B	4	senate	2025-04-24	1556839	506	34	16	Senate - Rules Suspended. Conference Committee Report 1	Unlawful discrimination.	batch-01
SB0289	B	4	house	2025-04-24	1556465	548	64	26	House - Rules Suspended. Conference Committee Report 1	Unlawful discrimination.	batch-01
SB0318	B	4	house	2025-04-07	1538211	373	61	32	House - Third reading	Required disclosures and access of foreign media.	dropped: filter 5, foreign ownership disclosure by media runs against conditioning press access to state events on state accreditation
SB0331	B	4	house	2025-04-14	1547473	442	72	22	House - Third reading	Amended registration.	dropped: the House voted again on 2025-04-22, adopting the conference report 73-17, so this third reading is not the chamber’s decisive vote; rollcall:judge refused it and the later roll is not divided, so SB 331 is lost
SB0358	B	4	senate	2025-02-20	1495604	186	39	10	Senate - Third reading	Various education matters.	dropped: version trap, this Senate third reading of 2025-02-20 predates both the House committee text and the conference committee; the 2025-04-24 conference report is in batch-09
SB0358	B	4	house	2025-04-24	1556821	555	58	28	House - Rules Suspended. Conference Committee Report 1	Various education matters.	batch-09
SB0358	B	4	senate	2025-04-24	1556820	507	37	12	Senate - Rules Suspended. Conference Committee Report 1	Various education matters.	batch-09
SB0365	B	4	house	2025-04-03	1535941	358	66	24	House - Third reading	Education matters.	batch-06
SB0366	B	4	senate	2025-02-13	1489077	126	30	16	Senate - Third reading	Education matters.	dropped: filter 5, it weakens the superintendent degree requirement, repeals the union committee seat caps while striking the teachers representative from the evaluation discussion, and adds two report mandates
SB0366	B	4	house	2025-04-08	1539727	401	63	27	House - Third reading	Education matters.	dropped: filter 5, it weakens the superintendent degree requirement, repeals the union committee seat caps while striking the teachers representative from the evaluation discussion, and adds two report mandates
SB0366	B	4	senate	2025-04-16	1549760	461	24	13	Senate - Concurrence failed for lack of constitutional majority	Education matters.	dropped: filter 5, it weakens the superintendent degree requirement, repeals the union committee seat caps while striking the teachers representative from the evaluation discussion, and adds two report mandates
SB0366	B	4	senate	2025-04-17	1551280	469	29	17	Senate - Senate concurred with House amendments	Education matters.	dropped: filter 5, it weakens the superintendent degree requirement, repeals the union committee seat caps while striking the teachers representative from the evaluation discussion, and adds two report mandates
SB0373	B	4	house	2025-04-15	1548400	448	76	20	House - Third reading	Various education matters.	dropped: filter 5, six unrelated administrative items; the government efficiency reading is only moderately supported and its summer school rewrite removes a guarantee that priority reading courses are fully funded
SB0373	B	4	senate	2025-04-24	1556925	508	31	19	Senate - Rules Suspended. Conference Committee Report 1	Various education matters.	dropped: filter 5, six unrelated administrative items; the government efficiency reading is only moderately supported and its summer school rewrite removes a guarantee that priority reading courses are fully funded
SB0405	B	4	senate	2025-02-04	1480027	73	35	13	Senate - Third reading	Labor organization membership.	dropped: filter 5: the ban is written symmetrically (a government may not require or consider that contractor employees ARE members or ARE NOT members), so neither direction is honest.
SB0405	B	4	house	2025-04-08	1539856	402	57	31	House - Third reading	Labor organization membership.	dropped: filter 5: the ban is written symmetrically (a government may not require or consider that contractor employees ARE members or ARE NOT members), so neither direction is honest.
SB0405	B	4	senate	2025-04-16	1549851	462	29	9	Senate - Senate concurred with House amendments	Labor organization membership.	dropped: filter 5: the ban is written symmetrically (a government may not require or consider that contractor employees ARE members or ARE NOT members), so neither direction is honest.
SB0409	B	4	senate	2025-02-20	1495551	191	30	19	Senate - Third reading	Employee absence for certain meetings.	batch-05
SB0423	B	4	house	2025-04-15	1548365	449	67	29	House - Third reading	Small modular nuclear reactor pilot program.	batch-03
SB0423	B	4	senate	2025-04-17	1551274	471	34	12	Senate - Senate concurred with House amendments	Small modular nuclear reactor pilot program.	batch-03
SB0424	B	4	senate	2025-02-03	1479043	61	34	14	Senate - Third reading	Small modular nuclear reactor development costs.	superseded: the measure is covered by its SB 424 senate concurrence (batch-03)
SB0424	B	4	house	2025-03-20	1522403	291	59	30	House - Third reading	Small modular nuclear reactor development costs.	batch-03
SB0424	B	4	senate	2025-03-25	1526255	297	32	15	Senate - Senate concurred with House amendments	Small modular nuclear reactor development costs.	batch-03
SB0425	B	4	senate	2025-02-20	1495160	194	37	12	Senate - Third reading	Energy production zones.	dropped: filter 5, six subjects spanning state preemption of local zoning, general permit procedure and local moratoriums
SB0425	B	4	house	2025-04-15	1548363		59	38	House - Third reading	Energy production zones.	dropped: filter 5, six subjects spanning state preemption of local zoning, general permit procedure and local moratoriums
SB0425	B	4	house	2025-04-24	1556454	550	51	40	House - Rules Suspended. Conference Committee Report 1	Energy production zones.	dropped: filter 5, six subjects spanning state preemption of local zoning, general permit procedure and local moratoriums
SB0425	B	4	senate	2025-04-24	1556750	509	31	19	Senate - Rules Suspended. Conference Committee Report 1	Energy production zones.	dropped: filter 5, six subjects spanning state preemption of local zoning, general permit procedure and local moratoriums
SB0442	B	4	house	2025-04-15	1548345	451	76	19	House - Third reading	Instruction on human sexuality.	dropped: filter 5, consent instruction runs against the mandated fetal-development presentation and added consent-form friction
SB0442	B	4	senate	2025-04-23	1555529	499	35	12	Senate - Rules Suspended. Conference Committee Report 1	Instruction on human sexuality.	dropped: filter 5, consent instruction runs against the mandated fetal-development presentation and added consent-form friction
SB0442	B	4	house	2025-04-23	1555217	534	72	20	House - Rules Suspended. Conference Committee Report 1	Instruction on human sexuality.	dropped: filter 5, consent instruction runs against the mandated fetal-development presentation and added consent-form friction
SB0448	B	4	house	2025-04-15	1548353	452	75	21	House - Third reading	Higher education and workforce development matters.	dropped: filter 5, workforce data coordination and a credentials framework alongside collecting graduates’ income data linked to their school identification number
SB0450	B	4	senate	2025-02-10	1484850	92	33	16	Senate - Third reading	Article V convention.	batch-03
SB0450	B	4	house	2025-03-24	1524703	300	69	27	House - Third reading	Article V convention.	batch-03
SB0457	B	4	senate	2025-02-11	1486677	110	27	21	Senate - Third reading	Carbon dioxide sequestration.	dropped: filter 5, easier carbon storage permitting runs against weaker landowner notice and the abolished long-term monitoring fund; the house roll is also unusable
SB0457	B	4	house	2025-03-20	1522407		55	37	House - Third reading	Carbon dioxide sequestration.	dropped: filter 5, easier carbon storage permitting runs against weaker landowner notice and the abolished long-term monitoring fund; the house roll is also unusable
SB0475	B	4	house	2025-04-09	1541701	410	71	23	House - Third reading	Physician noncompete agreements.	superseded: the measure is covered by its SB 475 house conference report (batch-01)
SB0475	B	4	house	2025-04-24	1556843	556	65	21	House - Rules Suspended. Conference Committee Report 1	Physician noncompete agreements.	batch-01
SB0525	B	4	senate	2025-02-20	1495534	212	33	15	Senate - Third reading	Annexation.	dropped: filter 5, no research area maps a defensible direction, it extends one city annexation power to certain towns by population bracket
SB0526	B	4	senate	2025-04-24	1556915	512	40	10	Senate - Rules Suspended. Conference Committee Report 1	Absentee ballot retraction.	batch-02
SB0526	B	4	house	2025-04-24	1556507	552	65	26	House - Rules Suspended. Conference Committee Report 1	Absentee ballot retraction.	batch-02
SJR0021	JR	4	senate	2025-01-27	1475019	22	31	18	Senate - Third reading	Terms of members of Congress.	dropped: filter 3, no research area fits an application for a convention on congressional term limits; the house roll is also unusable, see CODE-FINDINGS section 2
SJR0021	JR	4	house	2025-03-17	1518503		66	30	House - Third reading	Terms of members of Congress.	dropped: filter 3, no research area fits an application for a convention on congressional term limits; the house roll is also unusable, see CODE-FINDINGS section 2
